team,recommendation_type,target_role,domestic_player,domestic_team,quality_score,similarity_score,gap_score,reliability_score,recent_form_score,role_fit_score,ml_suitability_score,archetype_role_match_score,cluster_label,archetype_role,final_recommendation_score,closest_ipl_benchmark,closest_ipl_benchmark_team,current_role_count,target_role_count,role_deficit,role_rank,overall_team_rank
Delhi Capitals,batting,top_order_anchor,YV Dhull,Delhi,63.12,0.0,100.0,100.0,61.68,100.0,84.92,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,71.24,,,0,1,1,1,7
Delhi Capitals,batting,finisher,Subhransu Senapati,Odisha,83.3,51.97,50.0,100.0,63.42,0.0,78.64,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,68.31,Tilak Varma,Mumbai Indians,1,2,1,3,8
Delhi Capitals,batting,top_order_anchor,Amandeep Khare,Chhattisgarh,63.8,0.0,100.0,100.0,36.79,50.0,78.51,0.0,batting_tailender_cluster_1,tailender,66.59,,,0,1,1,2,9
Delhi Capitals,batting,finisher,Chirag Gandhi,Gujarat,63.89,34.97,50.0,100.0,50.36,50.0,80.36,0.0,batting_tailender_cluster_1,tailender,65.68,MS Dhoni,Chennai Super Kings,1,2,1,4,10
Gujarat Titans,batting,finisher,A Manohar,Karnataka,94.16,56.19,100.0,100.0,60.82,66.67,87.52,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,78.98,Tilak Varma,Mumbai Indians,0,2,2,1,1
Gujarat Titans,batting,finisher,Rajat Dey,Tripura,79.98,74.89,100.0,100.0,82.6,83.33,81.33,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,76.46,Tilak Varma,Mumbai Indians,0,2,2,2,2
Gujarat Titans,batting,finisher,Subhransu Senapati,Odisha,83.3,51.97,100.0,100.0,63.42,0.0,78.64,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,73.31,Tilak Varma,Mumbai Indians,0,2,2,3,3
Gujarat Titans,batting,top_order_anchor,YV Dhull,Delhi,63.12,0.0,100.0,100.0,61.68,100.0,84.92,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,71.24,,,0,1,1,1,4
Gujarat Titans,batting,finisher,Chirag Gandhi,Gujarat,63.89,34.97,100.0,100.0,50.36,50.0,80.36,0.0,batting_tailender_cluster_1,tailender,70.68,MS Dhoni,Chennai Super Kings,0,2,2,4,5
Gujarat Titans,batting,top_order_anchor,Amandeep Khare,Chhattisgarh,63.8,0.0,100.0,100.0,36.79,50.0,78.51,0.0,batting_tailender_cluster_1,tailender,66.59,,,0,1,1,2,6
Kolkata Knight Riders,batting,finisher,A Manohar,Karnataka,94.16,56.19,100.0,100.0,60.82,66.67,87.52,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,78.98,Tilak Varma,Mumbai Indians,0,2,2,1,1
Kolkata Knight Riders,batting,finisher,Rajat Dey,Tripura,79.98,74.89,100.0,100.0,82.6,83.33,81.33,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,76.46,Tilak Varma,Mumbai Indians,0,2,2,2,2
Kolkata Knight Riders,batting,finisher,Subhransu Senapati,Odisha,83.3,51.97,100.0,100.0,63.42,0.0,78.64,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,73.31,Tilak Varma,Mumbai Indians,0,2,2,3,3
Kolkata Knight Riders,batting,finisher,Chirag Gandhi,Gujarat,63.89,34.97,100.0,100.0,50.36,50.0,80.36,0.0,batting_tailender_cluster_1,tailender,70.68,MS Dhoni,Chennai Super Kings,0,2,2,4,4
Kolkata Knight Riders,batting,aggressive_opener,AD Chopra,Mizoram,87.96,58.85,50.0,47.1,87.91,71.43,69.69,100.0,batting_aggressive_opener_cluster_0,aggressive_opener,70.4,KL Rahul,Punjab Kings,1,2,1,1,5
Kolkata Knight Riders,batting,middle_order,Sudip Chatterjee,Bengal,60.33,22.92,50.0,100.0,22.6,33.33,82.16,0.0,batting_tailender_cluster_1,tailender,61.61,Washington Sundar,Royal Challengers Bengaluru,1,2,1,1,6
Kolkata Knight Riders,batting,middle_order,Bhanu Pania,Baroda,37.5,82.1,50.0,100.0,38.52,11.11,62.57,0.0,batting_tailender_cluster_1,tailender,55.97,Shahbaz Ahmed,Royal Challengers Bengaluru,1,2,1,2,7
Lucknow Super Giants,batting,finisher,A Manohar,Karnataka,94.16,56.19,100.0,100.0,60.82,66.67,87.52,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,78.98,Tilak Varma,Mumbai Indians,0,2,2,1,1
Lucknow Super Giants,batting,finisher,Rajat Dey,Tripura,79.98,74.89,100.0,100.0,82.6,83.33,81.33,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,76.46,Tilak Varma,Mumbai Indians,0,2,2,2,2
Lucknow Super Giants,batting,finisher,Subhransu Senapati,Odisha,83.3,51.97,100.0,100.0,63.42,0.0,78.64,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,73.31,Tilak Varma,Mumbai Indians,0,2,2,3,3
Lucknow Super Giants,batting,finisher,Chirag Gandhi,Gujarat,63.89,34.97,100.0,100.0,50.36,50.0,80.36,0.0,batting_tailender_cluster_1,tailender,70.68,MS Dhoni,Chennai Super Kings,0,2,2,4,4
Mumbai Indians,bowling,powerplay_bowler,Chintan Gaja,Gujarat,68.69,64.53,100.0,100.0,48.21,57.14,96.32,100.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,90.83,Mohsin Khan,Lucknow Super Giants,0,2,2,1,1
Mumbai Indians,bowling,powerplay_bowler,Sourabh Majumdar,Chhattisgarh,59.7,49.31,100.0,100.0,47.56,78.57,94.91,100.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,88.29,Sandeep Sharma,Punjab Kings,0,2,2,2,2
Mumbai Indians,bowling,powerplay_bowler,Mrinmoy Dutta,Assam,51.01,44.71,100.0,100.0,40.71,42.86,93.83,100.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,86.33,Mohsin Khan,Lucknow Super Giants,0,2,2,3,3
Mumbai Indians,bowling,powerplay_bowler,SI Sopariya,Baroda,63.15,54.67,100.0,62.5,64.88,85.71,92.05,100.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,84.47,Arjun Tendulkar,Mumbai Indians,0,2,2,4,4
Mumbai Indians,bowling,powerplay_bowler,Manisankar Murasingh,Tripura,56.25,44.55,100.0,100.0,25.65,71.43,94.23,100.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,84.14,Sandeep Sharma,Punjab Kings,0,2,2,5,5
Mumbai Indians,bowling,powerplay_bowler,Bishworjit Konthoujam,Manipur,61.13,60.82,100.0,100.0,13.99,35.71,94.68,100.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,83.5,Shivam Mavi,Kolkata Knight Riders,0,2,2,6,6
Mumbai Indians,batting,top_order_anchor,YV Dhull,Delhi,63.12,0.0,100.0,100.0,61.68,100.0,84.92,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,71.24,,,0,1,1,1,7
Mumbai Indians,batting,anchor_opener,Shivam Chaudhary,Railways,75.82,-35.12,100.0,100.0,65.66,100.0,81.81,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,69.01,Anuj Rawat,Royal Challengers Bengaluru,0,1,1,1,8
Mumbai Indians,batting,anchor_opener,Saurav Chauhan,Gujarat,62.21,-1.99,100.0,100.0,88.83,50.0,77.23,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,68.27,Anuj Rawat,Royal Challengers Bengaluru,0,1,1,2,9
Mumbai Indians,batting,anchor_opener,AV Rajput,Baroda,66.66,37.82,100.0,100.0,79.44,33.33,71.44,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,67.84,Anuj Rawat,Royal Challengers Bengaluru,0,1,1,3,10
Punjab Kings,bowling,powerplay_bowler,Chintan Gaja,Gujarat,68.69,64.53,50.0,100.0,48.21,57.14,96.32,100.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,85.83,Mohsin Khan,Lucknow Super Giants,1,2,1,1,1
Punjab Kings,bowling,powerplay_bowler,Sourabh Majumdar,Chhattisgarh,59.7,49.31,50.0,100.0,47.56,78.57,94.91,100.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,83.29,Sandeep Sharma,Punjab Kings,1,2,1,2,2
Punjab Kings,bowling,powerplay_bowler,Mrinmoy Dutta,Assam,51.01,44.71,50.0,100.0,40.71,42.86,93.83,100.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,81.33,Mohsin Khan,Lucknow Super Giants,1,2,1,3,3
Punjab Kings,bowling,powerplay_bowler,SI Sopariya,Baroda,63.15,54.67,50.0,62.5,64.88,85.71,92.05,100.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,79.47,Arjun Tendulkar,Mumbai Indians,1,2,1,4,4
Punjab Kings,batting,top_order_anchor,YV Dhull,Delhi,63.12,0.0,100.0,100.0,61.68,100.0,84.92,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,71.24,,,0,1,1,1,5
Punjab Kings,batting,anchor_opener,Shivam Chaudhary,Railways,75.82,-35.12,100.0,100.0,65.66,100.0,81.81,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,69.01,Anuj Rawat,Royal Challengers Bengaluru,0,1,1,1,6
Punjab Kings,batting,anchor_opener,Saurav Chauhan,Gujarat,62.21,-1.99,100.0,100.0,88.83,50.0,77.23,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,68.27,Anuj Rawat,Royal Challengers Bengaluru,0,1,1,2,7
Punjab Kings,batting,anchor_opener,AV Rajput,Baroda,66.66,37.82,100.0,100.0,79.44,33.33,71.44,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,67.84,Anuj Rawat,Royal Challengers Bengaluru,0,1,1,3,8
Punjab Kings,batting,top_order_anchor,Amandeep Khare,Chhattisgarh,63.8,0.0,100.0,100.0,36.79,50.0,78.51,0.0,batting_tailender_cluster_1,tailender,66.59,,,0,1,1,2,9
Punjab Kings,batting,anchor_opener,Bikramkumar Das,Tripura,71.05,-45.21,100.0,100.0,15.15,8.33,84.96,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,63.5,Anuj Rawat,Royal Challengers Bengaluru,0,1,1,4,10
Rajasthan Royals,batting,top_order_anchor,YV Dhull,Delhi,63.12,0.0,100.0,100.0,61.68,100.0,84.92,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,71.24,,,0,1,1,1,1
Rajasthan Royals,batting,top_order_anchor,Amandeep Khare,Chhattisgarh,63.8,0.0,100.0,100.0,36.79,50.0,78.51,0.0,batting_tailender_cluster_1,tailender,66.59,,,0,1,1,2,2
Royal Challengers Bengaluru,batting,finisher,A Manohar,Karnataka,94.16,56.19,100.0,100.0,60.82,66.67,87.52,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,78.98,Tilak Varma,Mumbai Indians,0,2,2,1,1
Royal Challengers Bengaluru,batting,finisher,Rajat Dey,Tripura,79.98,74.89,100.0,100.0,82.6,83.33,81.33,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,76.46,Tilak Varma,Mumbai Indians,0,2,2,2,2
Royal Challengers Bengaluru,batting,finisher,Subhransu Senapati,Odisha,83.3,51.97,100.0,100.0,63.42,0.0,78.64,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,73.31,Tilak Varma,Mumbai Indians,0,2,2,3,3
Royal Challengers Bengaluru,batting,top_order_anchor,YV Dhull,Delhi,63.12,0.0,100.0,100.0,61.68,100.0,84.92,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,71.24,,,0,1,1,1,4
Royal Challengers Bengaluru,batting,finisher,Chirag Gandhi,Gujarat,63.89,34.97,100.0,100.0,50.36,50.0,80.36,0.0,batting_tailender_cluster_1,tailender,70.68,MS Dhoni,Chennai Super Kings,0,2,2,4,5
Royal Challengers Bengaluru,batting,anchor_opener,Shivam Chaudhary,Railways,75.82,-35.12,100.0,100.0,65.66,100.0,81.81,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,69.01,Anuj Rawat,Royal Challengers Bengaluru,0,1,1,1,6
Royal Challengers Bengaluru,batting,anchor_opener,Saurav Chauhan,Gujarat,62.21,-1.99,100.0,100.0,88.83,50.0,77.23,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,68.27,Anuj Rawat,Royal Challengers Bengaluru,0,1,1,2,7
Royal Challengers Bengaluru,batting,anchor_opener,AV Rajput,Baroda,66.66,37.82,100.0,100.0,79.44,33.33,71.44,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,67.84,Anuj Rawat,Royal Challengers Bengaluru,0,1,1,3,8
Royal Challengers Bengaluru,batting,middle_order,Sudip Chatterjee,Bengal,60.33,22.92,100.0,100.0,22.6,33.33,82.16,0.0,batting_tailender_cluster_1,tailender,66.61,Washington Sundar,Royal Challengers Bengaluru,0,2,2,1,9
Royal Challengers Bengaluru,batting,top_order_anchor,Amandeep Khare,Chhattisgarh,63.8,0.0,100.0,100.0,36.79,50.0,78.51,0.0,batting_tailender_cluster_1,tailender,66.59,,,0,1,1,2,10
Sunrisers Hyderabad,batting,top_order_anchor,YV Dhull,Delhi,63.12,0.0,100.0,100.0,61.68,100.0,84.92,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,71.24,,,0,1,1,1,1
Sunrisers Hyderabad,batting,anchor_opener,Shivam Chaudhary,Railways,75.82,-35.12,100.0,100.0,65.66,100.0,81.81,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,69.01,Anuj Rawat,Royal Challengers Bengaluru,0,1,1,1,2
Sunrisers Hyderabad,batting,anchor_opener,Saurav Chauhan,Gujarat,62.21,-1.99,100.0,100.0,88.83,50.0,77.23,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,68.27,Anuj Rawat,Royal Challengers Bengaluru,0,1,1,2,3
Sunrisers Hyderabad,batting,anchor_opener,AV Rajput,Baroda,66.66,37.82,100.0,100.0,79.44,33.33,71.44,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,67.84,Anuj Rawat,Royal Challengers Bengaluru,0,1,1,3,4
Sunrisers Hyderabad,batting,middle_order,Sudip Chatterjee,Bengal,60.33,22.92,100.0,100.0,22.6,33.33,82.16,0.0,batting_tailender_cluster_1,tailender,66.61,Washington Sundar,Royal Challengers Bengaluru,0,2,2,1,5
Sunrisers Hyderabad,batting,top_order_anchor,Amandeep Khare,Chhattisgarh,63.8,0.0,100.0,100.0,36.79,50.0,78.51,0.0,batting_tailender_cluster_1,tailender,66.59,,,0,1,1,2,6
Sunrisers Hyderabad,batting,anchor_opener,Bikramkumar Das,Tripura,71.05,-45.21,100.0,100.0,15.15,8.33,84.96,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,63.5,Anuj Rawat,Royal Challengers Bengaluru,0,1,1,4,7
Sunrisers Hyderabad,batting,middle_order,Bhanu Pania,Baroda,37.5,82.1,100.0,100.0,38.52,11.11,62.57,0.0,batting_tailender_cluster_1,tailender,60.97,Shahbaz Ahmed,Royal Challengers Bengaluru,0,2,2,2,8
Sunrisers Hyderabad,batting,middle_order,Ganesh Satish,Vidarbha,46.22,-27.29,100.0,100.0,51.07,55.56,55.69,0.0,batting_tailender_cluster_1,tailender,52.87,Washington Sundar,Royal Challengers Bengaluru,0,2,2,3,9
