team,recommendation_type,target_role,domestic_player,domestic_team,quality_score,similarity_score,gap_score,reliability_score,recent_form_score,role_fit_score,ml_suitability_score,archetype_role_match_score,cluster_label,archetype_role,final_recommendation_score,closest_ipl_benchmark,closest_ipl_benchmark_team,current_role_count,target_role_count,role_deficit,role_rank,overall_team_rank
Chennai Super Kings,batting,finisher,A Manohar,Karnataka,94.16,56.19,50.0,100.0,60.82,66.67,87.52,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,73.98,Tilak Varma,Mumbai Indians,1,2,1,1,1
Chennai Super Kings,batting,finisher,Rajat Dey,Tripura,79.98,74.89,50.0,100.0,82.6,83.33,81.33,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,71.46,Tilak Varma,Mumbai Indians,1,2,1,2,2
Chennai Super Kings,batting,finisher,Subhransu Senapati,Odisha,83.3,51.97,50.0,100.0,63.42,0.0,78.64,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,68.31,Tilak Varma,Mumbai Indians,1,2,1,3,3
Chennai Super Kings,batting,finisher,Chirag Gandhi,Gujarat,63.89,34.97,50.0,100.0,50.36,50.0,80.36,0.0,batting_tailender_cluster_1,tailender,65.68,MS Dhoni,Chennai Super Kings,1,2,1,4,4
Delhi Capitals,bowling,powerplay_bowler,Chintan Gaja,Gujarat,68.69,64.53,50.0,100.0,48.21,57.14,96.32,100.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,85.83,Mohsin Khan,Lucknow Super Giants,1,2,1,1,1
Delhi Capitals,bowling,powerplay_bowler,Sourabh Majumdar,Chhattisgarh,59.7,49.31,50.0,100.0,47.56,78.57,94.91,100.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,83.29,Sandeep Sharma,Punjab Kings,1,2,1,2,2
Delhi Capitals,bowling,powerplay_bowler,Mrinmoy Dutta,Assam,51.01,44.71,50.0,100.0,40.71,42.86,93.83,100.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,81.33,Mohsin Khan,Lucknow Super Giants,1,2,1,3,3
Delhi Capitals,bowling,powerplay_bowler,SI Sopariya,Baroda,63.15,54.67,50.0,62.5,64.88,85.71,92.05,100.0,bowling_powerplay_bowler_cluster_0,powerplay_bowler,79.47,Arjun Tendulkar,Mumbai Indians,1,2,1,4,4
Delhi Capitals,batting,finisher,A Manohar,Karnataka,94.16,56.19,50.0,100.0,60.82,66.67,87.52,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,73.98,Tilak Varma,Mumbai Indians,1,2,1,1,5
Delhi Capitals,batting,finisher,Rajat Dey,Tripura,79.98,74.89,50.0,100.0,82.6,83.33,81.33,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,71.46,Tilak Varma,Mumbai Indians,1,2,1,2,6
