comparison_type,role,smat_player,smat_team,ipl_player,ipl_team,similarity_rank,similarity_score
batting,anchor_opener,AV Rajput,Baroda,Anuj Rawat,Royal Challengers Bengaluru,3,65.41
batting,anchor_opener,Aarya Desai,Gujarat,DJM Short,Rajasthan Royals,1,87.27
batting,anchor_opener,Aarya Desai,Gujarat,SR Watson,Rajasthan Royals,2,51.69
batting,anchor_opener,Aarya Desai,Gujarat,RE Levi,Mumbai Indians,3,43.27
batting,anchor_opener,Abhishek Goswami,Uttar Pradesh,DJM Short,Rajasthan Royals,1,65.56
batting,anchor_opener,Abhishek Goswami,Uttar Pradesh,W Jaffer,Royal Challengers Bengaluru,2,57.58
batting,anchor_opener,Abhishek Goswami,Uttar Pradesh,SR Watson,Rajasthan Royals,3,56.57
batting,anchor_opener,Anuj Rawat,Delhi,SR Watson,Rajasthan Royals,1,81.9
batting,anchor_opener,Anuj Rawat,Delhi,AJ Finch,Gujarat Lions,2,75.43
batting,anchor_opener,Anuj Rawat,Delhi,RS Bopara,Punjab Kings,3,66.28
batting,anchor_opener,Arpit Gaud,Madhya Pradesh,RE Levi,Mumbai Indians,1,78.66
batting,anchor_opener,Arpit Gaud,Madhya Pradesh,SK Rasheed,Chennai Super Kings,2,76.24
batting,anchor_opener,Arpit Gaud,Madhya Pradesh,DJ Jacobs,Mumbai Indians,3,74.46
batting,anchor_opener,Bikramkumar Das,Tripura,R Dravid,Rajasthan Royals,1,86.75
batting,anchor_opener,Bikramkumar Das,Tripura,GC Smith,Rajasthan Royals,2,82.11
batting,anchor_opener,Bikramkumar Das,Tripura,JH Kallis,Kolkata Knight Riders,3,80.97
batting,anchor_opener,Denish Das,Assam,SP Goswami,Royal Challengers Bengaluru,1,76.72
batting,anchor_opener,Denish Das,Assam,RT Ponting,Mumbai Indians,2,71.96
batting,anchor_opener,Denish Das,Assam,K Goel,Punjab Kings,3,71.42
batting,anchor_opener,Eknath Kerkar,Goa,JEC Franklin,Mumbai Indians,1,93.12
batting,anchor_opener,Eknath Kerkar,Goa,RS Bopara,Punjab Kings,2,88.94
batting,anchor_opener,Eknath Kerkar,Goa,Anuj Rawat,Royal Challengers Bengaluru,3,67.62
batting,anchor_opener,G Ajitesh,Tamil Nadu,Anuj Rawat,Royal Challengers Bengaluru,1,59.51
batting,anchor_opener,G Ajitesh,Tamil Nadu,L Ronchi,Mumbai Indians,2,50.36
batting,anchor_opener,G Ajitesh,Tamil Nadu,TL Seifert,Kolkata Knight Riders,3,49.95
batting,anchor_opener,KS Sharma,Uttar Pradesh,AJ Finch,Gujarat Lions,1,68.68
batting,anchor_opener,KS Sharma,Uttar Pradesh,SR Watson,Rajasthan Royals,2,64.03
batting,anchor_opener,KS Sharma,Uttar Pradesh,LMP Simmons,Mumbai Indians,3,62.58
batting,anchor_opener,P Prafullomani,Manipur,RT Ponting,Mumbai Indians,1,89.25
batting,anchor_opener,P Prafullomani,Manipur,IR Jaggi,Sunrisers Hyderabad,2,87.67
batting,anchor_opener,P Prafullomani,Manipur,Mohammad Hafeez,Kolkata Knight Riders,3,87.48
batting,anchor_opener,Pratham Singh,Railways,M Vijay,Chennai Super Kings,1,89.58
batting,anchor_opener,Pratham Singh,Railways,MEK Hussey,Chennai Super Kings,2,88.93
batting,anchor_opener,Pratham Singh,Railways,AJ Finch,Gujarat Lions,3,86.51
batting,anchor_opener,Qamran Iqbal,Jammu & Kashmir,LMP Simmons,Mumbai Indians,1,51.14
batting,anchor_opener,Qamran Iqbal,Jammu & Kashmir,SP Fleming,Chennai Super Kings,2,50.26
batting,anchor_opener,Qamran Iqbal,Jammu & Kashmir,HH Gibbs,Sunrisers Hyderabad,3,40.56
batting,anchor_opener,Saurav Chauhan,Gujarat,DJM Short,Rajasthan Royals,1,66.09
batting,anchor_opener,Saurav Chauhan,Gujarat,N Jagadeesan,Kolkata Knight Riders,2,54.49
batting,anchor_opener,Saurav Chauhan,Gujarat,JEC Franklin,Mumbai Indians,3,53.27
batting,anchor_opener,Shivam Chaudhary,Railways,SR Tendulkar,Mumbai Indians,1,93.46
batting,anchor_opener,Shivam Chaudhary,Railways,MEK Hussey,Chennai Super Kings,2,88.97
batting,anchor_opener,Shivam Chaudhary,Railways,R Dravid,Rajasthan Royals,3,88.83
batting,anchor_opener,Shubham Khajuria,Jammu & Kashmir,M Vijay,Chennai Super Kings,1,54.19
batting,anchor_opener,Shubham Khajuria,Jammu & Kashmir,SR Watson,Rajasthan Royals,2,53.33
batting,anchor_opener,Shubham Khajuria,Jammu & Kashmir,AJ Finch,Gujarat Lions,3,52.7
batting,anchor_opener,Shubham Sharma,Madhya Pradesh,MJ Clarke,Pune Warriors,1,74.18
batting,anchor_opener,Shubham Sharma,Madhya Pradesh,SP Goswami,Royal Challengers Bengaluru,2,47.02
batting,anchor_opener,Shubham Sharma,Madhya Pradesh,VVS Laxman,Sunrisers Hyderabad,3,42.28
batting,finisher,A Manohar,Karnataka,H Klaasen,Sunrisers Hyderabad,1,79.32
batting,finisher,A Manohar,Karnataka,Tilak Varma,Mumbai Indians,2,70.05
batting,finisher,A Manohar,Karnataka,T Stubbs,Delhi Capitals,3,67.85
batting,finisher,Ajay Mandal,Chhattisgarh,DJ Bravo,Chennai Super Kings,1,94.57
batting,finisher,Ajay Mandal,Chhattisgarh,R Tewatia,Gujarat Titans,2,87.63
batting,finisher,Ajay Mandal,Chhattisgarh,Sachin Baby,Royal Challengers Bengaluru,3,86.65
batting,finisher,BA Roy,Assam,TR Birt,Delhi Capitals,1,37.58
batting,finisher,BA Roy,Assam,KK Cooper,Rajasthan Royals,2,29.98
batting,finisher,BA Roy,Assam,RK Singh,Kolkata Knight Riders,3,20.88
batting,finisher,Chirag Gandhi,Gujarat,AC Voges,Rajasthan Royals,1,85.84
batting,finisher,Chirag Gandhi,Gujarat,BJ Hodge,Rajasthan Royals,2,77.1
batting,finisher,Chirag Gandhi,Gujarat,JP Duminy,Delhi Capitals,3,75.86
batting,finisher,Dhruv Jurel,Uttar Pradesh,TR Birt,Delhi Capitals,1,72.95
batting,finisher,Dhruv Jurel,Uttar Pradesh,DJ Bravo,Chennai Super Kings,2,61.69
batting,finisher,Dhruv Jurel,Uttar Pradesh,GD Phillips,Sunrisers Hyderabad,3,61.11
batting,finisher,Fazil Rashid,Jammu & Kashmir,TR Birt,Delhi Capitals,1,89.25
batting,finisher,Fazil Rashid,Jammu & Kashmir,Sachin Baby,Royal Challengers Bengaluru,2,70.32
