comparison_type,role,smat_player,smat_team,ipl_player,ipl_team,similarity_rank,similarity_score
batting,top_order_anchor,Himanshu Rana,Haryana,D Padikkal,Royal Challengers Bengaluru,1,82.74
batting,top_order_anchor,Himanshu Rana,Haryana,KP Pietersen,Delhi Capitals,2,79.38
batting,top_order_anchor,Himanshu Rana,Haryana,N Rana,Kolkata Knight Riders,3,67.87
batting,top_order_anchor,MK Pandey,Karnataka,PD Collingwood,Delhi Capitals,1,60.27
batting,top_order_anchor,MK Pandey,Karnataka,A Symonds,Sunrisers Hyderabad,2,56.99
batting,top_order_anchor,MK Pandey,Karnataka,AB de Villiers,Royal Challengers Bengaluru,3,54.53
batting,top_order_anchor,Mandeep Singh,Punjab,C Green,Mumbai Indians,1,63.68
batting,top_order_anchor,Mandeep Singh,Punjab,AB de Villiers,Royal Challengers Bengaluru,2,50.81
batting,top_order_anchor,Mandeep Singh,Punjab,MN van Wyk,Kolkata Knight Riders,3,42.41
batting,top_order_anchor,N Rana,Delhi,D Brevis,Mumbai Indians,1,84.24
batting,top_order_anchor,N Rana,Delhi,RM Patidar,Royal Challengers Bengaluru,2,58.23
batting,top_order_anchor,N Rana,Delhi,RR Pant,Delhi Capitals,3,54.15
batting,top_order_anchor,N Sindhu,Haryana,MN van Wyk,Kolkata Knight Riders,1,57.15
batting,top_order_anchor,N Sindhu,Haryana,A Symonds,Sunrisers Hyderabad,2,42.81
batting,top_order_anchor,N Sindhu,Haryana,PD Collingwood,Delhi Capitals,3,32.71
batting,top_order_anchor,R Parag,Assam,RM Patidar,Royal Challengers Bengaluru,1,60.81
batting,top_order_anchor,R Parag,Assam,C Connolly,Punjab Kings,2,55.21
batting,top_order_anchor,R Parag,Assam,RR Pant,Delhi Capitals,3,45.07
batting,top_order_anchor,RM Patidar,Madhya Pradesh,C Connolly,Punjab Kings,1,78.34
batting,top_order_anchor,RM Patidar,Madhya Pradesh,A Mhatre,Chennai Super Kings,2,65.01
batting,top_order_anchor,RM Patidar,Madhya Pradesh,RM Patidar,Royal Challengers Bengaluru,3,58.91
batting,top_order_anchor,SA Yadav,Mumbai,RR Pant,Delhi Capitals,1,64.84
batting,top_order_anchor,SA Yadav,Mumbai,AB de Villiers,Royal Challengers Bengaluru,2,60.35
batting,top_order_anchor,SA Yadav,Mumbai,RM Patidar,Royal Challengers Bengaluru,3,57.17
batting,top_order_anchor,SS Iyer,Mumbai,C Connolly,Punjab Kings,1,76.28
batting,top_order_anchor,SS Iyer,Mumbai,A Mhatre,Chennai Super Kings,2,55.08
batting,top_order_anchor,SS Iyer,Mumbai,SE Marsh,Punjab Kings,3,50.22
batting,top_order_anchor,Sameer Rizvi,Uttar Pradesh,A Symonds,Sunrisers Hyderabad,1,66.66
batting,top_order_anchor,Sameer Rizvi,Uttar Pradesh,RR Pant,Delhi Capitals,2,45.25
batting,top_order_anchor,Sameer Rizvi,Uttar Pradesh,D Brevis,Mumbai Indians,3,42.66
batting,top_order_anchor,YV Dhull,Delhi,KS Williamson,Sunrisers Hyderabad,1,67.73
batting,top_order_anchor,YV Dhull,Delhi,A Symonds,Sunrisers Hyderabad,2,53.34
batting,top_order_anchor,YV Dhull,Delhi,KP Pietersen,Delhi Capitals,3,50.86
bowling,death_bowler,A Nagwaswalla,Gujarat,RJ Harris,Punjab Kings,1,88.97
bowling,death_bowler,A Nagwaswalla,Gujarat,A Singh,Rajasthan Royals,2,80.57
bowling,death_bowler,A Nagwaswalla,Gujarat,MA Starc,Royal Challengers Bengaluru,3,77.46
bowling,death_bowler,A Sheth,Baroda,MA Starc,Royal Challengers Bengaluru,1,83.58
bowling,death_bowler,A Sheth,Baroda,A Singh,Rajasthan Royals,2,82.43
bowling,death_bowler,A Sheth,Baroda,CK Langeveldt,Kolkata Knight Riders,3,81.23
bowling,death_bowler,Akash Sengupta,Assam,Umar Gul,Kolkata Knight Riders,1,78.51
bowling,death_bowler,Akash Sengupta,Assam,MA Wood,Lucknow Super Giants,2,70.9
bowling,death_bowler,Akash Sengupta,Assam,E Malinga,Sunrisers Hyderabad,3,56.81
bowling,death_bowler,Arshdeep Singh,Punjab,CH Morris,Delhi Capitals,1,90.63
bowling,death_bowler,Arshdeep Singh,Punjab,DE Bollinger,Chennai Super Kings,2,90.26
bowling,death_bowler,Arshdeep Singh,Punjab,B Kumar,Sunrisers Hyderabad,3,79.53
bowling,death_bowler,Avesh Khan,Madhya Pradesh,DE Bollinger,Chennai Super Kings,1,93.34
bowling,death_bowler,Avesh Khan,Madhya Pradesh,Sohail Tanvir,Rajasthan Royals,2,91.71
bowling,death_bowler,Avesh Khan,Madhya Pradesh,SL Malinga,Mumbai Indians,3,84.98
bowling,death_bowler,B Kumar,Uttar Pradesh,SL Malinga,Mumbai Indians,1,95.2
bowling,death_bowler,B Kumar,Uttar Pradesh,Sohail Tanvir,Rajasthan Royals,2,92.35
bowling,death_bowler,B Kumar,Uttar Pradesh,DE Bollinger,Chennai Super Kings,3,88.32
bowling,death_bowler,DS Kulkarni,Mumbai,DE Bollinger,Chennai Super Kings,1,93.01
bowling,death_bowler,DS Kulkarni,Mumbai,CH Morris,Delhi Capitals,2,80.89
bowling,death_bowler,DS Kulkarni,Mumbai,JJ Bumrah,Mumbai Indians,3,79.59
bowling,death_bowler,JD Unadkat,Saurashtra,Sohail Tanvir,Rajasthan Royals,1,93.8
bowling,death_bowler,JD Unadkat,Saurashtra,SL Malinga,Mumbai Indians,2,89.96
bowling,death_bowler,JD Unadkat,Saurashtra,DE Bollinger,Chennai Super Kings,3,89.5
bowling,death_bowler,LI Meriwala,Baroda,SL Malinga,Mumbai Indians,1,85.6
bowling,death_bowler,LI Meriwala,Baroda,Sohail Tanvir,Rajasthan Royals,2,82.85
bowling,death_bowler,LI Meriwala,Baroda,CK Langeveldt,Kolkata Knight Riders,3,81.23
bowling,death_bowler,Mohit Avasthi,Mumbai,A Singh,Rajasthan Royals,1,79.23
bowling,death_bowler,Mohit Avasthi,Mumbai,KW Richardson,Rajasthan Royals,2,74.06
bowling,death_bowler,Mohit Avasthi,Mumbai,CK Langeveldt,Kolkata Knight Riders,3,72.3
bowling,death_bowler,N Rana,Delhi,L Balaji,Kolkata Knight Riders,1,66.03
bowling,death_bowler,N Rana,Delhi,WA Mota,Punjab Kings,2,59.81
bowling,death_bowler,N Rana,Delhi,SB Styris,Sunrisers Hyderabad,3,53.05
bowling,death_bowler,Rasikh Salam,Jammu & Kashmir,SW Tait,Rajasthan Royals,1,79.14
bowling,death_bowler,Rasikh Salam,Jammu & Kashmir,DP Nannes,Delhi Capitals,2,71.86
bowling,death_bowler,Rasikh Salam,Jammu & Kashmir,B Kumar,Sunrisers Hyderabad,3,70.22
bowling,death_bowler,S Kaul,Punjab,SL Malinga,Mumbai Indians,1,77.27
bowling,death_bowler,S Kaul,Punjab,CH Morris,Delhi Capitals,2,74.14
bowling,death_bowler,S Kaul,Punjab,L Ngidi,Chennai Super Kings,3,72.33
bowling,death_bowler,SN Thakur,Mumbai,WD Parnell,Pune Warriors,1,85.15
bowling,death_bowler,SN Thakur,Mumbai,MA Starc,Royal Challengers Bengaluru,2,81.82
bowling,death_bowler,SN Thakur,Mumbai,A Singh,Rajasthan Royals,3,72.33
bowling,death_bowler,T Natarajan,Tamil Nadu,Mustafizur Rahman,Sunrisers Hyderabad,1,88.42
bowling,death_bowler,T Natarajan,Tamil Nadu,J Theron,Punjab Kings,2,68.73
bowling,death_bowler,T Natarajan,Tamil Nadu,CH Morris,Delhi Capitals,3,57.76
bowling,death_bowler,TU Deshpande,Mumbai,CK Langeveldt,Kolkata Knight Riders,1,92.34
bowling,death_bowler,TU Deshpande,Mumbai,CRD Fernando,Mumbai Indians,2,91.27
bowling,death_bowler,TU Deshpande,Mumbai,K Rabada,Delhi Capitals,3,78.9
bowling,death_bowler,Umran Malik,Jammu & Kashmir,CRD Fernando,Mumbai Indians,1,77.68
bowling,death_bowler,Umran Malik,Jammu & Kashmir,CK Langeveldt,Kolkata Knight Riders,2,74.39
bowling,death_bowler,Umran Malik,Jammu & Kashmir,SL Malinga,Mumbai Indians,3,70.34
bowling,death_bowler,V Kaverappa,Karnataka,T Thushara,Chennai Super Kings,1,90.46
bowling,death_bowler,V Kaverappa,Karnataka,JE Taylor,Pune Warriors,2,78.16
bowling,death_bowler,V Kaverappa,Karnataka,DE Bollinger,Chennai Super Kings,3,59.45
bowling,death_bowler,Vijaykumar Vyshak,Karnataka,KMA Paul,Delhi Capitals,1,75.96
bowling,death_bowler,Vijaykumar Vyshak,Karnataka,S Kaul,Sunrisers Hyderabad,2,65.9
bowling,death_bowler,Vijaykumar Vyshak,Karnataka,A Ashish Reddy,Sunrisers Hyderabad,3,60.8
bowling,death_bowler,Yash Dayal,Uttar Pradesh,B Kumar,Sunrisers Hyderabad,1,92.05
bowling,death_bowler,Yash Dayal,Uttar Pradesh,DP Nannes,Delhi Capitals,2,85.38
bowling,death_bowler,Yash Dayal,Uttar Pradesh,WD Parnell,Pune Warriors,3,83.14
bowling,death_bowler,Yudhvir Singh,Hyderabad (India),KW Richardson,Rajasthan Royals,1,75.22
bowling,death_bowler,Yudhvir Singh,Hyderabad (India),TU Deshpande,Chennai Super Kings,2,68.23
bowling,death_bowler,Yudhvir Singh,Hyderabad (India),N Thushara,Mumbai Indians,3,68.21
bowling,middle_overs_bowler,AV Rajput,Baroda,V Puthur,Mumbai Indians,1,89.22
bowling,middle_overs_bowler,AV Rajput,Baroda,Shashank Singh,Punjab Kings,2,78.27
bowling,middle_overs_bowler,AV Rajput,Baroda,Shivam Sharma,Punjab Kings,3,76.29
bowling,middle_overs_bowler,Abid Mushtaq,Jammu & Kashmir,M Muralitharan,Chennai Super Kings,1,85.47
bowling,middle_overs_bowler,Abid Mushtaq,Jammu & Kashmir,Harbhajan Singh,Mumbai Indians,2,84.58
bowling,middle_overs_bowler,Abid Mushtaq,Jammu & Kashmir,A Kumble,Royal Challengers Bengaluru,3,84.47
bowling,middle_overs_bowler,Ajay Mandal,Chhattisgarh,Harbhajan Singh,Mumbai Indians,1,80.46
bowling,middle_overs_bowler,Ajay Mandal,Chhattisgarh,PP Ojha,Sunrisers Hyderabad,2,79.03
bowling,middle_overs_bowler,Ajay Mandal,Chhattisgarh,AR Patel,Delhi Capitals,3,78.28
bowling,middle_overs_bowler,Akash Pandey,Railways,DG Nalkande,Gujarat Titans,1,82.3
bowling,middle_overs_bowler,Akash Pandey,Railways,MG Bracewell,Royal Challengers Bengaluru,2,73.87
bowling,middle_overs_bowler,Akash Pandey,Railways,OF Smith,Punjab Kings,3,70.88
bowling,middle_overs_bowler,Chirag Jani,Saurashtra,JH Kallis,Kolkata Knight Riders,1,90.05
bowling,middle_overs_bowler,Chirag Jani,Saurashtra,DT Christian,Sunrisers Hyderabad,2,89.23
bowling,middle_overs_bowler,Chirag Jani,Saurashtra,BAW Mendis,Kolkata Knight Riders,3,85.68
bowling,middle_overs_bowler,Dharmendrasinh Jadeja,Saurashtra,MM Ali,Chennai Super Kings,1,81.92
bowling,middle_overs_bowler,Dharmendrasinh Jadeja,Saurashtra,IS Sodhi,Rajasthan Royals,2,70.0
bowling,middle_overs_bowler,Dharmendrasinh Jadeja,Saurashtra,AR Patel,Delhi Capitals,3,65.98
bowling,middle_overs_bowler,Harpreet Brar,Punjab,Harbhajan Singh,Mumbai Indians,1,90.93
bowling,middle_overs_bowler,Harpreet Brar,Punjab,PP Ojha,Sunrisers Hyderabad,2,88.79
bowling,middle_overs_bowler,Harpreet Brar,Punjab,CV Varun,Kolkata Knight Riders,3,82.65
bowling,middle_overs_bowler,Harsh Tyagi,Railways,M Kartik,Kolkata Knight Riders,1,85.82
bowling,middle_overs_bowler,Harsh Tyagi,Railways,DL Vettori,Royal Challengers Bengaluru,2,82.87
bowling,middle_overs_bowler,Harsh Tyagi,Railways,KP Pietersen,Royal Challengers Bengaluru,3,76.24
bowling,middle_overs_bowler,J Yadav,Haryana,AR Patel,Delhi Capitals,1,93.99
bowling,middle_overs_bowler,J Yadav,Haryana,MJ Santner,Chennai Super Kings,2,91.95
bowling,middle_overs_bowler,J Yadav,Haryana,KH Pandya,Mumbai Indians,3,91.45
bowling,middle_overs_bowler,Jasmer Dhankhar,Uttar Pradesh,MJ Clarke,Pune Warriors,1,80.72
bowling,middle_overs_bowler,Jasmer Dhankhar,Uttar Pradesh,K Goel,Punjab Kings,2,76.08
bowling,middle_overs_bowler,Jasmer Dhankhar,Uttar Pradesh,Gurkeerat Singh,Punjab Kings,3,68.51
bowling,middle_overs_bowler,K Gowtham,Karnataka,PP Ojha,Sunrisers Hyderabad,1,92.01
bowling,middle_overs_bowler,K Gowtham,Karnataka,CV Varun,Kolkata Knight Riders,2,88.9
bowling,middle_overs_bowler,K Gowtham,Karnataka,Rashid Khan,Sunrisers Hyderabad,3,86.64
bowling,middle_overs_bowler,K Kartikeya,Madhya Pradesh,R Sharma,Pune Warriors,1,92.06
bowling,middle_overs_bowler,K Kartikeya,Madhya Pradesh,M Muralitharan,Chennai Super Kings,2,90.21
bowling,middle_overs_bowler,K Kartikeya,Madhya Pradesh,A Kumble,Royal Challengers Bengaluru,3,89.34
bowling,middle_overs_bowler,KC Cariappa,Karnataka,SP Narine,Kolkata Knight Riders,1,98.42
bowling,middle_overs_bowler,KC Cariappa,Karnataka,Shahid Afridi,Sunrisers Hyderabad,2,89.05
bowling,middle_overs_bowler,KC Cariappa,Karnataka,Harmeet Singh,Sunrisers Hyderabad,3,84.82
bowling,middle_overs_bowler,KH Pandya,Baroda,R Ashwin,Chennai Super Kings,1,96.16
bowling,middle_overs_bowler,KH Pandya,Baroda,J Botha,Rajasthan Royals,2,90.7
bowling,middle_overs_bowler,KH Pandya,Baroda,AR Patel,Delhi Capitals,3,86.48
bowling,middle_overs_bowler,KV Sharma,Railways,P Negi,Royal Challengers Bengaluru,1,90.54
bowling,middle_overs_bowler,KV Sharma,Railways,IS Sodhi,Rajasthan Royals,2,89.34
bowling,middle_overs_bowler,KV Sharma,Railways,RA Jadeja,Chennai Super Kings,3,86.65
bowling,middle_overs_bowler,Kartik Tyagi,Uttar Pradesh,LR Shukla,Kolkata Knight Riders,1,60.0
bowling,middle_overs_bowler,Kartik Tyagi,Uttar Pradesh,S Ladda,Delhi Capitals,2,56.39
bowling,middle_overs_bowler,Kartik Tyagi,Uttar Pradesh,A Mithun,Royal Challengers Bengaluru,3,55.49
bowling,middle_overs_bowler,L Kishan Singha,Manipur,Harpreet Brar,Punjab Kings,1,62.32
bowling,middle_overs_bowler,L Kishan Singha,Manipur,PV Tambe,Rajasthan Royals,2,61.66
bowling,middle_overs_bowler,L Kishan Singha,Manipur,S Nadeem,Delhi Capitals,3,58.51
bowling,middle_overs_bowler,Lalit Yadav,Delhi,J Botha,Rajasthan Royals,1,91.15
bowling,middle_overs_bowler,Lalit Yadav,Delhi,AR Patel,Delhi Capitals,2,85.8
bowling,middle_overs_bowler,Lalit Yadav,Delhi,R Ashwin,Chennai Super Kings,3,82.8
bowling,middle_overs_bowler,M Markande,Punjab,RD Chahar,Mumbai Indians,1,92.92
bowling,middle_overs_bowler,M Markande,Punjab,PP Chawla,Punjab Kings,2,90.56
bowling,middle_overs_bowler,M Markande,Punjab,A Mishra,Delhi Capitals,3,88.11
bowling,middle_overs_bowler,NA Rathva,Baroda,PP Ojha,Sunrisers Hyderabad,1,86.42
bowling,middle_overs_bowler,NA Rathva,Baroda,A Kumble,Royal Challengers Bengaluru,2,84.85
bowling,middle_overs_bowler,NA Rathva,Baroda,Rashid Khan,Sunrisers Hyderabad,3,83.64
bowling,middle_overs_bowler,PP Chawla,Gujarat,PP Ojha,Sunrisers Hyderabad,1,94.53
bowling,middle_overs_bowler,PP Chawla,Gujarat,Rashid Khan,Sunrisers Hyderabad,2,93.67
bowling,middle_overs_bowler,PP Chawla,Gujarat,GB Hogg,Kolkata Knight Riders,3,90.95
bowling,middle_overs_bowler,R Parag,Assam,A Kumble,Royal Challengers Bengaluru,1,84.34
bowling,middle_overs_bowler,R Parag,Assam,M Muralitharan,Chennai Super Kings,2,81.91
bowling,middle_overs_bowler,R Parag,Assam,R Sharma,Pune Warriors,3,81.68
bowling,middle_overs_bowler,Rahul Batham,Madhya Pradesh,PD Collingwood,Delhi Capitals,1,54.65
bowling,middle_overs_bowler,Rahul Batham,Madhya Pradesh,P Sahu,Punjab Kings,2,51.38
bowling,middle_overs_bowler,Rahul Batham,Madhya Pradesh,RG Sharma,Sunrisers Hyderabad,3,50.86
bowling,middle_overs_bowler,Ravi Bishnoi,Rajasthan,Rashid Khan,Sunrisers Hyderabad,1,97.35
bowling,middle_overs_bowler,Ravi Bishnoi,Rajasthan,PP Ojha,Sunrisers Hyderabad,2,95.99
bowling,middle_overs_bowler,Ravi Bishnoi,Rajasthan,A Kumble,Royal Challengers Bengaluru,3,91.38
bowling,middle_overs_bowler,S Dube,Mumbai,CR Brathwaite,Delhi Capitals,1,78.52
bowling,middle_overs_bowler,S Dube,Mumbai,BCJ Cutting,Sunrisers Hyderabad,2,72.51
bowling,middle_overs_bowler,S Dube,Mumbai,RR Raje,Mumbai Indians,3,69.75
bowling,middle_overs_bowler,S Hegde,Karnataka,MK Lomror,Rajasthan Royals,1,79.53
bowling,middle_overs_bowler,S Hegde,Karnataka,Sikandar Raza,Punjab Kings,2,72.68
bowling,middle_overs_bowler,S Hegde,Karnataka,P Sahu,Punjab Kings,3,70.45
bowling,middle_overs_bowler,SS Agarwal,Chhattisgarh,Rashid Khan,Sunrisers Hyderabad,1,93.39
bowling,middle_overs_bowler,SS Agarwal,Chhattisgarh,R Sharma,Pune Warriors,2,90.54
bowling,middle_overs_bowler,SS Agarwal,Chhattisgarh,A Kumble,Royal Challengers Bengaluru,3,90.12
bowling,middle_overs_bowler,Sahil Lotra,Jammu & Kashmir,P Dubey,Delhi Capitals,1,81.51
bowling,middle_overs_bowler,Sahil Lotra,Jammu & Kashmir,MJ Clarke,Pune Warriors,2,78.68
bowling,middle_overs_bowler,Sahil Lotra,Jammu & Kashmir,RN ten Doeschate,Kolkata Knight Riders,3,76.38
bowling,middle_overs_bowler,Saransh Jain,Madhya Pradesh,IS Sodhi,Rajasthan Royals,1,76.82
bowling,middle_overs_bowler,Saransh Jain,Madhya Pradesh,MM Ali,Chennai Super Kings,2,72.03
bowling,middle_overs_bowler,Saransh Jain,Madhya Pradesh,Gurkeerat Singh,Punjab Kings,3,65.62
bowling,middle_overs_bowler,Shahbaz Ahmed,Bengal,Harbhajan Singh,Mumbai Indians,1,83.53
bowling,middle_overs_bowler,Shahbaz Ahmed,Bengal,MJ Santner,Chennai Super Kings,2,82.19
bowling,middle_overs_bowler,Shahbaz Ahmed,Bengal,AR Patel,Delhi Capitals,3,79.04
bowling,middle_overs_bowler,Shiva Singh,Uttar Pradesh,M Kartik,Kolkata Knight Riders,1,83.77
bowling,middle_overs_bowler,Shiva Singh,Uttar Pradesh,SK Raina,Chennai Super Kings,2,80.77
bowling,middle_overs_bowler,Shiva Singh,Uttar Pradesh,JD Ryder,Pune Warriors,3,73.8
bowling,middle_overs_bowler,Shivam Chaudhary,Railways,TM Dilshan,Delhi Capitals,1,89.74
bowling,middle_overs_bowler,Shivam Chaudhary,Railways,MK Lomror,Rajasthan Royals,2,85.13
bowling,middle_overs_bowler,Shivam Chaudhary,Railways,M Kartik,Kolkata Knight Riders,3,84.04
bowling,middle_overs_bowler,Shivam Shukla,Madhya Pradesh,Gurkeerat Singh,Punjab Kings,1,68.13
bowling,middle_overs_bowler,Shivam Shukla,Madhya Pradesh,MG Bracewell,Royal Challengers Bengaluru,2,53.82
bowling,middle_overs_bowler,Shivam Shukla,Madhya Pradesh,Sikandar Raza,Punjab Kings,3,51.99
bowling,middle_overs_bowler,Suyash Sharma,Delhi,CV Varun,Kolkata Knight Riders,1,93.46
bowling,middle_overs_bowler,Suyash Sharma,Delhi,YS Chahal,Royal Challengers Bengaluru,2,85.83
bowling,middle_overs_bowler,Suyash Sharma,Delhi,AM Ghazanfar,Mumbai Indians,3,78.9
bowling,middle_overs_bowler,TC Vanlalremruata,Mizoram,Gurkeerat Singh,Punjab Kings,1,75.45
bowling,middle_overs_bowler,TC Vanlalremruata,Mizoram,K Goel,Punjab Kings,2,68.67
bowling,middle_overs_bowler,TC Vanlalremruata,Mizoram,PD Collingwood,Delhi Capitals,3,64.72
bowling,middle_overs_bowler,Tanush Kotian,Mumbai,PP Chawla,Punjab Kings,1,87.25
bowling,middle_overs_bowler,Tanush Kotian,Mumbai,A Mishra,Delhi Capitals,2,84.42
bowling,middle_overs_bowler,Tanush Kotian,Mumbai,IS Sodhi,Rajasthan Royals,3,84.33
bowling,middle_overs_bowler,VR Iyer,Madhya Pradesh,J Botha,Rajasthan Royals,1,85.89
bowling,middle_overs_bowler,VR Iyer,Madhya Pradesh,Harbhajan Singh,Mumbai Indians,2,84.69
bowling,middle_overs_bowler,VR Iyer,Madhya Pradesh,MJ Santner,Chennai Super Kings,3,82.07
bowling,middle_overs_bowler,YS Chahal,Haryana,MJ Santner,Chennai Super Kings,1,69.85
bowling,middle_overs_bowler,YS Chahal,Haryana,JP Duminy,Delhi Capitals,2,68.61
bowling,middle_overs_bowler,YS Chahal,Haryana,S Randiv,Chennai Super Kings,3,66.23
bowling,part_time_bowler,A Badoni,Delhi,AC Voges,Rajasthan Royals,1,24.95
bowling,part_time_bowler,A Badoni,Delhi,TM Head,Royal Challengers Bengaluru,2,12.18
bowling,part_time_bowler,A Badoni,Delhi,Ramandeep Singh,Mumbai Indians,3,11.43
bowling,part_time_bowler,Aditya Jadeja,Saurashtra,GH Vihari,Sunrisers Hyderabad,1,46.4
bowling,part_time_bowler,Aditya Jadeja,Saurashtra,S Dhawan,Sunrisers Hyderabad,2,44.31
bowling,part_time_bowler,Aditya Jadeja,Saurashtra,MW Short,Punjab Kings,3,44.06
bowling,part_time_bowler,Harshit Rana,Delhi,Ramandeep Singh,Mumbai Indians,1,48.74
bowling,part_time_bowler,Harshit Rana,Delhi,TM Head,Royal Challengers Bengaluru,2,6.56
bowling,part_time_bowler,Harshit Rana,Delhi,MK Tiwary,Kolkata Knight Riders,3,2.52
bowling,part_time_bowler,MV Pithiya,Baroda,JM Kemp,Chennai Super Kings,1,58.5
bowling,part_time_bowler,MV Pithiya,Baroda,AS Raut,Rajasthan Royals,2,40.34
bowling,part_time_bowler,MV Pithiya,Baroda,Naman Dhir,Mumbai Indians,3,34.35
bowling,part_time_bowler,N Sindhu,Haryana,MW Short,Punjab Kings,1,55.09
bowling,part_time_bowler,N Sindhu,Haryana,GH Vihari,Sunrisers Hyderabad,2,49.03
bowling,part_time_bowler,N Sindhu,Haryana,S Dhawan,Sunrisers Hyderabad,3,34.46
bowling,part_time_bowler,PS Painkra,Chhattisgarh,MW Short,Punjab Kings,1,26.12
bowling,part_time_bowler,PS Painkra,Chhattisgarh,GH Vihari,Sunrisers Hyderabad,2,8.06
bowling,part_time_bowler,PS Painkra,Chhattisgarh,Ramandeep Singh,Mumbai Indians,3,2.72
bowling,part_time_bowler,SS Ghosh,Tripura,MW Short,Punjab Kings,1,83.43
bowling,part_time_bowler,SS Ghosh,Tripura,KR Mayers,Lucknow Super Giants,2,58.7
bowling,part_time_bowler,SS Ghosh,Tripura,S Dhawan,Sunrisers Hyderabad,3,46.32
bowling,part_time_bowler,Sourav Dey,Assam,D Salunkhe,Rajasthan Royals,1,67.51
bowling,part_time_bowler,Sourav Dey,Assam,SE Rutherford,Delhi Capitals,2,61.95
bowling,part_time_bowler,Sourav Dey,Assam,AJ Finch,Pune Warriors,3,58.08
bowling,part_time_bowler,Suryansh Shedge,Mumbai,Ramandeep Singh,Mumbai Indians,1,79.74
bowling,part_time_bowler,Suryansh Shedge,Mumbai,T Stubbs,Delhi Capitals,2,48.83
bowling,part_time_bowler,Suryansh Shedge,Mumbai,A Badoni,Lucknow Super Giants,3,27.86
bowling,part_time_bowler,Tripuresh Singh,Madhya Pradesh,Ramandeep Singh,Mumbai Indians,1,21.41
bowling,part_time_bowler,Tripuresh Singh,Madhya Pradesh,MW Short,Punjab Kings,2,17.18
bowling,part_time_bowler,Tripuresh Singh,Madhya Pradesh,GH Vihari,Sunrisers Hyderabad,3,13.03
bowling,powerplay_bowler,A Kamboj,Haryana,KMDN Kulasekara,Chennai Super Kings,1,81.87
bowling,powerplay_bowler,A Kamboj,Haryana,BW Hilfenhaus,Chennai Super Kings,2,60.08
bowling,powerplay_bowler,A Kamboj,Haryana,A Choudhary,Royal Challengers Bengaluru,3,57.6
bowling,powerplay_bowler,AK Sarkar,Tripura,AA Jhunjhunwala,Rajasthan Royals,1,88.89
bowling,powerplay_bowler,AK Sarkar,Tripura,Parvez Rasool,Sunrisers Hyderabad,2,80.19
bowling,powerplay_bowler,AK Sarkar,Tripura,KJ Abbott,Punjab Kings,3,73.81
bowling,powerplay_bowler,AR Pandey,Railways,Fazalhaq Farooqi,Sunrisers Hyderabad,1,91.62
bowling,powerplay_bowler,AR Pandey,Railways,AA Jhunjhunwala,Rajasthan Royals,2,91.61
bowling,powerplay_bowler,AR Pandey,Railways,KJ Abbott,Punjab Kings,3,84.09
bowling,powerplay_bowler,Abhishek Sharma,Punjab,A Chandila,Rajasthan Royals,1,86.63
bowling,powerplay_bowler,Abhishek Sharma,Punjab,Mohammad Nabi,Sunrisers Hyderabad,2,77.62
bowling,powerplay_bowler,Abhishek Sharma,Punjab,Iqbal Abdulla,Kolkata Knight Riders,3,73.33
bowling,powerplay_bowler,Ajay Sarkar,Tripura,IK Pathan,Delhi Capitals,1,75.64
bowling,powerplay_bowler,Ajay Sarkar,Tripura,AN Ahmed,Mumbai Indians,2,74.16
bowling,powerplay_bowler,Ajay Sarkar,Tripura,SR Watson,Rajasthan Royals,3,67.7
bowling,powerplay_bowler,Atharva Ankolekar,Mumbai,Iqbal Abdulla,Kolkata Knight Riders,1,91.52
bowling,powerplay_bowler,Atharva Ankolekar,Mumbai,Shakib Al Hasan,Kolkata Knight Riders,2,81.92
bowling,powerplay_bowler,Atharva Ankolekar,Mumbai,YK Pathan,Kolkata Knight Riders,3,80.04
bowling,powerplay_bowler,BM Chingakham,Manipur,KJ Abbott,Punjab Kings,1,92.12
bowling,powerplay_bowler,BM Chingakham,Manipur,P Suyal,Mumbai Indians,2,86.83
bowling,powerplay_bowler,BM Chingakham,Manipur,AA Jhunjhunwala,Rajasthan Royals,3,84.1
bowling,powerplay_bowler,Bishworjit Konthoujam,Manipur,AB Dinda,Kolkata Knight Riders,1,82.61
bowling,powerplay_bowler,Bishworjit Konthoujam,Manipur,SE Bond,Kolkata Knight Riders,2,73.63
bowling,powerplay_bowler,Bishworjit Konthoujam,Manipur,SR Watson,Rajasthan Royals,3,69.89
bowling,powerplay_bowler,CV Varun,Tamil Nadu,MF Maharoof,Delhi Capitals,1,65.87
bowling,powerplay_bowler,CV Varun,Tamil Nadu,AM Salvi,Delhi Capitals,2,63.49
bowling,powerplay_bowler,CV Varun,Tamil Nadu,M de Lange,Kolkata Knight Riders,3,58.75
bowling,powerplay_bowler,Chintan Gaja,Gujarat,MF Maharoof,Delhi Capitals,1,83.79
bowling,powerplay_bowler,Chintan Gaja,Gujarat,AD Mascarenhas,Rajasthan Royals,2,80.03
bowling,powerplay_bowler,Chintan Gaja,Gujarat,MG Johnson,Punjab Kings,3,78.14
bowling,powerplay_bowler,I Sharma,Delhi,BW Hilfenhaus,Chennai Super Kings,1,87.48
bowling,powerplay_bowler,I Sharma,Delhi,WPUJC Vaas,Sunrisers Hyderabad,2,87.32
bowling,powerplay_bowler,I Sharma,Delhi,DS Kulkarni,Rajasthan Royals,3,85.61
