team,recommendation_type,target_role,domestic_player,domestic_team,quality_score,similarity_score,gap_score,reliability_score,recent_form_score,role_fit_score,ml_suitability_score,archetype_role_match_score,cluster_label,archetype_role,final_recommendation_score,closest_ipl_benchmark,closest_ipl_benchmark_team,current_role_count,target_role_count,role_deficit,role_rank,overall_team_rank
Chennai Super Kings,batting,anchor_opener,Bikramkumar Das,Tripura,56.02,86.75,100.0,100.0,9.95,5.88,82.86,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,59.09,R Dravid,Rajasthan Royals,0,1,1,8,115
Chennai Super Kings,batting,anchor_opener,KS Sharma,Uttar Pradesh,54.32,68.68,100.0,100.0,26.85,29.41,56.33,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,57.43,AJ Finch,Gujarat Lions,0,1,1,9,126
Chennai Super Kings,batting,anchor_opener,P Prafullomani,Manipur,20.77,89.25,100.0,100.0,50.52,76.47,20.98,0.0,batting_tailender_cluster_1,tailender,57.34,RT Ponting,Mumbai Indians,0,1,1,10,128
Chennai Super Kings,batting,anchor_opener,Aarya Desai,Gujarat,46.12,87.27,100.0,58.3,65.68,23.53,47.89,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,56.85,DJM Short,Rajasthan Royals,0,1,1,11,133
Chennai Super Kings,batting,anchor_opener,Shubham Sharma,Madhya Pradesh,42.61,74.18,100.0,100.0,37.07,47.06,30.71,0.0,batting_tailender_cluster_1,tailender,56.13,MJ Clarke,Pune Warriors,0,1,1,12,136
Chennai Super Kings,batting,anchor_opener,Shubham Khajuria,Jammu & Kashmir,41.21,54.19,100.0,100.0,63.26,41.18,34.59,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,55.27,M Vijay,Chennai Super Kings,0,1,1,13,139
Chennai Super Kings,batting,anchor_opener,Denish Das,Assam,28.86,76.72,100.0,100.0,36.96,70.59,20.22,0.0,batting_tailender_cluster_1,tailender,55.06,SP Goswami,Royal Challengers Bengaluru,0,1,1,14,141
Chennai Super Kings,batting,anchor_opener,Eknath Kerkar,Goa,32.64,93.12,100.0,100.0,31.44,11.76,50.34,0.0,batting_tailender_cluster_1,tailender,54.85,JEC Franklin,Mumbai Indians,0,1,1,15,142
Chennai Super Kings,batting,anchor_opener,A Raghuvanshi,Mumbai,42.23,62.27,100.0,48.3,46.25,82.35,33.57,0.0,batting_aggressive_opener_cluster_0,aggressive_opener,53.83,MJ Clarke,Pune Warriors,0,1,1,16,145
Chennai Super Kings,batting,anchor_opener,G Ajitesh,Tamil Nadu,17.2,59.51,100.0,24.2,20.27,17.65,55.69,0.0,batting_tailender_cluster_2,tailender,39.15,Anuj Rawat,Royal Challengers Bengaluru,0,1,1,17,182
Chennai Super Kings,allrounder,batting_allrounder,Chirag Jani,Saurashtra,73.17,85.04,100.0,0.0,87.41,92.31,89.63,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,69.32,SM Pollock,Mumbai Indians,0,2,2,1,50
Chennai Super Kings,allrounder,batting_allrounder,HV Patel,Haryana,94.22,95.99,100.0,0.0,38.56,61.54,99.54,0.0,allrounder_pure_bowler_cluster_4,pure_bowler,68.21,MR Marsh,Delhi Capitals,0,2,2,2,59
