dataset,feature,count,missing_count,min,max,mean,median,std
smat_bowling,mid_workload_pct,970,0,0.0,1.0,0.532,0.586,0.331
smat_bowling,death_workload_pct,970,0,0.0,1.0,0.189,0.155,0.196
smat_bowling,wickets_in_wins,726,244,0.0,5.0,1.067,1.0,0.792
smat_bowling,wickets_in_losses,856,114,0.0,4.0,0.593,0.5,0.538
smat_bowling,balls_bowled_per_match,970,0,1.0,24.0,16.541,18.0,5.457
smat_bowling,sample_reliability_score,970,0,0.067,1.0,0.611,0.638,0.365
smat_bowling,season_start_year,970,0,2015.0,2024.0,2020.392,2021.0,2.47
smat_allrounder,season_start_year,1463,0,2015.0,2024.0,2020.403,2021.0,2.454
smat_allrounder,batting_strength_score,1463,0,0.0,141.4,37.375,37.57,24.505
smat_allrounder,bowling_strength_score,1463,0,0.0,192.05,47.855,55.27,38.89
smat_allrounder,allrounder_index,1463,0,0.0,118.95,42.615,42.11,20.399
smat_allrounder,total_runs,1301,162,0.0,1432.0,141.953,43.0,228.877
smat_allrounder,total_matches,1301,162,1.0,46.0,8.124,4.0,8.795
smat_allrounder,total_balls_faced,1301,162,0.0,1175.0,118.998,43.0,174.827
smat_allrounder,avg_runs,1301,162,0.0,68.0,12.145,9.67,10.028
smat_allrounder,strike_rate,1300,163,0.0,400.0,97.444,100.965,46.219
smat_allrounder,total_wickets,970,493,0.0,67.0,7.801,4.0,10.45
smat_allrounder,total_matches_bowled,970,493,1.0,47.0,8.534,5.0,9.068
smat_allrounder,total_balls_bowled,970,493,1.0,1028.0,159.157,84.0,187.952
smat_allrounder,avg_wickets_per_match,970,493,0.0,4.0,0.764,0.75,0.601
smat_allrounder,economy_rate,970,493,0.0,30.0,8.191,7.75,2.524
smat_positions,avg_position,1301,0,1.0,11.0,5.86,5.765,2.923
smat_positions,median_position,1301,0,1.0,11.0,5.844,6.0,3.035
smat_positions,highest_position,1301,0,1.0,11.0,4.736,4.0,3.184
smat_positions,lowest_position,1301,0,1.0,11.0,7.087,7.0,2.839
smat_positions,typical_position,1301,0,1.0,11.0,5.596,6.0,3.142
ipl_batting,total_runs,727,0,0.0,9040.0,508.902,73.0,1083.643
ipl_batting,total_matches,727,0,1.0,270.0,25.171,8.0,40.639
ipl_batting,total_balls_faced,727,0,1.0,6748.0,383.095,71.0,796.953
ipl_batting,total_fours,727,0,0.0,814.0,46.0,6.0,101.635
ipl_batting,total_sixes,727,0,0.0,357.0,20.807,2.0,45.708
ipl_batting,total_dismissed,727,0,0.0,239.0,18.912,5.0,32.822
ipl_batting,avg_runs,727,0,0.0,69.0,11.928,9.5,9.542
ipl_batting,highest_score,727,0,0.0,175.0,37.433,24.0,35.3
ipl_batting,lowest_score,727,0,0.0,69.0,1.466,0.0,4.178
ipl_batting,not_out_rate,727,0,0.0,1.0,0.325,0.25,0.294
ipl_batting,duck_count,727,0,0.0,19.0,1.911,1.0,2.845
