player,total_wickets,total_matches_bowled,total_balls_bowled,total_runs_conceded,total_wides,total_noballs,economy_rate,bowling_average,bowling_strike_rate,avg_wickets_per_match,bowling_consistency,two_plus_hauls,two_plus_haul_rate,bowling_dot_rate,wide_rate,noball_rate,pp_economy,mid_economy,death_economy,pp_wicket_contribution,mid_wicket_contribution,death_wicket_contribution,dominant_phase,bowling_role,wickets_in_wins,wickets_in_losses,team
Rasikh Salam,9,9,202,265,4,2,7.87,29.44,22.44,1.0,1.22,2,0.222,0.416,0.444,0.222,7.33,9.57,7.54,0.446,0.208,0.347,powerplay,powerplay_bowler,1.5,0.6,Jammu & Kashmir
Raushan Raj,10,5,120,135,5,0,6.75,13.5,12.0,2.0,1.0,3,0.6,0.45,1.0,0.0,6.14,,8.17,0.7,0.0,0.3,powerplay,powerplay_bowler,2.0,2.0,Services
Ravi Bishnoi,29,19,438,427,16,0,5.85,14.72,15.1,1.526,0.9,9,0.474,0.427,0.842,0.0,6.0,5.57,7.08,0.068,0.767,0.164,middle,middle_overs_bowler,1.5,1.57,Rajasthan
Ravi Kiran,20,19,411,531,10,1,7.75,26.55,20.55,1.053,1.22,7,0.368,0.35,0.526,0.053,6.88,6.75,9.17,0.496,0.117,0.387,middle,powerplay_bowler,2.2,0.64,Hyderabad (India)
Ravi Teja,28,20,413,526,12,1,7.64,18.79,14.75,1.4,1.6,7,0.35,0.344,0.6,0.05,7.06,7.56,8.44,0.262,0.494,0.245,powerplay,all_phases_bowler,2.22,0.73,Hyderabad (India)
Ravikumar Thakur,22,12,269,366,5,0,8.16,16.64,12.23,1.833,1.27,7,0.583,0.338,0.417,0.0,8.0,7.58,8.56,0.245,0.268,0.487,middle,death_bowler,2.17,1.5,Vidarbha
Remruatdika Ralte,3,8,124,166,3,0,8.03,55.33,41.33,0.375,0.74,1,0.125,0.363,0.375,0.0,7.62,6.75,10.93,0.387,0.387,0.226,middle,all_phases_bowler,2.0,0.14,Mizoram
Rex Rajkumar,8,16,269,360,5,1,8.03,45.0,33.62,0.5,0.97,3,0.188,0.413,0.312,0.062,7.3,8.09,13.68,0.736,0.171,0.093,powerplay,powerplay_bowler,1.0,0.38,Manipur
Rinsangzela Hmamte,3,5,85,100,1,0,7.06,33.33,28.33,0.6,0.55,0,0.0,0.224,0.2,0.0,6.0,7.43,5.5,0.071,0.788,0.141,death,middle_overs_bowler,0.0,0.75,Mizoram
Ritesh Negi,1,3,54,90,1,0,10.0,90.0,54.0,0.333,0.58,0,0.0,0.352,0.333,0.0,9.8,6.0,14.5,0.556,0.222,0.222,middle,powerplay_bowler,1.0,0.0,Services
Rohan Prem,3,6,78,61,0,0,4.69,20.33,26.0,0.5,0.84,1,0.167,0.474,0.0,0.0,,4.69,,0.0,1.0,0.0,middle,middle_overs_bowler,0.5,,Kerala
Rohit Dahiya,5,8,126,204,3,1,9.71,40.8,25.2,0.625,1.06,1,0.125,0.278,0.375,0.125,14.0,8.35,16.0,0.048,0.81,0.143,middle,middle_overs_bowler,1.0,0.25,Gujarat
Rohit Dangwal,4,5,102,130,2,0,7.65,32.5,25.5,0.8,1.3,1,0.2,0.294,0.4,0.0,6.8,8.86,,0.588,0.412,0.0,powerplay,powerplay_bowler,1.33,0.0,Uttarakhand
Rohit Sharma,0,5,84,97,6,1,6.93,,,0.0,0.0,0,0.0,0.488,1.2,0.2,6.67,10.0,7.0,0.857,0.071,0.071,powerplay,powerplay_bowler,,0.0,Jammu & Kashmir
Rongsen Jonathan,2,6,83,103,4,0,7.45,51.5,41.5,0.333,0.52,0,0.0,0.313,0.667,0.0,,6.82,9.88,0.0,0.795,0.205,middle,middle_overs_bowler,1.0,0.2,Nagaland
Roosh Kalaria,28,24,498,610,10,0,7.35,21.79,17.79,1.167,0.76,7,0.292,0.398,0.417,0.0,6.38,5.18,9.31,0.482,0.133,0.386,middle,powerplay_bowler,1.2,1.11,Gujarat
Roshan Alam,10,12,246,264,6,0,6.44,26.4,24.6,0.833,0.94,2,0.167,0.366,0.5,0.0,5.0,5.52,11.0,0.024,0.805,0.171,powerplay,middle_overs_bowler,1.0,0.71,Assam
Royston Dias,3,4,82,142,3,0,10.39,47.33,27.33,0.75,0.96,1,0.25,0.341,0.75,0.0,9.43,12.0,10.91,0.512,0.22,0.268,powerplay,powerplay_bowler,1.0,0.5,Mumbai
S Aravind,20,12,254,300,6,1,7.09,15.0,12.7,1.667,0.98,5,0.417,0.394,0.5,0.083,6.82,6.5,7.74,0.52,0.142,0.339,middle,powerplay_bowler,1.43,2.0,Karnataka
S Dube,29,34,596,842,21,5,8.48,29.03,20.55,0.853,0.89,7,0.206,0.29,0.618,0.147,7.69,7.84,10.75,0.131,0.644,0.225,powerplay,middle_overs_bowler,1.1,0.46,Mumbai
S Gopal,38,27,500,563,5,0,6.76,14.82,13.16,1.407,1.53,11,0.407,0.408,0.185,0.0,10.0,6.87,4.5,0.036,0.868,0.096,death,middle_overs_bowler,1.68,0.2,Karnataka
S Hegde,1,3,60,84,0,0,8.4,84.0,60.0,0.333,0.58,0,0.0,0.283,0.0,0.0,13.0,7.89,,0.1,0.9,0.0,middle,middle_overs_bowler,1.0,0.0,Karnataka
S Kaul,60,47,1028,1360,23,2,7.94,22.67,17.13,1.277,1.21,17,0.362,0.407,0.489,0.043,6.38,8.41,9.48,0.444,0.158,0.399,powerplay,powerplay_bowler,1.31,1.22,Punjab
S Midhun,24,24,530,588,8,0,6.66,24.5,22.08,1.0,1.1,5,0.208,0.355,0.333,0.0,8.29,6.42,7.0,0.079,0.762,0.158,middle,middle_overs_bowler,1.13,0.78,Kerala
S Nadeem,29,28,647,692,12,1,6.42,23.86,22.31,1.036,0.96,7,0.25,0.368,0.429,0.036,6.95,6.26,6.45,0.176,0.64,0.184,middle,middle_overs_bowler,1.33,0.69,Jharkhand
S Sanandia,21,10,212,227,1,2,6.42,10.81,10.1,2.1,0.88,8,0.8,0.467,0.1,0.2,6.6,6.0,6.24,0.566,0.085,0.349,middle,powerplay_bowler,2.33,1.75,Saurashtra
S Sandeep Warrier,35,37,785,968,33,6,7.4,27.66,22.43,0.946,0.91,10,0.27,0.462,0.892,0.162,6.37,6.26,10.4,0.596,0.145,0.259,middle,powerplay_bowler,1.04,0.73,Kerala
S Sreesanth,4,4,84,136,5,0,9.71,34.0,21.0,1.0,0.82,1,0.25,0.345,1.25,0.0,9.67,8.33,14.0,0.429,0.429,0.143,middle,powerplay_bowler,1.5,0.5,Kerala
SB Jakati,13,11,248,306,4,0,7.4,23.54,19.08,1.182,1.54,4,0.364,0.355,0.364,0.0,11.0,6.21,9.81,0.024,0.677,0.298,middle,middle_overs_bowler,0.0,1.3,Goa
SB Wagh,32,23,451,531,19,1,7.06,16.59,14.09,1.391,1.16,10,0.435,0.424,0.826,0.043,6.51,2.0,8.8,0.678,0.027,0.295,middle,powerplay_bowler,1.53,1.12,Vidarbha
SD Lad,17,26,324,391,16,1,7.24,23.0,19.06,0.654,1.2,4,0.154,0.358,0.615,0.038,7.56,7.31,6.33,0.167,0.722,0.111,death,middle_overs_bowler,0.75,0.5,Mumbai
SI Sopariya,3,4,90,100,0,0,6.67,33.33,30.0,0.75,0.5,0,0.0,0.467,0.0,0.0,3.62,8.4,14.5,0.533,0.333,0.133,powerplay,powerplay_bowler,0.67,1.0,Baroda
SJ Barman,2,4,90,107,0,0,7.13,53.5,45.0,0.5,0.58,0,0.0,0.256,0.0,0.0,14.0,7.08,1.0,0.067,0.867,0.067,death,middle_overs_bowler,,0.5,Assam
SK Ismail,4,5,110,166,4,0,9.05,41.5,27.5,0.8,1.3,1,0.2,0.255,0.8,0.0,8.0,8.4,18.0,0.109,0.818,0.073,powerplay,middle_overs_bowler,1.5,0.33,Andhra
SK Raina,2,10,108,112,2,0,6.22,56.0,54.0,0.2,0.42,0,0.0,0.259,0.2,0.0,,6.18,6.29,0.0,0.611,0.389,middle,middle_overs_bowler,0.25,0.0,Uttar Pradesh
SL Verma,2,3,30,29,0,0,5.8,14.5,15.0,0.667,0.58,0,0.0,0.267,0.0,0.0,,6.25,4.0,0.0,0.8,0.2,death,middle_overs_bowler,0.5,1.0,Himachal
SM Fallah,26,28,604,750,23,0,7.45,28.85,23.23,0.929,0.6,4,0.143,0.389,0.821,0.0,5.78,6.38,10.21,0.576,0.053,0.371,powerplay,powerplay_bowler,1.19,0.58,Maharashtra
SM Gugale,4,4,51,97,1,2,11.41,24.25,12.75,1.0,1.41,1,0.25,0.196,0.25,0.5,,12.4,10.0,0.0,0.588,0.412,death,death_bowler,2.0,0.0,Maharashtra
SM Kazi,18,14,288,352,2,0,7.33,19.56,16.0,1.286,0.83,5,0.357,0.319,0.143,0.0,8.67,7.17,7.0,0.125,0.75,0.125,death,middle_overs_bowler,1.25,1.33,Maharashtra
SN Patel,4,3,60,95,1,0,9.5,23.75,15.0,1.333,2.31,1,0.333,0.433,0.333,0.0,8.75,6.75,16.5,0.4,0.4,0.2,middle,powerplay_bowler,1.33,,Gujarat
SN Thakur,35,32,675,925,35,2,8.22,26.43,19.29,1.094,0.86,11,0.344,0.391,1.094,0.062,8.12,7.15,9.01,0.516,0.178,0.307,middle,powerplay_bowler,1.26,0.67,Mumbai
SS Agarwal,9,8,137,154,3,0,6.74,17.11,15.22,1.125,1.73,2,0.25,0.365,0.375,0.0,6.0,6.71,7.3,0.088,0.745,0.168,powerplay,middle_overs_bowler,1.67,0.8,Chhattisgarh
SS Bandekar,10,6,132,143,5,0,6.5,14.3,13.2,1.667,1.37,3,0.5,0.47,0.833,0.0,4.75,8.0,9.0,0.545,0.182,0.273,powerplay,powerplay_bowler,2.0,1.6,Goa
SS Bandiwar,3,3,60,76,3,1,7.6,25.33,20.0,1.0,0.0,0,0.0,0.433,1.0,0.333,7.0,13.0,,0.9,0.1,0.0,powerplay,powerplay_bowler,,1.0,Vidarbha
SS Ghosh,0,3,42,47,0,0,6.71,,,0.0,0.0,0,0.0,0.31,0.0,0.0,7.25,6.0,,0.571,0.429,0.0,middle,powerplay_bowler,0.0,0.0,Tripura
SS Iyer,1,3,41,73,1,0,10.68,73.0,41.0,0.333,0.58,0,0.0,0.317,0.333,0.0,,10.68,,0.0,1.0,0.0,middle,middle_overs_bowler,0.5,0.0,Mumbai
SS Majumder,14,16,274,316,6,0,6.92,22.57,19.57,0.875,1.02,5,0.312,0.281,0.375,0.0,6.6,6.93,7.02,0.109,0.591,0.299,powerplay,middle_overs_bowler,1.5,0.67,Tripura
SS Mundhe,12,23,367,507,20,0,8.29,42.25,30.58,0.522,0.73,3,0.13,0.357,0.87,0.0,7.38,8.23,10.18,0.425,0.36,0.215,powerplay,powerplay_bowler,0.89,0.29,Nagaland
SS Prabhudessai,2,9,102,129,3,1,7.59,64.5,51.0,0.222,0.44,0,0.0,0.255,0.333,0.111,,6.73,14.0,0.0,0.882,0.118,middle,middle_overs_bowler,0.25,0.2,Goa
