player,team,matches,innings,runs,balls_faced,fours,sixes,dismissals,not_outs,high_score,ducks,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls,dot_balls,strike_rate,average,pp_strike_rate,mid_strike_rate,death_strike_rate,batting_phase,sample_reliability_score,balls_faced_per_match,boundary_rate,six_rate,four_rate,dot_ball_rate,season_start_year
Riyan Parag,Rajasthan Royals,14,14,309,196,24,21,13,1,90,0,53,40,242,146,14,10,75,157.65,23.77,132.5,165.75,140.0,mid_strike_rate,1.0,14.0,0.23,0.107,0.122,0.383,2026
Robin Minz,Mumbai Indians,2,2,6,4,1,0,1,1,5,0,0,0,0,0,6,4,1,150.0,6.0,,,150.0,death_strike_rate,0.142,2.0,0.25,0.0,0.25,0.25,2026
Rohit Sharma,Mumbai Indians,9,9,283,180,21,21,9,0,84,1,180,118,103,62,0,0,71,157.22,31.44,152.54,166.13,,mid_strike_rate,1.0,20.0,0.233,0.117,0.117,0.394,2026
Romario Shepherd,Royal Challengers Bengaluru,7,7,83,66,6,5,4,3,23,0,0,0,49,33,34,33,27,125.76,20.75,,148.48,103.03,mid_strike_rate,0.712,9.43,0.167,0.076,0.091,0.409,2026
Rovman Powell,Kolkata Knight Riders,7,7,191,142,16,10,4,3,40,0,16,14,103,87,72,41,53,134.51,47.75,114.29,118.39,175.61,death_strike_rate,0.938,20.29,0.183,0.07,0.113,0.373,2026
Ruturaj Gaikwad,Chennai Super Kings,14,14,337,273,29,12,12,2,74,0,198,153,106,102,33,18,104,123.44,28.08,129.41,103.92,183.33,death_strike_rate,1.0,19.5,0.15,0.044,0.106,0.381,2026
Ryan Rickelton,Mumbai Indians,12,12,448,240,31,38,11,1,123,0,257,149,167,78,24,13,84,186.67,40.73,172.48,214.1,184.62,mid_strike_rate,1.0,20.0,0.288,0.158,0.129,0.35,2026
Sahil Parakh,Delhi Capitals,4,4,46,33,5,2,4,0,24,1,24,14,22,19,0,0,14,139.39,11.5,171.43,115.79,,pp_strike_rate,0.388,8.25,0.212,0.061,0.152,0.424,2026
Sai Sudharsan,Gujarat Titans,17,17,722,458,75,30,16,1,100,1,347,244,299,179,76,35,143,157.64,45.12,142.21,167.04,217.14,death_strike_rate,1.0,26.94,0.229,0.066,0.164,0.312,2026
Sakib Hussain,Sunrisers Hyderabad,1,1,5,7,1,0,0,1,5,0,0,0,0,0,5,7,5,71.43,,,,71.43,death_strike_rate,0.092,7.0,0.143,0.0,0.143,0.714,2026
Salil Arora,Sunrisers Hyderabad,11,11,156,98,11,11,7,4,35,1,2,1,66,49,88,48,34,159.18,22.29,200.0,134.69,183.33,pp_strike_rate,0.908,8.91,0.224,0.112,0.112,0.347,2026
Sameer Rizvi,Delhi Capitals,9,9,252,171,15,17,7,2,90,2,9,21,180,116,63,34,62,147.37,36.0,42.86,155.17,185.29,death_strike_rate,1.0,19.0,0.187,0.099,0.088,0.363,2026
Sanju Samson,Chennai Super Kings,14,14,475,287,53,24,11,3,115,1,239,156,166,96,70,35,99,165.51,43.18,153.21,172.92,200.0,death_strike_rate,1.0,20.5,0.268,0.084,0.185,0.345,2026
Sarfaraz Khan,Chennai Super Kings,7,7,161,95,23,6,7,0,50,1,83,44,51,41,27,10,37,169.47,23.0,188.64,124.39,270.0,death_strike_rate,0.833,13.57,0.305,0.063,0.242,0.389,2026
Saurabh Dubey,Kolkata Knight Riders,1,1,4,2,1,0,0,1,4,0,0,0,0,0,4,2,1,200.0,,,,200.0,death_strike_rate,0.071,2.0,0.5,0.0,0.5,0.5,2026
Shahbaz Ahmed,Lucknow Super Giants,2,2,58,41,4,3,0,2,43,0,0,0,9,10,49,31,12,141.46,,,90.0,158.06,death_strike_rate,0.296,20.5,0.171,0.073,0.098,0.293,2026
Shahrukh Khan,Gujarat Titans,5,5,43,33,3,2,3,2,17,0,0,0,36,25,7,8,11,130.3,14.33,,144.0,87.5,mid_strike_rate,0.45,6.6,0.152,0.061,0.091,0.333,2026
Shardul Thakur,Mumbai Indians,3,3,24,30,2,0,2,1,10,0,0,0,11,13,13,17,13,80.0,12.0,,84.62,76.47,mid_strike_rate,0.312,10.0,0.067,0.0,0.067,0.433,2026
Shashank Singh,Punjab Kings,9,9,132,70,11,8,6,3,56,1,0,0,44,27,88,43,16,188.57,22.0,,162.96,204.65,death_strike_rate,0.792,7.78,0.271,0.114,0.157,0.229,2026
Sherfane Rutherford,Mumbai Indians,7,7,123,75,5,12,5,2,71,1,0,0,54,39,69,36,29,164.0,24.6,,138.46,191.67,death_strike_rate,0.75,10.71,0.227,0.16,0.067,0.387,2026
Shimron Hetmyer,Rajasthan Royals,7,7,78,69,5,3,6,1,22,1,8,10,47,40,23,19,29,113.04,13.0,80.0,117.5,121.05,death_strike_rate,0.725,9.86,0.116,0.043,0.072,0.42,2026
Shivam Dube,Chennai Super Kings,12,12,270,170,24,15,7,5,47,0,1,1,138,88,131,81,57,158.82,38.57,100.0,156.82,161.73,death_strike_rate,1.0,14.17,0.229,0.088,0.141,0.335,2026
Shivang Kumar,Sunrisers Hyderabad,6,6,53,46,6,1,6,0,27,0,0,0,12,17,41,29,19,115.22,8.83,,70.59,141.38,death_strike_rate,0.567,7.67,0.152,0.022,0.13,0.413,2026
Shreyas Iyer,Punjab Kings,13,13,498,294,39,30,9,4,101,0,57,41,290,182,151,71,78,169.39,55.33,139.02,159.34,212.68,death_strike_rate,1.0,22.62,0.235,0.102,0.133,0.265,2026
Shubham Dubey,Rajasthan Royals,6,6,81,58,8,3,4,2,31,0,0,0,21,17,60,41,20,139.66,20.25,,123.53,146.34,death_strike_rate,0.617,9.67,0.19,0.052,0.138,0.345,2026
Shubman Gill,Gujarat Titans,16,16,732,449,74,33,15,1,104,0,330,209,365,215,37,25,139,163.03,48.8,157.89,169.77,148.0,mid_strike_rate,1.0,28.06,0.238,0.073,0.165,0.31,2026
Smaran Ravichandran,Sunrisers Hyderabad,4,4,19,25,3,0,3,1,9,0,10,19,4,4,5,2,15,76.0,6.33,52.63,100.0,250.0,death_strike_rate,0.354,6.25,0.12,0.0,0.12,0.6,2026
Spencer Johnson,Chennai Super Kings,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0.0,0.0,,0.0,,mid_strike_rate,0.067,1.0,0.0,0.0,0.0,1.0,2026
Sunil Narine,Kolkata Knight Riders,4,4,40,32,2,4,3,1,24,1,24,17,12,4,4,11,19,125.0,13.33,141.18,300.0,36.36,mid_strike_rate,0.383,8.0,0.188,0.125,0.062,0.594,2026
Suryakumar Yadav,Mumbai Indians,13,13,270,183,28,10,13,0,60,2,81,54,176,117,13,12,59,147.54,20.77,150.0,150.43,108.33,mid_strike_rate,1.0,14.08,0.208,0.055,0.153,0.322,2026
Suryansh Shedge,Punjab Kings,7,7,158,90,9,12,4,3,57,0,16,9,102,59,40,22,25,175.56,39.5,177.78,172.88,181.82,death_strike_rate,0.812,12.86,0.233,0.133,0.1,0.278,2026
Sushant Mishra,Rajasthan Royals,1,1,1,3,0,0,0,1,1,0,0,0,0,0,1,3,2,33.33,,,,33.33,death_strike_rate,0.075,3.0,0.0,0.0,0.0,0.667,2026
Tejasvi Dahiya,Kolkata Knight Riders,2,2,12,15,2,0,2,0,11,0,0,0,1,3,11,12,9,80.0,6.0,,33.33,91.67,death_strike_rate,0.188,7.5,0.133,0.0,0.133,0.6,2026
Tilak Varma,Mumbai Indians,14,14,359,246,30,17,12,2,101,1,41,45,164,141,154,60,78,145.93,29.92,91.11,116.31,256.67,death_strike_rate,1.0,17.57,0.191,0.069,0.122,0.317,2026
Tim David,Royal Challengers Bengaluru,15,15,305,162,22,23,9,6,70,1,0,0,138,84,167,78,43,188.27,33.89,,164.29,214.1,death_strike_rate,1.0,10.8,0.278,0.142,0.136,0.265,2026
Tim Seifert,Kolkata Knight Riders,3,3,19,18,2,1,3,0,19,2,19,18,0,0,0,0,10,105.56,6.33,105.56,,,pp_strike_rate,0.262,6.0,0.167,0.056,0.111,0.556,2026
Travis Head,Sunrisers Hyderabad,15,15,410,241,46,23,15,0,76,1,337,198,73,43,0,0,96,170.12,27.33,170.2,169.77,,pp_strike_rate,1.0,16.07,0.286,0.095,0.191,0.398,2026
Trent Boult,Mumbai Indians,2,2,8,4,0,1,1,1,7,0,0,0,1,2,7,2,1,200.0,8.0,,50.0,350.0,death_strike_rate,0.142,2.0,0.25,0.25,0.0,0.25,2026
Tristan Stubbs,Delhi Capitals,13,13,275,216,18,9,6,7,60,0,28,28,140,113,107,75,62,127.31,45.83,100.0,123.89,142.67,death_strike_rate,1.0,16.62,0.125,0.042,0.083,0.287,2026
Tushar Deshpande,Rajasthan Royals,2,2,26,14,0,3,2,0,25,0,0,0,0,1,26,13,5,185.71,13.0,,0.0,200.0,death_strike_rate,0.183,7.0,0.214,0.214,0.0,0.357,2026
Urvil Patel,Chennai Super Kings,7,7,129,64,6,14,7,0,65,1,102,47,27,17,0,0,27,201.56,18.43,217.02,158.82,,pp_strike_rate,0.704,9.14,0.312,0.219,0.094,0.422,2026
Vaibhav Arora,Kolkata Knight Riders,2,2,1,3,0,0,0,2,1,0,0,0,0,0,1,3,2,33.33,,,,33.33,death_strike_rate,0.138,1.5,0.0,0.0,0.0,0.667,2026
Vaibhav Sooryavanshi,Rajasthan Royals,16,16,776,327,63,72,16,0,103,1,521,223,226,94,29,10,108,237.31,48.5,233.63,240.43,290.0,death_strike_rate,1.0,20.44,0.413,0.22,0.193,0.33,2026
Varun Chakaravarthy,Kolkata Knight Riders,2,2,5,6,1,0,2,0,5,1,0,0,0,0,5,6,4,83.33,2.5,,,83.33,death_strike_rate,0.15,3.0,0.167,0.0,0.167,0.667,2026
Venkatesh Iyer,Royal Challengers Bengaluru,6,6,209,112,21,13,4,2,73,0,95,42,41,25,73,45,38,186.61,52.25,226.19,164.0,162.22,pp_strike_rate,0.842,18.67,0.304,0.116,0.188,0.339,2026
Vijaykumar Vyshak,Punjab Kings,2,2,2,4,0,0,0,2,1,0,0,0,0,0,2,4,2,50.0,,,,50.0,death_strike_rate,0.142,2.0,0.0,0.0,0.0,0.5,2026
Vipraj Nigam,Delhi Capitals,2,2,15,10,2,0,1,1,12,0,0,0,0,0,15,10,2,150.0,15.0,,,150.0,death_strike_rate,0.167,5.0,0.2,0.0,0.2,0.2,2026
Virat Kohli,Royal Challengers Bengaluru,16,16,675,408,73,25,12,4,105,2,360,206,249,175,66,27,107,165.44,56.25,174.76,142.29,244.44,death_strike_rate,1.0,25.5,0.24,0.061,0.179,0.262,2026
Vishnu Vinod,Punjab Kings,1,1,15,8,1,1,0,1,15,0,0,0,0,0,15,8,2,187.5,,,,187.5,death_strike_rate,0.096,8.0,0.25,0.125,0.125,0.25,2026
Washington Sundar,Gujarat Titans,16,16,377,251,40,12,10,6,55,0,20,13,158,123,199,115,70,150.2,37.7,153.85,128.46,173.04,death_strike_rate,1.0,15.69,0.207,0.048,0.159,0.279,2026
Will Jacks,Mumbai Indians,7,7,139,76,12,9,5,2,46,0,48,27,47,30,44,19,22,182.89,27.8,177.78,156.67,231.58,death_strike_rate,0.754,10.86,0.276,0.118,0.158,0.289,2026
Xavier Bartlett,Punjab Kings,3,3,29,13,2,2,1,2,18,1,0,0,0,0,29,13,3,223.08,29.0,,,223.08,death_strike_rate,0.242,4.33,0.308,0.154,0.154,0.231,2026
Yashasvi Jaiswal,Rajasthan Royals,16,16,426,279,52,18,14,2,77,0,302,188,124,91,0,0,111,152.69,30.43,160.64,136.26,,pp_strike_rate,1.0,17.44,0.251,0.065,0.186,0.398,2026
