player,team,season_start_year,batting_strength_score,bowling_strength_score,allrounder_index,is_batting_allrounder,is_bowling_allrounder,allrounder_role,total_runs,total_matches,total_balls_faced,avg_runs,strike_rate,batting_role,total_wickets,total_matches_bowled,total_balls_bowled,avg_wickets_per_match,economy_rate,bowling_role,cluster_id,cluster_label,archetype_role
MJ Santner,Chennai Super Kings,2026.0,40.97,76.02,58.5,False,False,utility_player,136.0,21.0,123.0,6.48,110.57,tailender,30.0,35.0,687.0,0.857,7.51,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
MJ Suthar,Gujarat Titans,2024.0,17.85,69.64,43.74,False,False,pure_bowler,1.0,1.0,2.0,1.0,50.0,tailender,2.0,3.0,42.0,0.667,9.57,part_time_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
MK Lomror,Royal Challengers Bengaluru,2024.0,60.72,45.9,53.31,False,False,pure_batter,527.0,35.0,373.0,15.06,141.29,finisher,1.0,11.0,90.0,0.091,8.47,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
MK Pandey,Kolkata Knight Riders,2025.0,61.15,0.0,30.58,False,False,pure_batter,3942.0,161.0,3244.0,24.48,121.52,finisher,,,,,,,5,allrounder_pure_batter_cluster_5,pure_batter
MK Tiwary,Kolkata Knight Riders,2018.0,57.12,46.45,51.78,False,False,pure_batter,1695.0,83.0,1449.0,20.42,116.98,middle_order,1.0,6.0,42.0,0.167,11.86,part_time_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
ML Hayden,Chennai Super Kings,2010.0,76.17,0.0,38.08,False,False,pure_batter,1107.0,32.0,805.0,34.59,137.52,aggressive_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
MM Ali,Chennai Super Kings,2025.0,63.46,71.12,67.29,True,True,batting_allrounder,1167.0,59.0,835.0,19.78,139.76,finisher,41.0,57.0,854.0,0.719,7.23,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
MM Patel,Rajasthan Royals,2017.0,34.43,89.42,61.92,False,False,pure_bowler,39.0,12.0,41.0,3.25,95.12,tailender,74.0,63.0,1355.0,1.175,7.52,powerplay_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
MM Sharma,Punjab Kings,2025.0,33.63,84.6,59.11,False,False,utility_player,125.0,30.0,136.0,4.17,91.91,tailender,134.0,119.0,2403.0,1.126,8.77,death_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
MN Samuels,Pune Warriors,2017.0,41.08,74.8,57.94,False,True,bowling_allrounder,161.0,14.0,172.0,11.5,93.6,middle_order,9.0,11.0,214.0,0.818,7.96,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
MN van Wyk,Kolkata Knight Riders,2009.0,73.97,0.0,36.98,False,False,pure_batter,167.0,5.0,132.0,33.4,126.52,top_order_anchor,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
MP Breetzke,Lucknow Super Giants,2025.0,45.73,0.0,22.86,False,False,pure_batter,14.0,1.0,12.0,14.0,116.67,anchor_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
MP Stoinis,Lucknow Super Giants,2026.0,65.75,64.46,65.1,True,True,batting_allrounder,2136.0,104.0,1448.0,20.54,147.51,finisher,44.0,73.0,900.0,0.603,9.85,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
MP Yadav,Lucknow Super Giants,2026.0,36.75,92.4,64.58,False,False,pure_bowler,5.0,1.0,5.0,5.0,100.0,tailender,9.0,7.0,145.0,1.286,9.97,middle_overs_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
MR Marsh,Delhi Capitals,2026.0,69.8,83.12,76.46,True,True,batting_allrounder,1504.0,57.0,1063.0,26.39,141.49,aggressive_opener,37.0,34.0,560.0,1.088,8.52,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
MS Bhandage,Royal Challengers Bengaluru,2025.0,9.1,0.0,4.55,False,False,pure_batter,1.0,1.0,4.0,1.0,25.0,tailender,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
MS Bisla,Kolkata Knight Riders,2015.0,51.57,0.0,25.78,False,False,pure_batter,798.0,39.0,702.0,20.46,113.68,anchor_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
MS Dhoni,Chennai Super Kings,2025.0,64.47,0.0,32.24,False,False,pure_batter,5439.0,241.0,3957.0,22.57,137.45,finisher,,,,,,,5,allrounder_pure_batter_cluster_5,pure_batter
MS Gony,Chennai Super Kings,2013.0,53.12,76.26,64.69,False,False,pure_bowler,99.0,15.0,71.0,6.6,139.44,tailender,37.0,44.0,888.0,0.841,8.7,powerplay_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
MS Wade,Gujarat Titans,2024.0,45.05,0.0,22.52,False,False,pure_batter,183.0,14.0,177.0,13.07,103.39,middle_order,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
MV Boucher,Royal Challengers Bengaluru,2011.0,58.45,0.0,29.22,False,False,pure_batter,394.0,23.0,309.0,17.13,127.51,finisher,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
MW Short,Punjab Kings,2026.0,59.45,45.73,52.59,False,False,pure_batter,153.0,8.0,129.0,19.12,118.6,middle_order,0.0,5.0,43.0,0.0,8.93,part_time_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
Mandeep Singh,Punjab Kings,2023.0,54.76,36.88,45.82,False,False,pure_batter,1706.0,97.0,1388.0,17.59,122.91,anchor_opener,0.0,2.0,12.0,0.0,13.0,part_time_bowler,3,allrounder_pure_batter_cluster_3,pure_batter
Mashrafe Mortaza,Kolkata Knight Riders,2009.0,35.7,41.5,38.6,False,False,pure_batter,2.0,1.0,2.0,2.0,100.0,middle_order,0.0,1.0,24.0,0.0,14.5,part_time_bowler,3,allrounder_pure_batter_cluster_3,pure_batter
Mayank Dagar,Royal Challengers Bengaluru,2024.0,0.0,53.22,26.61,False,False,pure_bowler,0.0,1.0,1.0,0.0,0.0,tailender,2.0,8.0,137.0,0.25,8.89,middle_overs_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
