player,team,season_start_year,batting_strength_score,bowling_strength_score,allrounder_index,is_batting_allrounder,is_bowling_allrounder,allrounder_role,total_runs,total_matches,total_balls_faced,avg_runs,strike_rate,batting_role,total_wickets,total_matches_bowled,total_balls_bowled,avg_wickets_per_match,economy_rate,bowling_role,cluster_id,cluster_label,archetype_role
OF Smith,Punjab Kings,2022.0,43.54,80.25,61.9,False,False,pure_bowler,51.0,6.0,44.0,8.5,115.91,tailender,6.0,6.0,90.0,1.0,11.87,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
P Amarnath,Chennai Super Kings,2008.0,0.0,83.0,41.5,False,False,pure_bowler,,,,,,,7.0,6.0,132.0,1.167,10.73,middle_overs_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
P Awana,Punjab Kings,2013.0,12.85,88.34,50.6,False,False,pure_bowler,5.0,5.0,14.0,1.0,35.71,tailender,39.0,33.0,747.0,1.182,8.27,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
P Chopra,Rajasthan Royals,2018.0,49.47,0.0,24.74,False,False,pure_batter,8.0,1.0,6.0,8.0,133.33,middle_order,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
P Dogra,Rajasthan Royals,2013.0,38.4,0.0,19.2,False,False,pure_batter,127.0,12.0,138.0,10.58,92.03,tailender,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
P Dubey,Delhi Capitals,2023.0,28.42,58.28,43.35,False,False,pure_bowler,23.0,2.0,33.0,11.5,69.7,tailender,2.0,5.0,78.0,0.4,8.54,middle_overs_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
P Kumar,Royal Challengers Bengaluru,2017.0,40.52,74.72,57.62,False,True,bowling_allrounder,340.0,57.0,314.0,5.96,108.28,tailender,90.0,119.0,2524.0,0.756,7.73,powerplay_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
P Negi,Royal Challengers Bengaluru,2019.0,50.44,73.9,62.17,False,True,bowling_allrounder,365.0,35.0,289.0,10.43,126.3,tailender,34.0,42.0,716.0,0.81,7.87,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
P Nissanka,Delhi Capitals,2026.0,79.98,0.0,39.99,False,False,pure_batter,209.0,8.0,131.0,26.12,159.54,aggressive_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
P Parameswaran,Kochi Tuskers Kerala,2012.0,17.68,86.61,52.14,False,False,pure_bowler,1.0,2.0,2.0,0.5,50.0,tailender,9.0,8.0,154.0,1.125,8.73,middle_overs_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
P Prasanth,Kochi Tuskers Kerala,2011.0,0.0,45.3,22.65,False,False,unknown,,,,,,,0.0,1.0,6.0,0.0,18.0,part_time_bowler,3,allrounder_pure_batter_cluster_3,pure_batter
P Ray Barman,Royal Challengers Bengaluru,2019.0,34.36,36.48,35.42,False,False,pure_batter,19.0,1.0,24.0,19.0,79.17,tailender,0.0,1.0,24.0,0.0,14.0,part_time_bowler,3,allrounder_pure_batter_cluster_3,pure_batter
P Sahu,Punjab Kings,2016.0,54.48,64.09,59.28,False,False,pure_bowler,19.0,2.0,13.0,9.5,146.15,tailender,3.0,5.0,105.0,0.6,8.34,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
P Simran Singh,Punjab Kings,2026.0,76.92,0.0,38.46,False,False,pure_batter,1701.0,59.0,1080.0,28.83,157.5,aggressive_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
P Suyal,Mumbai Indians,2015.0,0.0,60.37,30.18,False,False,pure_bowler,,,,,,,2.0,5.0,96.0,0.4,9.44,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
PA Patel,Mumbai Indians,2019.0,57.76,0.0,28.88,False,False,pure_batter,2848.0,136.0,2358.0,20.94,120.78,aggressive_opener,,,,,,,5,allrounder_pure_batter_cluster_5,pure_batter
PA Reddy,Sunrisers Hyderabad,2013.0,44.62,0.0,22.31,False,False,pure_batter,164.0,10.0,160.0,16.4,102.5,anchor_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
PBB Rajapaksa,Punjab Kings,2023.0,69.77,0.0,34.88,False,False,pure_batter,277.0,13.0,191.0,21.31,145.03,top_order_aggressor,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
PC Valthaty,Punjab Kings,2013.0,56.48,68.87,62.68,True,True,batting_allrounder,505.0,23.0,418.0,21.96,120.81,anchor_opener,7.0,10.0,151.0,0.7,8.15,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
PD Collingwood,Delhi Capitals,2010.0,68.57,73.18,70.88,True,True,batting_allrounder,203.0,7.0,156.0,29.0,130.13,top_order_anchor,5.0,6.0,89.0,0.833,6.81,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
PD Salt,Royal Challengers Bengaluru,2026.0,86.33,0.0,43.16,False,False,pure_batter,1258.0,40.0,721.0,31.45,174.48,aggressive_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
PH Solanki,Chennai Super Kings,2022.0,0.0,80.79,40.4,False,False,pure_bowler,,,,,,,2.0,2.0,36.0,1.0,6.33,part_time_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
PHKD Mendis,Sunrisers Hyderabad,2025.0,65.11,60.62,62.86,False,False,pure_bowler,92.0,5.0,69.0,18.4,133.33,middle_order,2.0,4.0,42.0,0.5,8.57,part_time_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
PJ Cummins,Kolkata Knight Riders,2025.0,62.13,83.82,72.97,False,True,bowling_allrounder,612.0,48.0,402.0,12.75,152.24,lower_order_hitter,80.0,74.0,1665.0,1.081,8.79,powerplay_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
PJ Sangwan,Delhi Capitals,2022.0,21.33,78.07,49.7,False,False,pure_bowler,26.0,14.0,44.0,1.86,59.09,tailender,38.0,42.0,856.0,0.905,8.69,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
PK Garg,Sunrisers Hyderabad,2023.0,47.83,0.0,23.92,False,False,pure_batter,273.0,19.0,241.0,14.37,113.28,finisher,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
PM Sarvesh Kumar,Sunrisers Hyderabad,2008.0,17.85,63.32,40.58,False,False,pure_bowler,1.0,1.0,2.0,1.0,50.0,tailender,1.0,2.0,30.0,0.5,8.4,part_time_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
PN Mankad,Lucknow Super Giants,2023.0,59.3,0.0,29.65,False,False,pure_batter,97.0,5.0,73.0,19.4,132.88,middle_order,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
PP Chawla,Punjab Kings,2024.0,41.33,80.82,61.08,False,True,bowling_allrounder,624.0,86.0,563.0,7.26,110.83,tailender,192.0,191.0,3850.0,1.005,7.96,middle_overs_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
PP Hinge,Sunrisers Hyderabad,2026.0,0.0,114.2,57.1,False,False,pure_bowler,0.0,1.0,1.0,0.0,0.0,tailender,8.0,4.0,96.0,2.0,12.31,death_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
PP Ojha,Sunrisers Hyderabad,2014.0,12.74,80.99,46.86,False,False,pure_bowler,16.0,19.0,45.0,0.84,35.56,tailender,89.0,90.0,1899.0,0.989,7.37,middle_overs_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
PP Shaw,Delhi Capitals,2024.0,69.48,0.0,34.74,False,False,pure_batter,1892.0,79.0,1283.0,23.95,147.47,aggressive_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
PR Shah,Mumbai Indians,2011.0,38.96,0.0,19.48,False,False,pure_batter,92.0,9.0,91.0,10.22,101.1,tailender,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
PR Veer,Chennai Super Kings,2026.0,71.21,0.0,35.6,False,False,pure_batter,49.0,2.0,36.0,24.5,136.11,tailender,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
PSP Handscomb,Rising Pune Supergiant,2016.0,19.6,0.0,9.8,False,False,pure_batter,6.0,1.0,12.0,6.0,50.0,middle_order,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
PV Tambe,Rajasthan Royals,2016.0,17.2,74.73,45.96,False,False,pure_bowler,18.0,6.0,39.0,3.0,46.15,tailender,28.0,33.0,660.0,0.848,7.75,middle_overs_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
PVD Chameera,Lucknow Super Giants,2026.0,42.91,68.72,55.82,False,False,pure_bowler,53.0,11.0,45.0,4.82,117.78,tailender,13.0,20.0,396.0,0.65,9.82,powerplay_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
PVSN Raju,Mumbai Indians,2025.0,35.35,56.38,45.86,False,False,pure_bowler,1.0,1.0,1.0,1.0,100.0,tailender,1.0,2.0,24.0,0.5,13.25,part_time_bowler,3,allrounder_pure_batter_cluster_3,pure_batter
PWA Mulder,Sunrisers Hyderabad,2025.0,31.79,37.78,34.78,False,False,pure_batter,9.0,1.0,11.0,9.0,81.82,tailender,0.0,1.0,6.0,0.0,16.0,part_time_bowler,3,allrounder_pure_batter_cluster_3,pure_batter
PWH de Silva,Royal Challengers Bengaluru,2025.0,33.71,88.79,61.25,False,False,utility_player,81.0,19.0,88.0,4.26,92.05,tailender,46.0,37.0,798.0,1.243,8.41,middle_overs_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
Pankaj Singh,Royal Challengers Bengaluru,2010.0,20.91,68.48,44.7,False,False,pure_bowler,7.0,5.0,12.0,1.4,58.33,tailender,11.0,17.0,300.0,0.647,9.36,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
Parvez Rasool,Pune Warriors,2016.0,31.24,57.28,44.26,False,False,pure_bowler,17.0,4.0,20.0,4.25,85.0,tailender,4.0,11.0,198.0,0.364,8.21,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
Prince Yadav,Lucknow Super Giants,2026.0,16.49,85.94,51.22,False,False,pure_bowler,5.0,3.0,11.0,1.67,45.45,tailender,16.0,14.0,317.0,1.143,8.84,death_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
Priyansh Arya,Punjab Kings,2026.0,93.93,0.0,46.96,False,False,pure_batter,828.0,25.0,412.0,33.12,200.97,aggressive_opener,,,,,,,4,allrounder_pure_bowler_cluster_4,pure_bowler
Q de Kock,Mumbai Indians,2026.0,68.36,0.0,34.18,False,False,pure_batter,3441.0,118.0,2550.0,29.16,134.94,aggressive_opener,,,,,,,5,allrounder_pure_batter_cluster_5,pure_batter
R Ashwin,Chennai Super Kings,2025.0,46.11,76.11,61.11,False,True,bowling_allrounder,833.0,93.0,705.0,8.96,118.16,tailender,187.0,217.0,4710.0,0.862,7.2,middle_overs_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
R Bhatia,Kolkata Knight Riders,2017.0,44.7,71.46,58.08,False,True,bowling_allrounder,342.0,47.0,284.0,7.28,120.42,tailender,71.0,91.0,1636.0,0.78,7.41,middle_overs_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
R Bishnoi,Royal Challengers Bengaluru,2009.0,41.33,0.0,20.66,False,False,pure_batter,19.0,3.0,17.0,6.33,111.76,middle_order,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
R Dhawan,Punjab Kings,2023.0,42.65,69.28,55.96,False,True,bowling_allrounder,210.0,22.0,187.0,9.55,112.3,tailender,25.0,36.0,662.0,0.694,8.08,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
R Dravid,Rajasthan Royals,2013.0,61.41,0.0,30.7,False,False,pure_batter,2174.0,82.0,1882.0,26.51,115.52,anchor_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
R Goyal,Mumbai Indians,2023.0,0.0,44.0,22.0,False,False,unknown,,,,,,,0.0,1.0,24.0,0.0,8.25,part_time_bowler,3,allrounder_pure_batter_cluster_3,pure_batter
R McLaren,Mumbai Indians,2013.0,41.44,68.72,55.08,False,True,bowling_allrounder,159.0,13.0,171.0,12.23,92.98,tailender,12.0,18.0,354.0,0.667,9.19,powerplay_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
R Minz,Mumbai Indians,2026.0,16.13,0.0,8.06,False,False,pure_batter,7.0,3.0,16.0,2.33,43.75,middle_order,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
R Ninan,Royal Challengers Bengaluru,2011.0,18.55,93.72,56.14,False,False,pure_bowler,3.0,1.0,6.0,3.0,50.0,tailender,3.0,2.0,36.0,1.5,10.83,part_time_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
R Parag,Rajasthan Royals,2026.0,64.97,50.97,57.97,True,False,batting_allrounder,1773.0,82.0,1248.0,21.62,142.07,top_order_aggressor,9.0,34.0,319.0,0.265,9.69,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
R Powell,Delhi Capitals,2026.0,63.75,58.38,61.06,False,False,pure_batter,486.0,28.0,339.0,17.36,143.36,finisher,1.0,2.0,18.0,0.5,11.67,part_time_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
R Rampaul,Royal Challengers Bengaluru,2014.0,38.25,90.89,64.57,False,False,pure_bowler,51.0,7.0,50.0,7.29,102.0,middle_order,14.0,12.0,262.0,1.167,6.82,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
R Ravindra,Chennai Super Kings,2025.0,70.06,49.02,59.54,False,False,pure_batter,413.0,18.0,287.0,22.94,143.9,aggressive_opener,0.0,2.0,12.0,0.0,3.5,part_time_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
R Sai Kishore,Gujarat Titans,2025.0,40.95,88.86,64.9,False,False,pure_bowler,18.0,4.0,16.0,4.5,112.5,tailender,32.0,25.0,441.0,1.28,8.86,middle_overs_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
R Sanjay Yadav,Mumbai Indians,2022.0,0.0,47.9,23.95,False,False,unknown,0.0,1.0,2.0,0.0,0.0,tailender,0.0,1.0,12.0,0.0,11.5,part_time_bowler,3,allrounder_pure_batter_cluster_3,pure_batter
R Sathish,Mumbai Indians,2016.0,44.85,49.06,46.96,False,False,utility_player,270.0,24.0,231.0,11.25,116.88,tailender,3.0,14.0,139.0,0.214,10.01,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
R Sharma,Pune Warriors,2013.0,32.01,78.28,55.14,False,False,pure_bowler,66.0,19.0,75.0,3.47,88.0,tailender,40.0,44.0,928.0,0.909,7.02,middle_overs_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
R Shepherd,Royal Challengers Bengaluru,2026.0,74.92,65.3,70.11,False,True,bowling_allrounder,241.0,17.0,127.0,14.18,189.76,lower_order_hitter,15.0,23.0,306.0,0.652,12.0,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
R Shukla,Delhi Capitals,2014.0,30.58,70.0,50.29,False,False,pure_bowler,19.0,4.0,23.0,4.75,82.61,tailender,5.0,7.0,120.0,0.714,10.4,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
R Tewatia,Gujarat Titans,2026.0,57.15,66.36,61.76,False,True,bowling_allrounder,1188.0,83.0,870.0,14.31,136.55,finisher,32.0,52.0,843.0,0.615,7.91,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
R Vinay Kumar,Royal Challengers Bengaluru,2018.0,42.18,81.44,61.81,False,True,bowling_allrounder,310.0,42.0,274.0,7.38,113.14,tailender,105.0,104.0,2121.0,1.01,8.39,death_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
RA Bawa,Punjab Kings,2025.0,39.16,0.0,19.58,False,False,pure_batter,19.0,3.0,18.0,6.33,105.56,middle_order,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
RA Jadeja,Chennai Super Kings,2026.0,56.01,71.75,63.88,True,True,batting_allrounder,3412.0,201.0,2619.0,16.98,130.28,finisher,177.0,233.0,4188.0,0.76,7.68,middle_overs_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
RA Shaikh,Mumbai Indians,2009.0,0.0,39.78,19.89,False,False,unknown,,,,,,,0.0,1.0,6.0,0.0,11.0,part_time_bowler,3,allrounder_pure_batter_cluster_3,pure_batter
RA Tripathi,Sunrisers Hyderabad,2025.0,66.24,35.2,50.72,False,False,pure_batter,2291.0,98.0,1662.0,23.38,137.85,middle_order,0.0,1.0,6.0,0.0,12.0,part_time_bowler,5,allrounder_pure_batter_cluster_5,pure_batter
RD Chahar,Punjab Kings,2024.0,38.46,78.9,58.68,False,False,utility_player,129.0,22.0,124.0,5.86,104.03,tailender,75.0,79.0,1694.0,0.949,7.78,middle_overs_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
RD Gaikwad,Chennai Super Kings,2026.0,74.71,0.0,37.35,False,False,pure_batter,2680.0,78.0,1967.0,34.36,136.25,aggressive_opener,,,,,,,5,allrounder_pure_batter_cluster_5,pure_batter
RD Rickelton,Mumbai Indians,2026.0,80.04,0.0,40.02,False,False,pure_batter,648.0,20.0,400.0,32.4,162.0,aggressive_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
RE Levi,Mumbai Indians,2012.0,49.65,0.0,24.82,False,False,pure_batter,83.0,6.0,73.0,13.83,113.7,anchor_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
RE van der Merwe,Royal Challengers Bengaluru,2013.0,47.17,81.28,64.22,False,True,bowling_allrounder,159.0,15.0,141.0,10.6,112.77,tailender,21.0,21.0,443.0,1.0,6.74,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
RG More,Chennai Super Kings,2015.0,35.7,57.03,46.36,False,False,pure_bowler,2.0,1.0,2.0,2.0,100.0,tailender,1.0,2.0,35.0,0.5,10.11,part_time_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
RG Sharma,Mumbai Indians,2026.0,66.82,60.13,63.47,True,False,batting_allrounder,7183.0,270.0,5417.0,26.6,132.6,aggressive_opener,15.0,32.0,339.0,0.469,8.02,middle_overs_bowler,5,allrounder_pure_batter_cluster_5,pure_batter
RJ Gleeson,Chennai Super Kings,2024.0,35.7,68.66,52.18,False,False,pure_bowler,2.0,1.0,2.0,2.0,100.0,tailender,2.0,3.0,68.0,0.667,9.71,death_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
RJ Harris,Punjab Kings,2013.0,38.51,91.26,64.89,False,False,utility_player,117.0,21.0,112.0,5.57,104.46,tailender,45.0,37.0,832.0,1.216,7.55,death_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
RJ Peterson,Mumbai Indians,2012.0,39.57,73.7,56.64,False,False,pure_bowler,32.0,5.0,30.0,6.4,106.67,tailender,3.0,4.0,48.0,0.75,8.75,part_time_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
RJ Quiney,Rajasthan Royals,2009.0,44.78,0.0,22.39,False,False,pure_batter,103.0,7.0,102.0,14.71,100.98,anchor_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
RJW Topley,Royal Challengers Bengaluru,2024.0,18.55,73.89,46.22,False,False,pure_bowler,3.0,1.0,6.0,3.0,50.0,tailender,5.0,6.0,120.0,0.833,11.1,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
RK Bhui,Sunrisers Hyderabad,2024.0,14.34,0.0,7.17,False,False,pure_batter,10.0,4.0,26.0,2.5,38.46,anchor_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
RK Singh,Kolkata Knight Riders,2026.0,67.82,0.0,33.91,False,False,pure_batter,1314.0,58.0,909.0,22.66,144.55,finisher,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
RM Patidar,Royal Challengers Bengaluru,2026.0,79.92,0.0,39.96,False,False,pure_batter,1368.0,46.0,848.0,29.74,161.32,top_order_anchor,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
RN ten Doeschate,Kolkata Knight Riders,2015.0,59.68,51.16,55.42,False,False,utility_player,326.0,21.0,235.0,15.52,138.72,finisher,2.0,10.0,78.0,0.2,7.23,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
RP Meredith,Mumbai Indians,2023.0,0.0,83.23,41.62,False,False,pure_bowler,0.0,2.0,3.0,0.0,0.0,tailender,19.0,18.0,388.0,1.056,9.46,death_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
RP Singh,Sunrisers Hyderabad,2012.0,24.6,86.4,55.5,False,False,pure_bowler,52.0,28.0,76.0,1.86,68.42,tailender,90.0,82.0,1775.0,1.098,7.9,powerplay_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
RR Bhatkal,Royal Challengers Bengaluru,2012.0,0.0,33.0,16.5,False,False,unknown,0.0,1.0,2.0,0.0,0.0,middle_order,0.0,1.0,12.0,0.0,17.5,part_time_bowler,3,allrounder_pure_batter_cluster_3,pure_batter
RR Bose,Punjab Kings,2009.0,0.0,45.62,22.81,False,False,unknown,,,,,,,0.0,1.0,12.0,0.0,12.0,part_time_bowler,3,allrounder_pure_batter_cluster_3,pure_batter
RR Pant,Delhi Capitals,2026.0,73.84,0.0,36.92,False,False,pure_batter,3742.0,131.0,2556.0,28.56,146.4,top_order_anchor,,,,,,,5,allrounder_pure_batter_cluster_5,pure_batter
RR Powar,Punjab Kings,2011.0,39.25,64.73,51.99,False,False,pure_bowler,67.0,9.0,64.0,7.44,104.69,tailender,13.0,26.0,426.0,0.5,7.42,powerplay_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
RR Raje,Mumbai Indians,2009.0,40.29,64.77,52.53,False,False,pure_bowler,20.0,5.0,18.0,4.0,111.11,tailender,6.0,10.0,139.0,0.6,9.02,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
RR Rossouw,Delhi Capitals,2024.0,70.81,0.0,35.4,False,False,pure_batter,473.0,22.0,308.0,21.5,153.57,top_order_aggressor,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
RR Sarwan,Punjab Kings,2008.0,47.95,0.0,23.98,False,False,pure_batter,73.0,4.0,75.0,18.25,97.33,anchor_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
RS Bopara,Punjab Kings,2015.0,57.67,72.11,64.89,False,True,bowling_allrounder,531.0,22.0,453.0,24.14,117.22,anchor_opener,11.0,14.0,206.0,0.786,8.5,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
RS Gavaskar,Kolkata Knight Riders,2010.0,9.45,45.13,27.29,False,False,pure_batter,2.0,1.0,8.0,2.0,25.0,tailender,0.0,1.0,6.0,0.0,8.0,part_time_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
RS Hangargekar,Chennai Super Kings,2023.0,0.0,98.22,49.11,False,False,pure_bowler,,,,,,,3.0,2.0,36.0,1.5,10.0,part_time_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
RS Sodhi,Punjab Kings,2010.0,71.4,0.0,35.7,False,False,pure_batter,4.0,1.0,2.0,4.0,200.0,middle_order,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
RT Ponting,Mumbai Indians,2013.0,28.42,0.0,14.21,False,False,pure_batter,91.0,9.0,128.0,10.11,71.09,anchor_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
RV Gomez,Kochi Tuskers Kerala,2013.0,36.26,66.14,51.2,False,False,pure_bowler,50.0,9.0,51.0,5.56,98.04,tailender,5.0,9.0,96.0,0.556,8.06,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
RV Patel,Delhi Capitals,2023.0,42.36,44.02,43.19,False,False,pure_batter,80.0,7.0,73.0,11.43,109.59,middle_order,0.0,1.0,18.0,0.0,7.33,part_time_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
RV Uthappa,Kolkata Knight Riders,2022.0,65.37,0.0,32.68,False,False,pure_batter,4952.0,197.0,3799.0,25.14,130.35,aggressive_opener,,,,,,,5,allrounder_pure_batter_cluster_5,pure_batter
RW Price,Mumbai Indians,2011.0,0.0,37.0,18.5,False,False,unknown,,,,,,,0.0,1.0,18.0,0.0,11.0,part_time_bowler,3,allrounder_pure_batter_cluster_3,pure_batter
Rahmanullah Gurbaz,Kolkata Knight Riders,2025.0,60.95,0.0,30.48,False,False,pure_batter,363.0,18.0,269.0,20.17,134.94,aggressive_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
Ramandeep Singh,Kolkata Knight Riders,2026.0,57.38,83.07,70.22,False,False,utility_player,299.0,26.0,205.0,11.5,145.85,tailender,7.0,6.0,56.0,1.167,10.07,part_time_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
Rashid Khan,Gujarat Titans,2026.0,60.76,87.08,73.92,False,True,bowling_allrounder,620.0,70.0,394.0,8.86,157.36,lower_order_hitter,168.0,145.0,3387.0,1.159,7.16,middle_overs_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
Rasikh Salam,Delhi Capitals,2024.0,37.33,75.0,56.16,False,False,pure_bowler,40.0,6.0,40.0,6.67,100.0,tailender,16.0,18.0,326.0,0.889,10.03,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
Ravi Bishnoi,Lucknow Super Giants,2026.0,23.7,79.44,51.57,False,False,pure_bowler,45.0,18.0,69.0,2.5,65.22,tailender,83.0,85.0,1789.0,0.976,8.36,middle_overs_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
S Anirudha,Chennai Super Kings,2014.0,48.58,0.0,24.29,False,False,pure_batter,136.0,12.0,113.0,11.33,120.35,tailender,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
S Aravind,Royal Challengers Bengaluru,2017.0,38.29,88.08,63.18,False,False,pure_bowler,59.0,10.0,57.0,5.9,103.51,tailender,45.0,38.0,760.0,1.184,8.2,powerplay_bowler,2,allrounder_bowling_allrounder_cluster_2,bowling_allrounder
S Arora,Sunrisers Hyderabad,2026.0,70.36,0.0,35.18,False,False,pure_batter,93.0,7.0,53.0,13.29,175.47,finisher,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
S Badree,Royal Challengers Bengaluru,2017.0,20.69,80.18,50.44,False,False,pure_bowler,13.0,5.0,23.0,2.6,56.52,tailender,11.0,12.0,258.0,0.917,7.42,powerplay_bowler,1,allrounder_pure_bowler_cluster_1,pure_bowler
S Badrinath,Chennai Super Kings,2013.0,59.99,0.0,30.0,False,False,pure_batter,1441.0,65.0,1212.0,22.17,118.89,finisher,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
S Chanderpaul,Royal Challengers Bengaluru,2008.0,31.14,0.0,15.57,False,False,pure_batter,25.0,3.0,31.0,8.33,80.65,anchor_opener,,,,,,,0,allrounder_pure_batter_cluster_0,pure_batter
S Dhawan,Sunrisers Hyderabad,2024.0,68.12,70.47,69.3,False,False,utility_player,6769.0,221.0,5324.0,30.63,127.14,aggressive_opener,4.0,6.0,48.0,0.667,8.25,part_time_bowler,5,allrounder_pure_batter_cluster_5,pure_batter
S Dube,Chennai Super Kings,2026.0,67.69,53.58,60.64,True,False,batting_allrounder,2009.0,83.0,1401.0,24.2,143.4,top_order_aggressor,6.0,17.0,142.0,0.353,10.56,middle_overs_bowler,4,allrounder_pure_bowler_cluster_4,pure_bowler
