player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,team,typical_position,avg_position,position_role,batting_role
AC Blizzard,120,7,90,21,2,7,17.14,51,0,0.0,1,0.143,19.47,2,1,0.286,0.143,133.33,0.256,0.022,0.233,0.8,0.522,0.825,0.175,0.0,130.26,150.0,,mid,31.33,6.5,Mumbai Indians,1,1.1428571428571428,opener,aggressive_opener
AC Gilchrist,2069,80,1495,239,92,76,25.86,109,0,0.05,7,0.088,24.65,26,13,0.325,0.162,138.39,0.221,0.062,0.16,0.729,0.453,0.669,0.3,0.03,134.08,144.42,196.88,death,32.11,20.75,Deccan Chargers,1,1.25,opener,aggressive_opener
AC Voges,181,7,143,15,3,4,25.86,45,8,0.429,0,0.0,12.72,2,0,0.286,0.0,126.57,0.126,0.021,0.105,0.431,0.308,0.039,0.492,0.47,77.78,114.1,151.79,death,34.0,19.75,Rajasthan Royals,5,5.571428571428571,middle_order,finisher
AD Hales,148,6,118,13,6,6,24.67,45,2,0.0,0,0.0,19.97,3,0,0.5,0.0,125.42,0.161,0.051,0.11,0.595,0.398,0.77,0.23,0.0,140.74,91.89,,pp,27.25,19.5,Sunrisers Hyderabad,1,1.3333333333333333,opener,aggressive_opener
AD Mascarenhas,79,11,78,5,1,9,7.18,27,0,0.182,2,0.182,7.37,0,0,0.0,0.0,101.28,0.077,0.013,0.064,0.329,0.359,0.051,0.329,0.62,200.0,72.22,122.5,pp,4.5,7.78,Rajasthan Royals,7,6.333333333333333,lower_order,tailender
AD Mathews,724,42,575,44,29,31,17.24,65,0,0.262,3,0.071,14.97,8,1,0.19,0.024,125.91,0.127,0.05,0.077,0.483,0.318,0.014,0.399,0.587,58.82,102.48,153.99,death,20.9,16.09,Pune Warriors,6,5.5476190476190474,middle_order,finisher
AD Nath,90,10,98,7,2,10,9.0,24,0,0.0,1,0.1,7.94,0,0,0.0,0.0,91.84,0.092,0.02,0.071,0.444,0.449,0.122,0.633,0.244,100.0,91.94,88.0,pp,13.0,6.33,Royal Challengers Bangalore,6,5.6,middle_order,middle_order
AD Russell,2655,114,1525,187,223,95,23.29,88,0,0.167,6,0.053,20.69,39,12,0.342,0.105,174.1,0.269,0.146,0.123,0.786,0.397,0.015,0.445,0.539,241.18,152.12,195.9,pp,25.7,21.66,Kolkata Knight Riders,6,5.827586206896552,middle_order,finisher
AF Milne,23,6,29,0,1,4,3.83,15,0,0.333,1,0.167,5.78,0,0,0.0,0.0,79.31,0.034,0.034,0.0,0.261,0.448,0.0,0.261,0.739,,66.67,85.0,death,,3.83,Mumbai Indians,8,8.0,lower_order,tailender
AG Paunikar,49,5,58,9,0,5,9.8,20,0,0.0,1,0.2,7.92,0,0,0.0,0.0,84.48,0.155,0.0,0.155,0.735,0.655,1.0,0.0,0.0,84.48,,,pp,12.5,8.0,Rajasthan Royals,1,1.6,opener,anchor_opener
AJ Finch,2092,90,1635,214,78,84,23.24,88,0,0.067,7,0.078,21.96,27,15,0.3,0.167,127.95,0.179,0.048,0.131,0.633,0.421,0.435,0.43,0.135,114.3,136.42,157.54,death,27.76,20.5,Gujarat Lions,2,2.5934065934065935,opener,anchor_opener
AJ Turner,24,6,28,0,2,5,4.0,16,0,0.167,3,0.5,6.23,0,0,0.0,0.0,85.71,0.071,0.071,0.0,0.5,0.5,0.0,0.708,0.292,,170.0,38.89,mid,2.67,5.33,Rajasthan Royals,5,5.666666666666667,middle_order,middle_order
AJ Tye,91,13,76,6,5,9,7.0,25,0,0.308,2,0.154,8.29,0,0,0.0,0.0,119.74,0.145,0.066,0.079,0.593,0.474,0.0,0.231,0.769,,131.25,116.67,mid,3.0,7.73,Kings XI Punjab,8,8.307692307692308,lower_order,tailender
AK Markram,1560,60,1145,125,63,51,26.0,68,0,0.15,2,0.033,18.83,23,10,0.383,0.167,136.24,0.164,0.055,0.109,0.563,0.309,0.301,0.544,0.155,132.39,129.66,177.94,death,29.44,23.54,Sunrisers Hyderabad,4,3.25,top_order,top_order_anchor
