player,avg_position,median_position,highest_position,lowest_position,typical_position,position_role
KD Karthik,4.8760683760683765,5.0,3,8,5,middle_order
KH Pandya,5.918032786885246,6.0,3,8,7,lower_order
KJ Abbott,9.0,9.0,8,10,8,lower_order
KK Ahmed,10.857142857142858,11.0,10,11,11,tailender
KK Cooper,6.928571428571429,7.0,3,10,6,middle_order
KK Nair,3.272727272727273,3.0,1,6,3,top_order
KL Nagarkoti,8.571428571428571,9.0,7,9,9,tailender
KL Rahul,1.9586206896551723,1.0,1,11,1,opener
KM Asif,11.0,11.0,11,11,11,tailender
KM Jadhav,5.45679012345679,5.0,4,8,6,middle_order
KMA Paul,7.333333333333333,8.0,6,8,8,lower_order
KMDN Kulasekara,9.0,9.0,9,9,9,tailender
KP Appanna,11.0,11.0,11,11,11,tailender
KP Pietersen,2.9722222222222223,3.0,1,5,3,top_order
KR Mayers,1.6923076923076923,2.0,1,2,2,opener
KR Sen,11.0,11.0,11,11,11,tailender
KS Bharat,3.3333333333333335,3.0,2,7,3,top_order
KS Rathore,3.0,3.0,3,3,3,top_order
KS Sharma,2.6666666666666665,3.0,1,4,1,opener
KS Williamson,3.064935064935065,3.0,1,6,3,top_order
KT Maphaka,9.0,9.0,9,9,9,tailender
KV Sharma,7.634146341463414,8.0,5,10,8,lower_order
KW Richardson,8.25,8.5,7,9,9,tailender
Kamran Akmal,2.6666666666666665,2.5,1,6,1,opener
Kamran Khan,11.0,11.0,11,11,11,tailender
Karanveer Singh,10.0,10.0,10,10,10,tailender
Kartik Sharma,5.8,6.0,5,7,5,middle_order
Kartik Tyagi,9.666666666666666,10.0,8,11,10,tailender
Krish Bhagat,9.0,9.0,9,9,9,tailender
Kuldeep Yadav,9.476190476190476,9.0,8,11,9,tailender
Kumar Kushagra,5.75,6.5,2,8,8,lower_order
L Ablish,11.0,11.0,11,11,11,tailender
L Balaji,9.8,10.0,9,11,9,tailender
L Ngidi,10.333333333333334,10.0,10,11,10,tailender
L Ronchi,1.2,1.0,1,2,1,opener
L Wood,10.0,10.0,10,10,10,tailender
LA Carseldine,4.0,3.0,3,6,3,top_order
LA Pomersbach,3.6875,3.5,1,7,3,top_order
LB Williams,11.0,11.0,11,11,11,tailender
