player,team,season_start_year,batting_strength_score,bowling_strength_score,allrounder_index,is_batting_allrounder,is_bowling_allrounder,allrounder_role,total_runs,total_matches,total_balls_faced,avg_runs,strike_rate,batting_role,total_wickets,total_matches_bowled,total_balls_bowled,avg_wickets_per_match,economy_rate,bowling_role
Bavanaka Sandeep,Hyderabad (India),2021.0,60.11,56.63,58.37,False,False,utility_player,696.0,29.0,589.0,24.0,118.17,finisher,7.0,21.0,264.0,0.333,6.75,middle_overs_bowler
Benoy Upreti,Sikkim,2019.0,14.74,47.12,30.93,False,False,pure_batter,8.0,2.0,21.0,4.0,38.1,middle_order,0.0,1.0,5.0,0.0,7.2,part_time_bowler
Bhagmender Lather,Chandigarh,2024.0,51.45,74.59,63.02,False,False,pure_bowler,21.0,3.0,15.0,7.0,140.0,tailender,5.0,6.0,90.0,0.833,8.67,death_bowler
Bhanu Pania,Baroda,2024.0,46.3,0.0,23.15,False,False,pure_batter,216.0,18.0,195.0,12.0,110.77,middle_order,,,,,,
Bharat Sharma,Puducherry,2022.0,33.72,89.48,61.6,False,False,pure_bowler,34.0,3.0,40.0,11.33,85.0,middle_order,7.0,6.0,144.0,1.167,6.17,powerplay_bowler
Bhavik Patel,Nagaland,2018.0,0.0,39.28,19.64,False,False,unknown,,,,,,,0.0,1.0,24.0,0.0,12.25,part_time_bowler
Bhima Rao,Chhattisgarh,2018.0,0.0,52.28,26.14,False,False,unknown,,,,,,,0.0,1.0,24.0,0.0,5.75,part_time_bowler
Bhushan Subba,Sikkim,2020.0,0.0,39.78,19.89,False,False,unknown,,,,,,,0.0,1.0,6.0,0.0,11.0,part_time_bowler
Bibek Diyali,Sikkim,2020.0,26.1,0.0,13.05,False,False,pure_batter,124.0,12.0,193.0,10.33,64.25,anchor_opener,,,,,,
Bikas Pati,Odisha,2015.0,32.24,0.0,16.12,False,False,pure_batter,19.0,2.0,23.0,9.5,82.61,anchor_opener,,,,,,
Bikash K Rout,Odisha,2021.0,47.01,102.9,74.96,False,False,pure_bowler,24.0,3.0,19.0,8.0,126.32,tailender,5.0,3.0,72.0,1.667,7.75,middle_overs_bowler
Bikash Singh,Manipur,2023.0,21.63,39.38,30.51,False,False,pure_batter,24.0,4.0,43.0,6.0,55.81,tailender,0.0,1.0,6.0,0.0,12.0,part_time_bowler
Bikramkumar Das,Tripura,2023.0,61.72,0.0,30.86,False,False,pure_batter,285.0,10.0,251.0,28.5,113.55,anchor_opener,,,,,,
Bipin Saurabh,Bihar,2022.0,58.68,0.0,29.34,False,False,pure_batter,206.0,8.0,171.0,25.75,120.47,anchor_opener,,,,,,
Bipul Sharma,Sikkim,2020.0,63.31,76.75,70.03,True,True,batting_allrounder,363.0,16.0,288.0,22.69,126.04,finisher,17.0,21.0,456.0,0.81,6.01,powerplay_bowler
Bishworjit Konthoujam,Manipur,2023.0,14.02,76.67,45.34,False,False,pure_bowler,7.0,6.0,18.0,1.17,38.89,tailender,20.0,24.0,467.0,0.833,7.14,powerplay_bowler
Bobby Yadav,Uttar Pradesh,2018.0,26.75,69.02,47.88,False,False,pure_bowler,5.0,1.0,7.0,5.0,71.43,tailender,2.0,3.0,60.0,0.667,7.7,death_bowler
Bobby Zothansanga,Mizoram,2022.0,15.2,70.14,42.67,False,False,pure_bowler,8.0,6.0,19.0,1.33,42.11,tailender,9.0,13.0,226.0,0.692,7.33,middle_overs_bowler
Bodavarapu Sudhakar,Andhra,2015.0,28.09,98.2,63.14,False,False,pure_bowler,21.0,4.0,28.0,5.25,75.0,tailender,7.0,5.0,96.0,1.4,6.94,middle_overs_bowler
Bonny Chingangbam,Manipur,2021.0,28.26,0.0,14.13,False,False,pure_batter,20.0,3.0,27.0,6.67,74.07,anchor_opener,,,,,,
Bravish Shetty,Mumbai,2017.0,32.27,0.0,16.14,False,False,pure_batter,16.0,2.0,19.0,8.0,84.21,anchor_opener,,,,,,
C Rathore,Madhya Pradesh,2022.0,36.75,0.0,18.38,False,False,pure_batter,10.0,2.0,10.0,5.0,100.0,anchor_opener,,,,,,
