player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs,mid_runs,death_runs,pp_balls_faced,mid_balls_faced,death_balls_faced,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,balls_faced_per_match,sample_reliability_score,team,season_start_year,avg_position,median_position,highest_position,lowest_position,typical_position,position_role,batting_role,eligible_for_model,cluster_id,cluster_label,archetype_role,archetype_role_match_score
A Sheth,215,24,168,18,7,8,8.96,29,0,0.667,1,0.042,8.06,0,0,0.0,0.0,127.98,0.149,0.042,0.107,0.53,0.333,13,20,182,10,35,123,0.06,0.093,0.847,130.0,57.14,147.97,death,6.33,11.58,7.0,1.0,Baroda,2024,7.423076923076923,8.0,4,10,8,lower_order,tailender,True,1,batting_tailender_cluster_1,tailender,100.0
A Singhania,44,8,55,3,2,6,5.5,18,0,0.25,3,0.375,7.23,0,0,0.0,0.0,80.0,0.091,0.036,0.055,0.545,0.6,0,15,29,0,27,28,0.0,0.341,0.659,,55.56,103.57,death,,5.5,6.88,0.729,Meghalaya,2020,9.0,9.0,8,10,9,tailender,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
A Tomar,37,4,59,3,0,4,9.25,14,5,0.0,0,0.0,4.03,0,0,0.0,0.0,62.71,0.051,0.0,0.051,0.324,0.593,29,8,0,45,14,0,0.784,0.216,0.0,64.44,57.14,,powerplay,9.25,,14.75,0.496,Rajasthan,2018,1.5,1.0,1,3,1,opener,anchor_opener,True,2,batting_tailender_cluster_2,tailender,0.0
AA Bamal,26,4,19,1,2,4,6.5,18,0,0.0,1,0.25,7.9,0,0,0.0,0.0,136.84,0.158,0.105,0.053,0.615,0.421,4,5,17,8,4,7,0.154,0.192,0.654,50.0,125.0,242.86,death,18.0,2.67,4.75,0.329,Services,2017,5.75,6.0,5,6,6,middle_order,middle_order,True,1,batting_tailender_cluster_1,tailender,0.0
AA Barot,348,11,219,38,14,11,31.64,122,4,0.0,0,0.0,38.91,2,2,0.182,0.182,158.9,0.237,0.064,0.174,0.678,0.288,147,166,35,110,94,15,0.422,0.477,0.101,133.64,176.6,233.33,death,41.43,14.5,19.91,1.0,Saurashtra,2020,2.5454545454545454,2.0,1,4,2,opener,aggressive_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,100.0
AA Chakraborty,4,3,9,0,0,1,1.33,2,1,0.667,0,0.0,0.58,0,0,0.0,0.0,44.44,0.0,0.0,0.0,0.0,0.556,0,0,4,0,0,9,0.0,0.0,1.0,,,44.44,death,,1.33,3.0,0.225,Tripura,2018,10.333333333333334,10.0,10,11,10,tailender,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
AA Herwadkar,465,17,414,48,10,17,27.35,73,3,0.0,0,0.0,21.82,7,3,0.412,0.176,112.32,0.14,0.024,0.116,0.542,0.42,284,134,47,244,140,30,0.611,0.288,0.101,116.39,95.71,156.67,death,17.25,36.33,24.35,1.0,Mumbai,2022,1.0,1.0,1,1,1,opener,anchor_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
AA Kazi,61,4,54,4,2,4,15.25,36,0,0.0,1,0.25,15.09,1,0,0.25,0.0,112.96,0.111,0.037,0.074,0.459,0.333,0,26,35,2,31,21,0.0,0.426,0.574,0.0,83.87,166.67,death,,15.25,13.5,0.475,Nagaland,2018,5.75,6.0,5,6,6,middle_order,finisher,True,1,batting_tailender_cluster_1,tailender,0.0
AA Sanklecha,14,3,9,1,1,2,4.67,11,1,0.333,0,0.0,5.51,0,0,0.0,0.0,155.56,0.222,0.111,0.111,0.714,0.333,0,12,2,0,7,2,0.0,0.857,0.143,,171.43,100.0,middle,4.67,,3.0,0.225,Maharashtra,2015,7.5,7.5,6,9,6,middle_order,middle_order,True,1,batting_tailender_cluster_1,tailender,0.0
AB Dinda,59,9,64,4,2,6,6.56,22,1,0.333,0,0.0,8.47,0,0,0.0,0.0,92.19,0.094,0.031,0.062,0.475,0.5,0,11,48,0,15,49,0.0,0.186,0.814,,73.33,97.96,death,,6.56,7.11,0.767,Bengal,2020,9.3,9.0,8,11,9,tailender,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
