player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs,mid_runs,death_runs,pp_balls_faced,mid_balls_faced,death_balls_faced,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,balls_faced_per_match,sample_reliability_score,team,season_start_year,avg_position,median_position,highest_position,lowest_position,typical_position,position_role,batting_role,eligible_for_model,cluster_id,cluster_label,archetype_role,archetype_role_match_score
Avinash Yadav,21,3,24,2,0,2,7.0,19,0,0.333,1,0.333,10.44,0,0,0.0,0.0,87.5,0.083,0.0,0.083,0.381,0.417,0,2,19,0,11,13,0.0,0.095,0.905,,18.18,146.15,death,,7.0,8.0,0.288,Mizoram,2022,6.0,6.0,5,7,5,middle_order,middle_order,True,2,batting_tailender_cluster_2,tailender,0.0
Avishek Sinha,52,6,54,5,1,2,8.67,15,0,0.667,1,0.167,5.92,0,0,0.0,0.0,96.3,0.111,0.019,0.093,0.5,0.426,0,11,41,0,18,36,0.0,0.212,0.788,,61.11,113.89,death,12.0,8.0,9.0,0.6,Services,2017,8.5,8.0,8,10,8,lower_order,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
Avneesh Sudha,200,12,177,25,3,12,16.67,43,0,0.0,1,0.083,14.61,3,0,0.25,0.0,112.99,0.158,0.017,0.141,0.59,0.412,136,57,7,110,60,7,0.68,0.285,0.035,123.64,95.0,100.0,powerplay,27.75,11.12,14.75,1.0,Uttarakhand,2022,2.75,2.5,1,5,1,opener,aggressive_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,100.0
Ayush Jamwal,72,9,61,5,4,5,8.0,27,0,0.444,0,0.0,9.07,0,0,0.0,0.0,118.03,0.148,0.066,0.082,0.611,0.426,0,10,62,0,10,51,0.0,0.139,0.861,,100.0,121.57,death,14.0,6.29,6.78,0.754,Himachal,2021,8.333333333333334,8.0,6,10,8,lower_order,tailender,True,1,batting_tailender_cluster_1,tailender,100.0
Azim Kazi,408,21,332,24,20,12,19.43,71,0,0.429,1,0.048,19.05,6,1,0.286,0.048,122.89,0.133,0.06,0.072,0.529,0.34,3,221,184,6,201,125,0.007,0.542,0.451,50.0,109.95,147.2,death,26.18,12.0,15.81,1.0,Maharashtra,2021,5.238095238095238,5.0,4,7,5,middle_order,middle_order,True,1,batting_tailender_cluster_1,tailender,0.0
B Aparajith,580,27,530,38,18,21,21.48,52,0,0.222,2,0.074,16.0,9,1,0.333,0.037,109.43,0.106,0.034,0.072,0.448,0.34,150,353,77,159,314,57,0.259,0.609,0.133,94.34,112.42,135.09,death,22.9,17.43,19.63,1.0,Tamil Nadu,2023,3.4814814814814814,3.0,2,6,3,top_order,middle_order,True,1,batting_tailender_cluster_1,tailender,0.0
B Indrajith,96,5,104,5,0,5,19.2,46,8,0.0,0,0.0,15.32,1,0,0.2,0.0,92.31,0.048,0.0,0.048,0.208,0.279,27,62,7,34,63,7,0.281,0.646,0.073,79.41,98.41,100.0,death,23.67,12.5,20.8,0.746,Tamil Nadu,2018,3.8,4.0,3,5,3,top_order,middle_order,True,1,batting_tailender_cluster_1,tailender,0.0
B Kumar,45,3,33,2,3,1,15.0,24,1,0.667,0,0.0,12.29,0,0,0.0,0.0,136.36,0.152,0.091,0.061,0.578,0.303,0,2,43,0,3,30,0.0,0.044,0.956,,66.67,143.33,death,,15.0,11.0,0.325,Uttar Pradesh,2024,7.666666666666667,7.0,7,9,7,lower_order,tailender,True,1,batting_tailender_cluster_1,tailender,100.0
B Rahman,33,5,60,2,1,5,6.6,12,0,0.0,1,0.2,4.98,0,0,0.0,0.0,55.0,0.05,0.017,0.033,0.424,0.683,26,7,0,50,10,0,0.788,0.212,0.0,52.0,70.0,,middle,,6.6,12.0,0.562,Manipur,2023,1.6,2.0,1,2,2,opener,anchor_opener,True,2,batting_tailender_cluster_2,tailender,0.0
B Sai Sudharsan,218,9,191,21,1,6,24.22,54,4,0.333,0,0.0,18.29,4,1,0.444,0.111,114.14,0.115,0.005,0.11,0.413,0.304,39,164,15,41,138,12,0.179,0.752,0.069,95.12,118.84,125.0,death,32.17,8.33,21.22,1.0,Tamil Nadu,2023,3.3333333333333335,3.0,3,4,3,top_order,middle_order,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
BA Bhatt,19,4,13,2,1,1,4.75,12,0,0.75,0,0.0,5.12,0,0,0.0,0.0,146.15,0.231,0.077,0.154,0.737,0.385,0,3,16,0,6,7,0.0,0.158,0.842,,50.0,228.57,death,4.0,5.0,3.25,0.304,Baroda,2020,8.75,9.0,7,10,9,tailender,tailender,True,1,batting_tailender_cluster_1,tailender,100.0
BA Pathan,0,3,4,0,0,1,0.0,0,0,0.667,1,0.333,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0,0,0,0,0,4,,,,,,0.0,unknown,0.0,0.0,1.33,0.204,Baroda,2020,10.25,10.5,9,11,11,tailender,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
BA Roy,77,3,56,9,2,1,25.67,45,11,0.667,0,0.0,17.47,1,0,0.333,0.0,137.5,0.196,0.036,0.161,0.623,0.339,9,25,43,5,27,24,0.117,0.325,0.558,180.0,92.59,179.17,powerplay,28.0,21.0,18.67,0.421,Assam,2023,5.0,6.0,3,6,6,middle_order,finisher,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
BB Ghosh,72,5,77,10,0,4,14.4,36,1,0.2,0,0.0,13.11,1,0,0.2,0.0,93.51,0.13,0.0,0.13,0.556,0.494,60,12,0,64,13,0,0.833,0.167,0.0,93.75,92.31,,powerplay,6.0,20.0,15.4,0.633,Tripura,2022,1.4,1.0,1,3,1,opener,anchor_opener,True,1,batting_tailender_cluster_1,tailender,0.0
BB Roy,19,4,28,0,2,4,4.75,8,1,0.0,0,0.0,3.3,0,0,0.0,0.0,67.86,0.071,0.071,0.0,0.632,0.679,8,11,0,12,16,0,0.421,0.579,0.0,66.67,68.75,,middle,5.0,4.5,7.0,0.367,Tripura,2015,5.0,5.0,3,9,3,top_order,middle_order,True,2,batting_tailender_cluster_2,tailender,0.0
BB Samantray,396,19,309,30,17,19,20.84,102,0,0.0,1,0.053,25.17,6,1,0.316,0.053,128.16,0.152,0.055,0.097,0.561,0.343,64,188,144,67,169,73,0.162,0.475,0.364,95.52,111.24,197.26,death,25.75,19.53,16.26,1.0,Odisha,2020,4.2631578947368425,4.0,3,6,4,top_order,finisher,True,1,batting_tailender_cluster_1,tailender,0.0
BB Sran,68,8,55,8,1,6,8.5,19,0,0.25,2,0.25,6.65,0,0,0.0,0.0,123.64,0.164,0.018,0.145,0.559,0.382,0,23,45,0,22,33,0.0,0.338,0.662,,104.55,136.36,death,8.67,8.4,6.88,0.729,Punjab,2019,8.5,8.5,7,10,8,lower_order,tailender,True,1,batting_tailender_cluster_1,tailender,100.0
BH Merai,86,3,87,6,0,1,28.67,48,3,0.667,0,0.0,23.16,2,0,0.667,0.0,98.85,0.069,0.0,0.069,0.279,0.264,21,48,17,25,52,10,0.244,0.558,0.198,84.0,92.31,170.0,death,28.67,,29.0,0.55,Gujarat,2019,3.0,3.0,2,4,2,opener,anchor_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
BM Chingakham,37,4,31,2,2,4,9.25,17,0,0.0,1,0.25,7.41,0,0,0.0,0.0,119.35,0.129,0.065,0.065,0.541,0.484,0,23,14,0,18,13,0.0,0.622,0.378,,127.78,107.69,middle,,9.25,7.75,0.379,Manipur,2023,7.25,7.0,5,10,5,middle_order,middle_order,True,1,batting_tailender_cluster_1,tailender,0.0
BR Sharath,287,21,255,27,9,19,13.67,50,0,0.095,5,0.238,15.85,3,1,0.143,0.048,112.55,0.141,0.035,0.106,0.564,0.447,103,108,76,103,112,40,0.359,0.376,0.265,100.0,96.43,190.0,death,15.27,9.67,12.14,1.0,Karnataka,2023,3.6666666666666665,3.0,1,7,2,opener,anchor_opener,True,1,batting_tailender_cluster_1,tailender,0.0
BS Sharma,28,3,16,5,1,3,9.33,14,0,0.0,1,0.333,8.08,0,0,0.0,0.0,175.0,0.375,0.062,0.312,0.929,0.5,28,0,0,16,0,0,1.0,0.0,0.0,175.0,,,powerplay,14.0,7.0,5.33,0.254,Rajasthan,2020,1.0,1.0,1,1,1,opener,anchor_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
Babul Kumar,461,22,403,54,9,20,20.95,82,0,0.091,3,0.136,22.6,7,2,0.318,0.091,114.39,0.156,0.022,0.134,0.586,0.427,220,193,48,183,184,36,0.477,0.419,0.104,120.22,104.89,133.33,death,22.17,20.5,18.32,1.0,Bihar,2022,2.869565217391304,3.0,1,7,3,top_order,middle_order,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
Bandaru Ayyappa,102,10,71,5,7,6,10.2,24,1,0.4,0,0.0,7.38,0,0,0.0,0.0,143.66,0.169,0.099,0.07,0.608,0.366,0,1,101,0,2,69,0.0,0.01,0.99,,50.0,146.38,death,7.0,11.57,7.1,0.796,Andhra,2022,9.545454545454543,10.0,8,11,10,tailender,tailender,True,1,batting_tailender_cluster_1,tailender,100.0
Bandeep Singh,244,9,194,22,10,8,27.11,59,2,0.111,0,0.0,17.98,5,1,0.556,0.111,125.77,0.165,0.052,0.113,0.607,0.381,104,109,31,90,91,13,0.426,0.447,0.127,115.56,119.78,238.46,death,46.0,21.71,21.56,1.0,Jammu & Kashmir,2018,3.4444444444444446,3.0,1,6,3,top_order,top_order_anchor,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
Basil Thampi,35,9,29,3,2,6,3.89,22,0,0.333,3,0.333,7.24,0,0,0.0,0.0,120.69,0.172,0.069,0.103,0.686,0.483,0,1,34,0,1,28,0.0,0.029,0.971,,100.0,121.43,death,4.8,2.75,3.22,0.621,Kerala,2019,8.666666666666666,9.0,8,10,8,lower_order,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
Bavanaka Sandeep,696,29,589,37,26,26,24.0,74,0,0.103,1,0.034,16.93,10,2,0.345,0.069,118.17,0.107,0.044,0.063,0.437,0.304,56,434,206,71,395,123,0.08,0.624,0.296,78.87,109.87,167.48,death,20.67,25.5,20.31,1.0,Hyderabad (India),2021,4.466666666666667,4.5,2,7,5,middle_order,finisher,True,1,batting_tailender_cluster_1,tailender,0.0
Bhagmender Lather,21,3,15,2,1,2,7.0,14,1,0.333,0,0.0,6.56,0,0,0.0,0.0,140.0,0.2,0.067,0.133,0.667,0.333,0,0,21,0,0,15,0.0,0.0,1.0,,,140.0,death,,7.0,5.0,0.25,Chandigarh,2024,8.333333333333334,8.0,8,9,8,lower_order,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
Bhanu Pania,216,18,195,14,10,13,12.0,55,0,0.278,2,0.111,15.06,2,1,0.111,0.056,110.77,0.123,0.051,0.072,0.537,0.426,16,67,133,19,86,90,0.074,0.31,0.616,84.21,77.91,147.78,death,7.0,16.0,10.83,1.0,Baroda,2024,5.611111111111111,6.0,4,8,6,middle_order,middle_order,True,1,batting_tailender_cluster_1,tailender,0.0
Bharat Sharma,34,3,40,4,0,3,11.33,20,6,0.0,0,0.0,7.57,0,0,0.0,0.0,85.0,0.1,0.0,0.1,0.471,0.475,9,19,6,10,24,6,0.265,0.559,0.176,90.0,79.17,100.0,death,,11.33,13.33,0.354,Puducherry,2022,7.25,7.5,4,10,4,top_order,middle_order,True,2,batting_tailender_cluster_2,tailender,0.0
Bibek Diyali,124,12,193,14,1,12,10.33,23,0,0.0,3,0.25,8.44,0,0,0.0,0.0,64.25,0.078,0.005,0.073,0.5,0.648,92,32,0,145,48,0,0.742,0.258,0.0,63.45,66.67,,middle,,10.33,16.08,1.0,Sikkim,2020,1.1666666666666667,1.0,1,2,1,opener,anchor_opener,True,2,batting_tailender_cluster_2,tailender,0.0
Bikash K Rout,24,3,19,2,0,1,8.0,12,6,0.667,0,0.0,3.46,0,0,0.0,0.0,126.32,0.105,0.0,0.105,0.333,0.211,0,0,24,0,0,19,0.0,0.0,1.0,,,126.32,death,6.0,9.0,6.33,0.267,Odisha,2021,8.0,8.0,8,8,8,lower_order,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
Bikash Singh,24,4,43,1,0,4,6.0,13,1,0.0,0,0.0,5.29,0,0,0.0,0.0,55.81,0.023,0.0,0.023,0.167,0.581,0,13,11,0,30,13,0.0,0.542,0.458,,43.33,84.62,death,,6.0,10.75,0.429,Manipur,2023,8.0,7.0,7,11,7,lower_order,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
Bikramkumar Das,285,10,251,32,2,9,28.5,67,2,0.1,0,0.0,27.27,4,4,0.4,0.4,113.55,0.135,0.008,0.127,0.491,0.355,128,137,20,127,108,16,0.449,0.481,0.07,100.79,126.85,125.0,middle,38.0,6.33,25.1,1.0,Tripura,2023,1.1,1.0,1,2,1,opener,anchor_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
Bipin Saurabh,206,8,171,20,8,8,25.75,72,0,0.0,2,0.25,25.11,2,2,0.25,0.25,120.47,0.164,0.047,0.117,0.621,0.45,116,78,12,107,55,9,0.563,0.379,0.058,108.41,141.82,133.33,middle,50.5,17.5,21.38,1.0,Bihar,2022,1.625,2.0,1,2,2,opener,anchor_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
Bipul Sharma,363,16,288,25,17,15,22.69,62,2,0.062,0,0.0,16.04,6,1,0.375,0.062,126.04,0.146,0.059,0.087,0.556,0.354,22,249,92,11,216,61,0.061,0.686,0.253,200.0,115.28,150.82,powerplay,35.0,18.58,18.0,1.0,Sikkim,2020,5.352941176470588,5.0,3,8,5,middle_order,finisher,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
Bishworjit Konthoujam,7,6,18,0,0,2,1.17,2,0,0.667,0,0.0,0.75,0,0,0.0,0.0,38.89,0.0,0.0,0.0,0.0,0.611,0,0,7,0,0,18,0.0,0.0,1.0,,,38.89,death,,1.17,3.0,0.45,Manipur,2023,10.285714285714286,10.0,10,11,10,tailender,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
Bobby Zothansanga,8,6,19,0,0,3,1.33,3,0,0.5,1,0.167,1.03,0,0,0.0,0.0,42.11,0.0,0.0,0.0,0.0,0.579,0,0,8,0,0,19,0.0,0.0,1.0,,,42.11,death,,1.33,3.17,0.454,Mizoram,2022,9.333333333333334,9.0,7,11,9,tailender,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
Bodavarapu Sudhakar,21,4,28,2,0,2,5.25,11,0,0.5,1,0.25,4.79,0,0,0.0,0.0,75.0,0.071,0.0,0.071,0.381,0.464,0,7,14,0,13,15,0.0,0.333,0.667,,53.85,93.33,death,3.0,6.0,7.0,0.367,Andhra,2015,9.25,10.0,7,10,10,tailender,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
Bonny Chingangbam,20,3,27,2,0,2,6.67,16,1,0.333,0,0.0,8.14,0,0,0.0,0.0,74.07,0.074,0.0,0.074,0.4,0.519,10,7,3,15,9,3,0.5,0.35,0.15,66.67,77.78,100.0,death,,6.67,9.0,0.3,Manipur,2021,4.0,3.0,2,7,2,opener,anchor_opener,True,2,batting_tailender_cluster_2,tailender,0.0
CA Pujara,623,16,495,70,16,12,38.94,100,2,0.25,0,0.0,30.06,9,6,0.562,0.375,125.86,0.174,0.032,0.141,0.604,0.382,196,334,93,208,229,58,0.315,0.536,0.149,94.23,145.85,160.34,death,34.0,49.8,30.94,1.0,Saurashtra,2022,2.0,2.0,2,2,2,opener,anchor_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
CK Paul,11,4,19,2,0,3,2.75,5,0,0.25,0,0.0,2.63,0,0,0.0,0.0,57.89,0.105,0.0,0.105,0.727,0.737,0,0,11,0,0,19,0.0,0.0,1.0,,,57.89,death,0.0,3.67,4.75,0.329,Tripura,2015,10.75,11.0,10,11,11,tailender,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
CM Gautam,107,10,93,6,5,7,10.7,36,0,0.3,1,0.1,11.12,1,0,0.1,0.0,115.05,0.118,0.054,0.065,0.505,0.366,17,44,46,15,45,33,0.159,0.411,0.43,113.33,97.78,139.39,death,6.25,13.67,9.3,0.888,Karnataka,2017,6.1,6.0,4,9,5,middle_order,middle_order,True,1,batting_tailender_cluster_1,tailender,0.0
CP Singh,114,10,103,8,3,7,11.4,36,2,0.3,0,0.0,11.03,1,0,0.1,0.0,110.68,0.107,0.029,0.078,0.439,0.359,0,25,89,0,33,70,0.0,0.219,0.781,,75.76,127.14,death,7.0,13.29,10.3,0.929,Rajasthan,2020,7.545454545454546,8.0,7,8,8,lower_order,tailender,True,1,batting_tailender_cluster_1,tailender,100.0
CV Milind,175,21,129,15,7,12,8.33,26,0,0.429,2,0.095,8.21,0,0,0.0,0.0,135.66,0.171,0.054,0.116,0.583,0.364,19,33,123,17,39,73,0.109,0.189,0.703,111.76,84.62,168.49,death,6.17,9.2,6.14,1.0,Hyderabad (India),2022,8.409090909090908,9.0,1,10,9,tailender,tailender,True,1,batting_tailender_cluster_1,tailender,100.0
Chaitanya Bishnoi,755,32,643,78,17,28,23.59,65,0,0.125,2,0.062,19.72,13,4,0.406,0.125,117.42,0.148,0.026,0.121,0.548,0.373,373,329,53,324,282,37,0.494,0.436,0.07,115.12,116.67,143.24,death,23.76,23.27,20.09,1.0,Haryana,2022,1.84375,1.0,1,5,1,opener,anchor_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
Chanderpal Saini,40,3,36,1,0,3,13.33,20,6,0.0,0,0.0,7.02,0,0,0.0,0.0,111.11,0.028,0.0,0.028,0.1,0.222,0,31,9,0,31,5,0.0,0.775,0.225,,100.0,180.0,death,,13.33,12.0,0.338,Railways,2017,6.666666666666667,7.0,6,7,7,lower_order,tailender,True,1,batting_tailender_cluster_1,tailender,100.0
Cheepurapalli Stephen,4,4,8,0,0,0,1.0,2,0,1.0,0,0.0,0.82,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.625,0,0,4,0,0,8,0.0,0.0,1.0,,,50.0,death,,1.0,2.0,0.283,Andhra,2015,11.0,11.0,11,11,11,tailender,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
Chetan Bist,466,19,405,33,16,13,24.53,60,0,0.316,1,0.053,18.03,8,2,0.421,0.105,115.06,0.121,0.04,0.081,0.489,0.341,99,229,138,85,223,97,0.212,0.491,0.296,116.47,102.69,142.27,death,26.4,22.44,21.32,1.0,Nagaland,2022,4.842105263157895,5.0,2,8,5,middle_order,middle_order,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
Chintan Gaja,43,8,57,0,2,6,5.38,11,0,0.25,1,0.125,4.63,0,0,0.0,0.0,75.44,0.035,0.035,0.0,0.279,0.544,13,9,21,19,18,20,0.302,0.209,0.488,68.42,50.0,105.0,death,8.0,3.8,7.12,0.738,Gujarat,2023,7.625,9.0,3,10,9,tailender,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
Chintapalli Kranthi Kumar,99,3,74,8,4,3,33.0,47,9,0.0,0,0.0,20.88,2,0,0.667,0.0,133.78,0.162,0.054,0.108,0.566,0.284,1,91,7,1,67,6,0.01,0.919,0.071,100.0,135.82,116.67,middle,9.0,45.0,24.67,0.496,Andhra,2019,5.0,5.0,5,5,5,middle_order,middle_order,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
Chirag Gandhi,735,35,615,53,22,22,21.0,68,0,0.371,2,0.057,18.89,10,4,0.286,0.114,119.51,0.122,0.036,0.086,0.468,0.312,59,349,327,75,333,207,0.08,0.475,0.445,78.67,104.8,157.97,death,13.0,29.47,17.57,1.0,Gujarat,2023,5.228571428571429,5.0,4,8,5,middle_order,finisher,True,1,batting_tailender_cluster_1,tailender,0.0
Chirag Jani,422,24,311,36,16,15,17.58,80,0,0.375,3,0.125,18.73,5,1,0.208,0.042,135.69,0.167,0.051,0.116,0.569,0.312,1,203,218,2,167,142,0.002,0.481,0.517,50.0,121.56,153.52,death,17.25,17.92,12.96,1.0,Saurashtra,2024,6.458333333333333,6.0,4,9,6,middle_order,finisher,True,1,batting_tailender_cluster_1,tailender,0.0
Chirag Khurana,264,8,202,32,1,6,33.0,78,0,0.25,1,0.125,26.12,4,2,0.5,0.25,130.69,0.163,0.005,0.158,0.508,0.307,125,109,30,99,88,15,0.473,0.413,0.114,126.26,123.86,200.0,death,39.67,13.0,25.25,1.0,Meghalaya,2021,1.375,1.0,1,2,1,opener,aggressive_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,100.0
Codanda Ajit Karthik,107,4,99,7,4,3,26.75,61,4,0.25,0,0.0,24.69,1,1,0.25,0.25,108.08,0.111,0.04,0.071,0.486,0.404,58,34,15,53,38,8,0.542,0.318,0.14,109.43,89.47,187.5,death,61.0,15.33,24.75,0.662,Sikkim,2021,1.0,1.0,1,1,1,opener,anchor_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
D Padikkal,780,24,553,82,35,21,32.5,99,0,0.125,1,0.042,28.92,12,7,0.5,0.292,141.05,0.212,0.063,0.148,0.69,0.383,392,350,38,293,239,21,0.503,0.449,0.049,133.79,146.44,180.95,death,40.18,13.86,23.04,1.0,Karnataka,2023,1.75,2.0,1,3,2,opener,aggressive_opener,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,100.0
DB Das,48,7,54,2,1,6,6.86,22,0,0.143,2,0.286,7.97,0,0,0.0,0.0,88.89,0.056,0.019,0.037,0.292,0.352,0,10,38,0,16,38,0.0,0.208,0.792,,62.5,100.0,death,0.0,9.6,7.71,0.662,Bengal,2019,6.0,6.0,5,7,5,middle_order,middle_order,True,2,batting_tailender_cluster_2,tailender,0.0
DB Ravi Teja,530,23,510,51,9,16,23.04,61,0,0.304,1,0.043,17.75,8,3,0.348,0.13,103.92,0.118,0.018,0.1,0.487,0.396,81,340,109,124,311,75,0.153,0.642,0.206,65.32,109.32,145.33,death,24.62,21.0,22.17,1.0,Meghalaya,2021,3.9565217391304346,4.0,1,7,4,top_order,middle_order,True,1,batting_tailender_cluster_1,tailender,0.0
DG Nalkande,76,12,90,3,4,10,6.33,21,0,0.167,2,0.167,6.46,0,0,0.0,0.0,84.44,0.078,0.044,0.033,0.474,0.511,0,8,68,0,18,72,0.0,0.105,0.895,,44.44,94.44,death,1.5,8.75,7.5,0.875,Vidarbha,2022,7.916666666666667,8.0,7,9,8,lower_order,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
DH Yagnik,44,4,48,4,1,3,11.0,23,0,0.25,1,0.25,10.42,0,0,0.0,0.0,91.67,0.104,0.021,0.083,0.5,0.479,0,12,32,1,17,30,0.0,0.273,0.727,0.0,70.59,106.67,death,23.0,7.0,12.0,0.45,Rajasthan,2015,6.0,7.0,3,7,7,lower_order,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
DJ Hooda,858,34,629,65,34,31,25.24,75,1,0.088,0,0.0,21.52,12,7,0.353,0.206,136.41,0.157,0.054,0.103,0.541,0.289,140,566,152,126,425,78,0.163,0.66,0.177,111.11,133.18,194.87,death,28.95,18.42,18.5,1.0,Baroda,2021,3.7941176470588234,4.0,3,7,4,top_order,top_order_anchor,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
DL Chahar,126,13,115,5,9,9,9.69,55,0,0.308,1,0.077,14.82,1,1,0.077,0.077,109.57,0.122,0.078,0.043,0.587,0.461,5,39,82,6,57,52,0.04,0.31,0.651,83.33,68.42,157.69,death,11.56,5.5,8.85,0.979,Rajasthan,2020,6.785714285714286,7.0,3,8,7,lower_order,tailender,True,1,batting_tailender_cluster_1,tailender,100.0
DR Shorey,493,23,434,43,16,18,21.43,70,0,0.217,3,0.13,20.0,7,3,0.304,0.13,113.59,0.136,0.037,0.099,0.544,0.406,157,271,65,153,243,38,0.318,0.55,0.132,102.61,111.52,171.05,death,24.54,17.4,18.87,1.0,Delhi,2021,3.347826086956522,3.0,1,5,3,top_order,finisher,True,0,batting_aggressive_opener_cluster_0,aggressive_opener,0.0
DS Kulkarni,68,11,66,9,1,7,6.18,19,0,0.364,2,0.182,6.52,0,0,0.0,0.0,103.03,0.152,0.015,0.136,0.618,0.485,0,5,63,0,9,57,0.0,0.074,0.926,,55.56,110.53,death,0.0,6.8,6.0,0.775,Mumbai,2020,9.727272727272728,10.0,8,10,10,tailender,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
Damodaran Rohit,405,25,408,49,10,25,16.2,55,0,0.0,3,0.12,15.4,4,2,0.16,0.08,99.26,0.145,0.025,0.12,0.632,0.537,274,128,3,284,120,4,0.677,0.316,0.007,96.48,106.67,75.0,middle,21.12,13.88,16.32,1.0,Puducherry,2022,1.8,2.0,1,3,2,opener,anchor_opener,True,1,batting_tailender_cluster_1,tailender,0.0
Darshan Misal,337,29,332,18,13,24,11.62,50,1,0.172,0,0.0,10.56,1,1,0.034,0.034,101.51,0.093,0.039,0.054,0.445,0.392,2,176,159,7,214,111,0.006,0.522,0.472,28.57,82.24,143.24,death,16.0,10.92,11.45,1.0,Goa,2023,6.241379310344827,6.0,5,9,6,middle_order,middle_order,True,1,batting_tailender_cluster_1,tailender,0.0
Daryl Ferrario,51,4,54,4,0,4,12.75,22,3,0.0,0,0.0,9.18,0,0,0.0,0.0,94.44,0.074,0.0,0.074,0.314,0.333,18,30,3,19,31,4,0.353,0.588,0.059,94.74,96.77,75.0,middle,12.5,13.0,13.5,0.475,Kerala,2018,4.5,4.5,4,5,4,top_order,middle_order,True,1,batting_tailender_cluster_1,tailender,0.0
Debabrata Pradhan,31,6,39,4,0,4,5.17,13,1,0.333,0,0.0,5.38,0,0,0.0,0.0,79.49,0.103,0.0,0.103,0.516,0.538,0,1,30,0,3,36,0.0,0.032,0.968,,33.33,83.33,death,11.0,4.0,6.5,0.538,Odisha,2021,9.666666666666666,10.0,9,10,10,tailender,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
Deepak Behera,11,3,15,1,0,3,3.67,5,1,0.0,0,0.0,2.31,0,0,0.0,0.0,73.33,0.067,0.0,0.067,0.364,0.533,0,0,11,0,0,15,0.0,0.0,1.0,,,73.33,death,,3.67,5.0,0.25,Odisha,2015,9.0,9.0,8,10,8,lower_order,tailender,True,2,batting_tailender_cluster_2,tailender,100.0
Deepak Punia,80,7,84,2,4,5,11.43,30,2,0.286,0,0.0,9.68,1,0,0.143,0.0,95.24,0.071,0.048,0.024,0.4,0.429,0,18,62,0,25,59,0.0,0.225,0.775,,72.0,105.08,death,14.5,7.33,12.0,0.788,Saurashtra,2021,6.428571428571429,6.0,5,9,6,middle_order,middle_order,True,2,batting_tailender_cluster_2,tailender,0.0
Deepraj Gaonkar,283,19,255,25,10,17,14.89,48,1,0.105,0,0.0,14.94,4,0,0.211,0.0,110.98,0.137,0.039,0.098,0.565,0.42,29,176,78,33,157,65,0.102,0.622,0.276,87.88,112.1,120.0,death,6.0,15.94,13.42,1.0,Goa,2023,6.2631578947368425,7.0,2,9,7,lower_order,tailender,True,1,batting_tailender_cluster_1,tailender,100.0
