player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,team,typical_position,avg_position,position_role,batting_role
Pankaj Singh,7,5,16,0,0,3,1.4,5,0,0.4,2,0.4,2.07,0,0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.625,0.0,0.143,0.857,,33.33,46.15,death,,1.4,Rajasthan,10,9.2,tailender,tailender
Pappu Roy,3,5,14,0,0,1,0.6,2,0,0.8,1,0.2,0.89,0,0,0.0,0.0,21.43,0.0,0.0,0.0,0.0,0.786,0.0,0.0,1.0,,,21.43,death,,0.6,Odisha,11,10.714285714285714,tailender,tailender
Parameeswaran Sivaraman,32,3,38,1,1,2,10.67,32,0,0.333,2,0.667,18.48,1,0,0.333,0.0,84.21,0.053,0.026,0.026,0.312,0.421,0.0,0.406,0.594,0.0,61.9,172.73,death,,10.67,Puducherry,4,4.0,top_order,finisher
Paras Sehrawat,51,4,37,5,3,3,12.75,22,0,0.25,1,0.25,9.29,0,0,0.0,0.0,137.84,0.216,0.081,0.135,0.745,0.459,0.255,0.294,0.451,118.18,125.0,164.29,death,,12.75,Nagaland,4,5.25,top_order,finisher
Pargat Singh,169,6,157,23,1,5,28.17,60,0,0.167,1,0.167,22.15,3,1,0.5,0.167,107.64,0.153,0.006,0.146,0.58,0.452,0.538,0.385,0.077,96.81,120.37,144.44,death,40.0,16.33,Punjab,2,1.8333333333333333,opener,anchor_opener
Parikshit Valsangkar,24,3,24,3,0,2,8.0,10,5,0.333,0,0.0,2.65,0,0,0.0,0.0,100.0,0.125,0.0,0.125,0.5,0.417,0.0,0.292,0.708,,100.0,100.0,mid,,8.0,Mumbai,8,8.0,lower_order,tailender
Parth Chauhan,76,6,51,6,4,4,12.67,25,3,0.333,0,0.0,8.14,0,0,0.0,0.0,149.02,0.196,0.078,0.118,0.632,0.275,0.0,0.408,0.592,,134.78,160.71,death,16.5,5.0,Saurashtra,5,5.833333333333333,middle_order,finisher
Parth Kohli,59,3,63,5,1,2,19.67,24,13,0.333,0,0.0,5.86,0,0,0.0,0.0,93.65,0.095,0.016,0.079,0.441,0.397,0.0,0.593,0.407,,68.63,200.0,death,22.0,18.5,Baroda,6,5.666666666666667,middle_order,finisher
Parth Sahani,743,34,598,51,30,26,21.85,74,0,0.235,1,0.029,19.29,10,3,0.294,0.088,124.25,0.135,0.05,0.085,0.517,0.338,0.051,0.638,0.311,57.58,123.44,156.08,death,21.61,22.12,Madhya Pradesh,4,4.794117647058823,top_order,finisher
Parvez Ahmed,75,14,127,5,0,10,5.36,14,0,0.286,2,0.143,4.33,0,0,0.0,0.0,59.06,0.039,0.0,0.039,0.267,0.583,0.0,0.307,0.693,,41.07,73.24,death,,5.36,Mizoram,7,6.928571428571429,lower_order,tailender
Parvez Aziz,59,3,66,8,1,2,19.67,30,14,0.333,0,0.0,8.96,1,0,0.333,0.0,89.39,0.136,0.015,0.121,0.644,0.545,0.034,0.576,0.39,28.57,97.14,95.83,mid,,19.67,Assam,5,6.333333333333333,middle_order,middle_order
Parvez Rasool,362,20,305,29,11,15,18.1,59,2,0.25,0,0.0,15.17,5,1,0.25,0.05,118.69,0.131,0.036,0.095,0.503,0.338,0.064,0.63,0.307,95.83,111.22,146.05,death,30.0,14.13,Jammu & Kashmir,5,4.95,middle_order,middle_order
Pavan Deshpande,297,12,227,19,11,10,24.75,63,0,0.167,2,0.167,20.74,3,2,0.25,0.167,130.84,0.132,0.048,0.084,0.478,0.286,0.013,0.673,0.313,40.0,130.72,145.31,death,35.67,13.83,Karnataka,5,4.833333333333333,middle_order,middle_order
Piyush Joshi,88,6,83,10,2,6,14.67,64,0,0.0,1,0.167,24.49,1,1,0.167,0.167,106.02,0.145,0.024,0.12,0.591,0.482,0.352,0.648,0.0,93.94,116.33,0.0,mid,34.5,4.75,Uttarakhand,2,2.5,opener,anchor_opener
