player,total_wickets,total_matches_bowled,total_balls_bowled,total_runs_conceded,total_wides,total_noballs,economy_rate,bowling_average,bowling_strike_rate,avg_wickets_per_match,bowling_consistency,two_plus_hauls,two_plus_haul_rate,bowling_dot_rate,wide_rate,noball_rate,pp_runs_conceded,mid_runs_conceded,death_runs_conceded,pp_balls_bowled,mid_balls_bowled,death_balls_bowled,pp_economy,mid_economy,death_economy,pp_workload_pct,mid_workload_pct,death_workload_pct,dominant_phase,bowling_role,wickets_in_wins,wickets_in_losses,balls_bowled_per_match,sample_reliability_score,team,season_start_year,eligible_for_model
Pradeep Chamoli,2,3,58,103,0,0,10.66,51.5,29.0,0.667,0.58,0,0.0,0.259,0.0,0.0,51,10,42,36,6,16,8.5,10.0,15.75,0.621,0.103,0.276,powerplay,part_time_bowler,,0.67,19.33,0.429,Uttarakhand,2019,True
Pradeep Dadhe,4,5,77,111,2,0,8.65,27.75,19.25,0.8,0.84,1,0.2,0.416,0.4,0.0,47,14,50,42,12,23,6.71,7.0,13.04,0.545,0.156,0.299,powerplay,powerplay_bowler,0.5,1.0,15.4,0.633,Maharashtra,2021,True
Pradipta Pramanik,12,10,162,178,5,0,6.59,14.83,13.5,1.2,1.03,4,0.4,0.444,0.5,0.0,23,139,16,18,132,12,7.67,6.32,8.0,0.111,0.815,0.074,middle,middle_overs_bowler,1.6,0.8,16.2,1.0,Bengal,2024,True
Prakash Seet,7,5,114,143,3,0,7.53,20.43,16.29,1.4,0.89,3,0.6,0.404,0.6,0.0,42,31,70,48,30,36,5.25,6.2,11.67,0.421,0.263,0.316,powerplay,death_bowler,1.25,2.0,22.8,0.788,Jharkhand,2015,True
Pramod Chandila,1,2,30,44,0,0,8.8,44.0,30.0,0.5,0.71,0,0.0,0.133,0.0,0.0,0,28,16,0,24,6,,7.0,16.0,0.0,0.8,0.2,middle,part_time_bowler,,0.5,15.0,0.25,Bengal,2015,False
Pranshu Vijayran,6,12,186,253,1,1,8.16,42.17,31.0,0.5,0.67,1,0.083,0.371,0.083,0.083,64,125,64,42,102,42,9.14,7.35,9.14,0.226,0.548,0.226,middle,middle_overs_bowler,0.62,0.25,15.5,1.0,Delhi,2022,True
Prashant Awasthi,3,6,90,99,0,0,6.6,33.0,30.0,0.5,0.84,1,0.167,0.278,0.0,0.0,3,90,6,6,78,6,3.0,6.92,6.0,0.067,0.867,0.067,powerplay,middle_overs_bowler,0.67,0.33,15.0,0.75,Railways,2018,True
Prashant Singh,3,5,80,104,0,0,7.8,34.67,26.67,0.6,0.89,1,0.2,0.412,0.0,0.0,52,12,40,54,8,18,5.78,9.0,13.33,0.675,0.1,0.225,powerplay,powerplay_bowler,2.0,0.25,16.0,0.646,Bihar,2018,True
Prashanth Kumar,1,4,36,45,1,0,7.5,45.0,36.0,0.25,0.5,0,0.0,0.444,0.25,0.0,0,45,0,0,36,0,,7.5,,0.0,1.0,0.0,middle,part_time_bowler,0.0,0.33,9.0,0.4,Andhra,2020,True
Pratap Singh,5,2,48,45,1,1,5.62,9.0,9.6,2.5,0.71,2,1.0,0.458,0.5,0.5,22,12,11,30,12,6,4.4,6.0,11.0,0.625,0.25,0.125,powerplay,part_time_bowler,2.0,3.0,24.0,0.325,Bengal,2015,False
