player,avg_position,median_position,highest_position,lowest_position,typical_position,position_role
Aishwary Mourya,6.25,6.5,5,7,7,lower_order
Ajay Kumar,6.0,6.0,6,6,6,middle_order
Ajay Mandal,6.3,6.0,3,8,6,middle_order
Ajay Pradhan,11.0,11.0,11,11,11,tailender
Ajay Sarkar,10.142857142857142,10.0,9,11,11,tailender
Akash Bhandari,7.230769230769231,8.0,3,8,8,lower_order
Akash Choudhary,9.428571428571429,10.0,7,11,10,tailender
Akash Deep,8.75,9.0,8,10,9,tailender
Akash Luitel,9.666666666666666,10.0,9,10,10,tailender
Akash Madhwal,9.666666666666666,9.0,9,11,9,tailender
Akash Pandey,11.0,11.0,11,11,11,tailender
Akash Parkar,7.333333333333333,7.0,6,9,7,lower_order
Akash Raj,5.5,5.5,5,6,5,middle_order
Akash Sengupta,7.5,7.5,7,8,7,lower_order
Akash Singh,7.0,7.0,5,9,5,middle_order
Akash Sudan,8.0,8.0,8,8,8,lower_order
Akash Vasisht,5.777777777777778,5.0,3,9,5,middle_order
Akhil Rajput,1.7142857142857142,2.0,1,2,2,opener
Akhilesh Sahani,5.722222222222222,6.5,1,8,7,lower_order
Akshat Raghuwanshi,5.0,5.0,4,6,4,top_order
Akshay Chandran,6.75,7.0,6,7,7,lower_order
Akshay Jain,10.5,10.5,10,11,10,tailender
Akshay Karnewar,6.129032258064516,7.0,4,8,7,lower_order
Akshay Wadkar,3.611111111111111,3.0,2,9,3,top_order
Akshay Wakhare,10.375,10.5,9,11,11,tailender
Al Bashid Muhammed,3.4545454545454546,3.0,2,10,3,top_order
Alok Sahoo,7.5,7.5,6,9,6,middle_order
Aman Hakim Khan,6.0,7.0,2,8,7,lower_order
Amandeep Khare,3.5714285714285716,4.0,2,7,4,top_order
Ambikeshwar Mishra,11.0,11.0,11,11,11,tailender
Amiangshu Sen,5.8,5.5,3,9,3,top_order
Amit Ali,8.0,8.0,8,8,8,lower_order
Amit Chopra,4.833333333333333,4.0,4,7,4,top_order
Amit Mishra,8.666666666666666,9.0,8,9,9,tailender
Amit Pachhara,4.833333333333333,4.5,4,6,4,top_order
Amit Parashar,2.0,2.0,2,2,2,opener
Amit Sinha,5.833333333333333,6.0,4,8,6,middle_order
Amit Verma,4.0476190476190474,4.0,3,8,3,top_order
Amit Yadav,8.75,8.5,8,10,8,lower_order
Amlanjyoti Das,8.2,8.0,8,9,8,lower_order
Amod Yadav,9.0,9.0,9,9,9,tailender
Amogh Desai,1.7142857142857142,1.5,1,5,1,opener
Amos Rai,9.666666666666666,10.0,9,10,10,tailender
Amrit Lubana,4.0,4.0,4,4,4,top_order
Amulya Pandrekar,10.666666666666666,11.0,9,11,11,tailender
Anand Bais,4.0,4.0,3,5,3,top_order
Anand Singh,1.894736842105263,1.0,1,8,1,opener
Anil Subba,10.0,10.0,10,10,10,tailender
Aniruddha Joshi,5.333333333333333,5.0,2,8,5,middle_order
Anish Charak,6.833333333333333,7.5,4,8,8,lower_order
Ankit Chaudhary,8.5,8.5,8,9,8,lower_order
Ankit Dabas,4.0,4.0,1,7,1,opener
Ankit Dane,1.0,1.0,1,1,1,opener
Ankit Kaushik,4.5,4.0,3,6,4,top_order
Ankit Kumar,2.75,2.0,2,5,2,opener
Ankit Kushwah,8.0,8.0,8,8,8,lower_order
Ankit Lamba,2.0384615384615383,2.0,1,3,2,opener
Ankit Maini,6.0,6.0,6,6,6,middle_order
Ankit Manori,10.0,10.0,10,10,10,tailender
Ankit Sharma,6.846153846153846,7.0,3,8,7,lower_order
Ankit Yadav,6.5,6.5,6,7,6,middle_order
Ankitkar Jaiswal,10.0,10.0,10,10,10,tailender
Anmol Malhotra,6.166666666666667,6.5,4,8,4,top_order
Anmolpreet Singh,4.121212121212121,4.0,3,7,3,top_order
Annabathula Akash,1.0,1.0,1,1,1,opener
Ansh Patel,10.0,10.0,10,10,10,tailender
Anshul Tripathi,4.25,4.5,3,5,5,middle_order
Anshuman Gautam,2.0,2.0,1,3,1,opener
Anshuman Rath,2.0,2.0,2,2,2,opener
Antony Dhas,7.0,8.0,5,8,8,lower_order
Anuj Rawat,2.9615384615384617,3.0,1,7,2,opener
Anurag Sarangi,2.076923076923077,2.0,1,3,2,opener
Anurag Tiwari,10.0,10.0,10,10,10,tailender
Anureet Singh,6.928571428571429,7.5,1,10,8,lower_order
Arabind Singh,5.888888888888889,6.0,5,7,6,middle_order
Arjit Gupta,4.875,5.0,1,7,5,middle_order
Arjit Pannu,4.333333333333333,3.0,3,7,3,top_order
Arjun Tendulkar,7.4,9.0,3,11,3,top_order
Arkaprabha Sinha,2.5833333333333335,2.0,2,5,2,opener
Arnab Nandi,7.666666666666667,8.0,7,8,8,lower_order
Arpit Gaud,1.0,1.0,1,1,1,opener
Arpit Vasavada,4.9523809523809526,5.0,2,8,5,middle_order
Arshad Khan,8.5,8.5,8,9,8,lower_order
Arshdeep Singh,11.0,11.0,11,11,11,tailender
Arslan Khan,2.0,2.0,2,2,2,opener
Arun Chaprana,5.888888888888889,7.0,1,10,8,lower_order
Arup Das,10.333333333333334,10.0,10,11,10,tailender
Arya Sethi,2.0,2.0,2,2,2,opener
Aryan Juyal,1.8,2.0,1,3,1,opener
Aryan Sahani,3.0,3.0,3,3,3,top_order
Asfan Khan,6.0,6.0,4,8,6,middle_order
Ashish Rai,10.0,10.0,10,10,10,tailender
Ashish Thapa,3.263157894736842,3.0,1,10,3,top_order
Ashish Yadav,6.071428571428571,6.0,4,9,6,middle_order
Ashith Rajiv,7.8,8.0,7,9,7,lower_order
Ashutosh Aman,8.125,8.0,7,10,8,lower_order
Ashutosh Sharma,3.375,2.0,2,8,2,opener
Ashutosh Singh,2.75,2.0,2,4,2,opener
Ashwin Das,6.25,6.0,2,11,2,opener
Ashwin Hebbar,2.085714285714286,1.0,1,6,1,opener
Atharva Ankolekar,7.8,8.0,6,9,8,lower_order
Atharva Taide,1.28,1.0,1,2,1,opener
Auqib Nabi,8.0,8.0,7,9,7,lower_order
Avesh Khan,8.8,9.5,3,11,11,tailender
Avijit Singh,5.0,5.0,4,6,4,top_order
Avinash Yadav,6.0,6.0,5,7,5,middle_order
Avishek Sinha,8.5,8.0,8,10,8,lower_order
Avneesh Sudha,2.75,2.5,1,5,1,opener
Ayan Bhattacharjee,8.0,8.0,8,8,8,lower_order
Ayush Jamwal,8.333333333333334,8.0,6,10,8,lower_order
Azim Kazi,5.238095238095238,5.0,4,7,5,middle_order
B Aparajith,3.4814814814814814,3.0,2,6,3,top_order
B Indrajith,3.8,4.0,3,5,3,top_order
B Kumar,7.666666666666667,7.0,7,9,7,lower_order
B Rahman,1.6,2.0,1,2,2,opener
B Sai Sudharsan,3.3333333333333335,3.0,3,4,3,top_order
BA Bhatt,8.75,9.0,7,10,9,tailender
BA Pathan,10.25,10.5,9,11,11,tailender
BA Roy,5.0,6.0,3,6,6,middle_order
BB Debnath,8.0,8.0,8,8,8,lower_order
BB Dey,9.5,9.5,8,11,8,lower_order
BB Ghosh,1.4,1.0,1,3,1,opener
BB Roy,5.0,5.0,3,9,3,top_order
BB Samantray,4.2631578947368425,4.0,3,6,4,top_order
BB Sran,8.5,8.5,7,10,8,lower_order
BH Merai,3.0,3.0,2,4,2,opener
BM Chingakham,7.25,7.0,5,10,5,middle_order
BR Sharath,3.6666666666666665,3.0,1,7,2,opener
BS Sharma,1.0,1.0,1,1,1,opener
Babul Kumar,2.869565217391304,3.0,1,7,3,top_order
Bal Krishna,8.0,8.0,8,8,8,lower_order
Baltej Singh,10.75,11.0,10,11,11,tailender
Bandaru Ayyappa,9.545454545454545,10.0,8,11,10,tailender
Bandeep Singh,3.4444444444444446,3.0,1,6,3,top_order
Bappa Das,2.0,2.0,2,2,2,opener
Basil Thampi,8.666666666666666,9.0,8,10,8,lower_order
Bavanaka Sandeep,4.466666666666667,4.5,2,7,5,middle_order
Benoy Upreti,6.0,6.0,6,6,6,middle_order
Bhagmender Lather,8.333333333333334,8.0,8,9,8,lower_order
Bhanu Pania,5.611111111111111,6.0,4,8,6,middle_order
Bharat Sharma,7.25,7.5,4,10,4,top_order
Bibek Diyali,1.1666666666666667,1.0,1,2,1,opener
Bikas Pati,2.0,2.0,2,2,2,opener
Bikash K Rout,8.0,8.0,8,8,8,lower_order
Bikash Singh,8.0,7.0,7,11,7,lower_order
Bikramkumar Das,1.1,1.0,1,2,1,opener
Bipin Saurabh,1.625,2.0,1,2,2,opener
Bipul Sharma,5.352941176470588,5.0,3,8,5,middle_order
Bishworjit Konthoujam,10.285714285714286,10.0,10,11,10,tailender
Bobby Yadav,10.0,10.0,10,10,10,tailender
Bobby Zothansanga,9.333333333333334,9.0,7,11,9,tailender
Bodavarapu Sudhakar,9.25,10.0,7,10,10,tailender
Bonny Chingangbam,4.0,3.0,2,7,2,opener
Bravish Shetty,3.0,3.0,2,4,2,opener
C Rathore,1.0,1.0,1,1,1,opener
CA Pujara,2.0,2.0,2,2,2,opener
CK Paul,10.75,11.0,10,11,11,tailender
CM Gautam,6.1,6.0,4,9,5,middle_order
CP Sahani,5.0,5.0,5,5,5,middle_order
CP Singh,7.545454545454546,8.0,7,8,8,lower_order
CV Milind,8.409090909090908,9.0,1,10,9,tailender
CV Varun,10.0,10.0,10,10,10,tailender
Chabungbam Ishworjit,7.0,7.0,7,7,7,lower_order
Chaitanya Bishnoi,1.84375,1.0,1,5,1,opener
Chandan Ray,8.0,8.0,8,8,8,lower_order
Chanderpal Saini,6.666666666666667,7.0,6,7,7,lower_order
Cheepurapalli Stephen,11.0,11.0,11,11,11,tailender
Chengkam Sangma,10.5,10.5,10,11,10,tailender
Chetan Bist,4.842105263157895,5.0,2,8,5,middle_order
Chinta Gandhi,11.0,11.0,11,11,11,tailender
Chintan Gaja,7.625,9.0,3,10,9,tailender
Chintapalli Kranthi Kumar,5.0,5.0,5,5,5,middle_order
Chirag Gandhi,5.228571428571429,5.0,4,8,5,middle_order
Chirag Jani,6.458333333333333,6.0,4,9,6,middle_order
Chirag Khurana,1.375,1.0,1,2,1,opener
Chirag Parmar,4.0,4.0,4,4,4,top_order
Chongtham Mehul,8.0,8.0,8,8,8,lower_order
Codanda Ajit Karthik,1.0,1.0,1,1,1,opener
D Chauhan,5.5,5.5,4,7,4,top_order
D Joshi,7.0,7.0,7,7,7,lower_order
D Khatri,7.0,7.0,7,7,7,lower_order
D Padikkal,1.75,2.0,1,3,2,opener
D Rabha,9.0,9.0,9,9,9,tailender
D Rai,10.0,10.0,10,10,10,tailender
D Yadav,5.0,5.0,5,5,5,middle_order
DB Bana,4.0,4.0,4,4,4,top_order
DB Das,6.0,6.0,5,7,5,middle_order
DB Ravi Teja,3.9565217391304346,4.0,1,7,4,top_order
DG Kumar,10.0,10.0,10,10,10,tailender
DG Nalkande,7.916666666666667,8.0,7,9,8,lower_order
DH Yagnik,6.0,7.0,3,7,7,lower_order
DJ Hooda,3.7941176470588234,4.0,3,7,4,top_order
DJ Muthuswami,10.0,10.0,10,10,10,tailender
DK Sharma,7.0,7.0,7,7,7,lower_order
DL Chahar,6.785714285714286,7.0,3,8,7,lower_order
DM Mistry,2.0,2.0,2,2,2,opener
DR Deshmukh,9.0,9.0,9,9,9,tailender
DR Shorey,3.347826086956522,3.0,1,5,3,top_order
DS Kulkarni,9.727272727272727,10.0,8,10,10,tailender
Damodaran Rohit,1.8,2.0,1,3,2,opener
Darremsanga,6.5,6.5,6,7,6,middle_order
Darshan Misal,6.241379310344827,6.0,5,9,6,middle_order
Daryl Ferrario,4.5,4.5,4,5,4,top_order
Dasari Swaroop Kumar,8.0,8.0,8,8,8,lower_order
Debabrata Pradhan,9.666666666666666,10.0,9,10,10,tailender
