player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs,mid_runs,death_runs,pp_balls_faced,mid_balls_faced,death_balls_faced,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,balls_faced_per_match,sample_reliability_score,team,season_start_year,avg_position,median_position,highest_position,lowest_position,typical_position,position_role,batting_role,eligible_for_model,ml_suitability_score
Gaurav Gambhir,3,1,4,0,0,1,3.0,3,3,0.0,0,0.0,0.0,0,0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.25,0,0,3,0,0,4,0.0,0.0,1.0,,,75.0,death,,3.0,4.0,0.079,Chandigarh,2019,9.0,9.0,9,9,9,tailender,tailender,False,10.611081318944295
Gaurav Puri,91,6,56,10,5,5,15.17,35,1,0.167,0,0.0,12.14,1,0,0.167,0.0,162.5,0.268,0.089,0.179,0.769,0.393,31,52,8,22,27,7,0.341,0.571,0.088,140.91,192.59,114.29,middle,10.0,17.75,9.33,0.608,Chandigarh,2021,4.333333333333333,4.5,3,5,5,middle_order,middle_order,True,36.13674343495493
Gaurav Yadav,5,1,3,1,0,0,5.0,5,5,1.0,0,0.0,0.0,0,0,0.0,0.0,166.67,0.333,0.0,0.333,0.8,0.333,0,0,5,0,0,3,0.0,0.0,1.0,,,166.67,death,,5.0,3.0,0.075,Madhya Pradesh,2019,10.0,10.0,10,10,10,tailender,tailender,False,63.31631150580878
Gemson Singh,2,1,6,0,0,1,2.0,2,2,0.0,0,0.0,0.0,0,0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.667,2,0,0,6,0,0,1.0,0.0,0.0,33.33,,,powerplay,,2.0,6.0,0.088,Manipur,2020,2.0,2.0,2,2,2,opener,anchor_opener,False,14.307482664638094
Girinath Reddy,209,14,148,12,13,11,14.93,62,0,0.214,2,0.143,16.33,2,1,0.143,0.071,141.22,0.169,0.088,0.081,0.603,0.338,0,89,120,0,68,80,0.0,0.426,0.574,,130.88,150.0,death,21.17,10.25,10.57,1.0,Andhra,2022,6.428571428571429,6.5,4,9,7,lower_order,tailender,True,62.582901627382746
Girish Rauturi,76,7,56,3,6,6,10.86,49,0,0.143,2,0.286,17.8,1,0,0.143,0.0,135.71,0.161,0.107,0.054,0.632,0.464,0,8,68,0,17,39,0.0,0.105,0.895,,47.06,174.36,death,24.33,0.75,8.0,0.671,Uttarakhand,2020,6.571428571428571,7.0,5,8,7,lower_order,tailender,True,57.200072511860924
Gitansh Khera,31,2,40,1,1,2,15.5,22,9,0.0,0,0.0,9.19,0,0,0.0,0.0,77.5,0.05,0.025,0.025,0.323,0.525,2,29,0,9,31,0,0.065,0.935,0.0,22.22,93.55,,middle,22.0,9.0,20.0,0.292,Punjab,2015,5.0,5.0,3,7,3,top_order,middle_order,False,24.1243538576716
Gokul Sharma,10,2,11,2,0,2,5.0,10,0,0.0,1,0.5,7.07,0,0,0.0,0.0,90.91,0.182,0.0,0.182,0.8,0.727,10,0,0,11,0,0,1.0,0.0,0.0,90.91,,,powerplay,10.0,0.0,5.5,0.171,Assam,2015,3.5,3.5,3,4,3,top_order,middle_order,False,22.243569597354735
Gourav Choudhury,68,3,53,10,2,3,22.67,36,13,0.0,0,0.0,11.93,1,0,0.333,0.0,128.3,0.226,0.038,0.189,0.765,0.491,61,7,0,48,5,0,0.897,0.103,0.0,127.08,140.0,,middle,13.0,27.5,17.67,0.408,Odisha,2020,1.0,1.0,1,1,1,opener,aggressive_opener,True,27.61775666825017
Govinda Poddar,438,19,347,39,16,18,23.05,64,0,0.053,1,0.053,19.53,4,3,0.211,0.158,126.22,0.159,0.046,0.112,0.575,0.366,127,245,66,136,176,35,0.29,0.559,0.151,93.38,139.2,188.57,death,27.2,21.57,18.26,1.0,Odisha,2021,3.210526315789474,4.0,1,5,4,top_order,finisher,True,57.880023474463506
Gurinder Singh,439,20,351,21,24,11,21.95,56,1,0.45,0,0.0,16.7,6,1,0.3,0.05,125.07,0.128,0.068,0.06,0.519,0.328,3,154,282,5,170,176,0.007,0.351,0.642,60.0,90.59,160.23,death,12.33,23.65,17.55,1.0,Chandigarh,2021,6.2,6.0,4,8,5,middle_order,finisher,True,61.6156589824291
Gurkeerat Singh,675,29,518,54,34,23,23.28,63,0,0.207,2,0.069,15.99,10,1,0.345,0.034,130.31,0.17,0.066,0.104,0.622,0.378,69,477,129,49,379,90,0.102,0.707,0.191,140.82,125.86,143.33,death,19.64,26.67,17.86,1.0,Punjab,2023,4.172413793103448,4.0,3,6,4,top_order,middle_order,True,56.81442228873721
H Desai,345,21,288,50,8,19,16.43,56,0,0.095,2,0.095,13.66,3,1,0.143,0.048,119.79,0.201,0.028,0.174,0.719,0.486,292,53,0,242,46,0,0.846,0.154,0.0,120.66,115.22,,powerplay,14.77,19.12,13.71,1.0,Saurashtra,2024,1.1428571428571428,1.0,1,2,1,opener,aggressive_opener,True,28.33523573083096
HH Khadiwale,22,3,22,3,0,3,7.33,10,5,0.0,0,0.0,2.52,0,0,0.0,0.0,100.0,0.136,0.0,0.136,0.545,0.455,22,0,0,22,0,0,1.0,0.0,0.0,100.0,,,powerplay,8.5,5.0,7.33,0.279,Maharashtra,2015,1.3333333333333333,1.0,1,2,1,opener,anchor_opener,True,31.303502994664097
HH Pandya,387,11,297,29,19,8,35.18,86,5,0.273,0,0.0,28.99,5,3,0.455,0.273,130.3,0.162,0.064,0.098,0.594,0.364,62,169,156,71,158,68,0.16,0.437,0.403,87.32,106.96,229.41,death,38.86,28.75,27.0,1.0,Baroda,2024,3.363636363636364,3.0,3,6,3,top_order,top_order_anchor,True,86.53752189271427
HP Gawli,43,3,33,5,1,3,14.33,30,2,0.0,0,0.0,14.29,1,0,0.333,0.0,130.3,0.182,0.03,0.152,0.605,0.364,43,0,0,32,1,0,1.0,0.0,0.0,134.38,0.0,,powerplay,20.5,2.0,11.0,0.325,Madhya Pradesh,2024,2.0,2.0,2,2,2,opener,aggressive_opener,True,27.14826218658219
HP Patel,4,5,10,0,0,3,0.8,2,0,0.4,2,0.4,0.84,0,0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.6,0,0,4,0,0,10,0.0,0.0,1.0,,,40.0,death,,0.8,2.0,0.354,Gujarat,2021,10.8,11.0,10,11,11,tailender,tailender,True,0.7593967178085519
HS Desai,57,4,52,5,3,4,14.25,26,5,0.0,0,0.0,10.4,0,0,0.0,0.0,109.62,0.154,0.058,0.096,0.667,0.596,53,4,0,50,2,0,0.93,0.07,0.0,106.0,200.0,,middle,12.5,16.0,13.0,0.467,Baroda,2023,1.25,1.0,1,2,1,opener,anchor_opener,True,26.19395541022909
HS Joshi,79,3,72,7,2,2,26.33,61,3,0.333,0,0.0,30.62,1,1,0.333,0.333,109.72,0.125,0.028,0.097,0.506,0.375,12,39,28,16,42,14,0.152,0.494,0.354,75.0,92.86,200.0,death,26.33,,24.0,0.488,Vidarbha,2015,3.0,3.0,3,3,3,top_order,top_order_anchor,True,65.10305731629636
HV Patel,672,26,428,76,36,27,25.85,82,0,-0.038,2,0.077,21.47,11,3,0.423,0.115,157.01,0.262,0.084,0.178,0.774,0.428,481,176,15,316,102,10,0.716,0.262,0.022,152.22,172.55,150.0,middle,25.33,26.55,16.46,1.0,Haryana,2023,1.8888888888888888,2.0,1,7,2,opener,aggressive_opener,True,66.81573731062397
Harbhajan Singh,121,10,115,12,4,10,12.1,33,1,0.0,0,0.0,11.74,2,0,0.2,0.0,105.22,0.139,0.035,0.104,0.595,0.443,52,54,15,28,65,22,0.43,0.446,0.124,185.71,83.08,68.18,powerplay,17.67,9.71,11.5,0.979,Punjab,2018,5.7,6.0,3,9,3,top_order,middle_order,True,46.950938176358456
Hardeep Singh,1,1,7,0,0,1,1.0,1,1,0.0,0,0.0,0.0,0,0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.857,1,0,0,7,0,0,1.0,0.0,0.0,14.29,,,powerplay,,1.0,7.0,0.092,Uttar Pradesh,2019,4.0,4.0,4,4,4,top_order,middle_order,False,14.571604802042676
Hardik Tamore,24,2,29,3,0,2,12.0,19,5,0.0,0,0.0,9.9,0,0,0.0,0.0,82.76,0.103,0.0,0.103,0.5,0.483,16,8,0,15,14,0,0.667,0.333,0.0,106.67,57.14,,powerplay,19.0,5.0,14.5,0.246,Mumbai,2022,5.5,5.5,2,9,2,opener,anchor_opener,False,21.4113568531042
Hari Nishaanth,688,27,541,63,30,23,25.48,92,0,0.148,1,0.037,23.95,7,4,0.259,0.148,127.17,0.172,0.055,0.116,0.628,0.407,439,228,21,363,159,19,0.638,0.331,0.031,120.94,143.4,110.53,middle,29.8,13.14,20.04,1.0,Tamil Nadu,2023,1.4074074074074074,1.0,1,2,1,opener,aggressive_opener,True,25.85845712812303
Harishankar Reddy,30,8,26,3,1,3,3.75,16,0,0.625,2,0.25,5.57,0,0,0.0,0.0,115.38,0.154,0.038,0.115,0.6,0.423,0,0,30,0,0,26,0.0,0.0,1.0,,,115.38,death,2.0,4.0,3.25,0.608,Andhra,2023,8.88888888888889,9.0,6,10,10,tailender,tailender,True,74.64090699982091
Harmeet Singh,38,4,23,2,3,4,9.5,15,5,0.0,0,0.0,4.43,0,0,0.0,0.0,165.22,0.217,0.13,0.087,0.684,0.304,7,20,11,4,14,5,0.184,0.526,0.289,175.0,142.86,220.0,death,,9.5,5.75,0.346,Tripura,2019,6.75,7.0,5,8,7,lower_order,tailender,True,37.472590378278525
Harpreet Brar,91,13,80,6,4,8,7.0,22,0,0.385,1,0.077,6.63,0,0,0.0,0.0,113.75,0.125,0.05,0.075,0.527,0.412,1,4,86,4,20,56,0.011,0.044,0.945,25.0,20.0,153.57,death,5.75,7.56,6.15,0.833,Punjab,2023,7.4,7.0,5,9,7,lower_order,tailender,True,70.7140982697049
Harpreet Singh,1181,34,899,102,42,26,34.74,92,1,0.235,0,0.0,24.78,19,9,0.559,0.265,131.37,0.16,0.047,0.113,0.559,0.343,222,691,268,230,548,121,0.188,0.585,0.227,96.52,126.09,221.49,death,36.25,33.39,26.44,1.0,Chhattisgarh,2024,3.342857142857143,3.0,1,6,3,top_order,top_order_anchor,True,86.10043492434201
Harsh Tyagi,276,20,207,21,14,9,13.8,38,0,0.55,1,0.05,12.31,3,0,0.15,0.0,133.33,0.169,0.068,0.101,0.609,0.382,0,96,180,0,84,123,0.0,0.348,0.652,,114.29,146.34,death,13.33,14.0,10.35,1.0,Railways,2024,7.428571428571429,7.0,6,10,8,lower_order,tailender,True,69.41525530162144
Harsh Vikram Singh,10,4,17,1,0,1,2.5,7,1,0.75,0,0.0,3.0,0,0,0.0,0.0,58.82,0.059,0.0,0.059,0.4,0.588,0,0,10,0,0,17,0.0,0.0,1.0,,,58.82,death,,2.5,4.25,0.321,Bihar,2022,8.25,8.5,7,9,9,tailender,tailender,True,0.8438281477743889
Harshit Bisht,39,2,42,4,2,2,19.5,28,11,0.0,0,0.0,12.02,0,0,0.0,0.0,92.86,0.143,0.048,0.095,0.718,0.595,30,9,0,31,11,0,0.769,0.231,0.0,96.77,81.82,,powerplay,11.0,28.0,21.0,0.3,Uttarakhand,2019,1.5,1.5,1,2,1,opener,anchor_opener,False,23.291230329695154
Harshit Rathod,1,1,2,0,0,0,1.0,1,1,1.0,0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.5,0,0,1,0,0,2,0.0,0.0,1.0,,,50.0,death,,1.0,2.0,0.071,Odisha,2021,9.0,9.0,9,9,9,tailender,tailender,False,1.0194809563975211
Hem Chetri,22,4,19,3,0,4,5.5,15,0,0.0,2,0.5,7.14,0,0,0.0,0.0,115.79,0.158,0.0,0.158,0.545,0.421,0,0,22,0,5,14,0.0,0.0,1.0,,0.0,157.14,death,11.0,0.0,4.75,0.329,Nagaland,2021,6.2,6.0,5,7,6,middle_order,middle_order,True,74.50376597468077
Hemang Patel,71,8,83,5,2,6,8.88,20,2,0.25,0,0.0,7.0,0,0,0.0,0.0,85.54,0.084,0.024,0.06,0.451,0.53,0,35,36,0,51,32,0.0,0.493,0.507,,68.63,112.5,death,3.5,10.67,10.38,0.846,Gujarat,2023,7.625,7.5,6,9,7,lower_order,tailender,True,38.913879116362295
Henan Nazir,58,4,67,3,0,3,14.5,31,2,0.25,0,0.0,14.34,1,0,0.25,0.0,86.57,0.045,0.0,0.045,0.207,0.343,2,45,11,4,51,12,0.034,0.776,0.19,50.0,88.24,91.67,death,18.33,3.0,16.75,0.529,Jammu & Kashmir,2023,4.0,3.0,3,7,3,top_order,middle_order,True,35.98646191789609
Henry Renthlei,2,1,8,0,0,1,2.0,2,2,0.0,0,0.0,0.0,0,0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.75,0,2,0,0,8,0,0.0,1.0,0.0,,25.0,,middle,,2.0,8.0,0.096,Mizoram,2019,6.0,6.0,6,6,6,middle_order,middle_order,False,18.41881586944871
Heramb Parab,37,4,20,2,3,2,9.25,22,0,0.5,1,0.25,9.64,0,0,0.0,0.0,185.0,0.25,0.15,0.1,0.703,0.25,4,7,26,1,3,16,0.108,0.189,0.703,400.0,233.33,162.5,powerplay,,9.25,5.0,0.333,Goa,2019,8.25,9.5,4,10,10,tailender,tailender,True,43.75135662739535
Het Patel,153,8,167,13,2,5,19.12,45,2,0.375,0,0.0,17.34,2,0,0.25,0.0,91.62,0.09,0.012,0.078,0.418,0.401,20,85,48,21,113,33,0.131,0.556,0.314,95.24,75.22,145.45,death,24.8,9.67,20.88,1.0,Gujarat,2022,4.5,4.0,4,7,4,top_order,middle_order,True,49.67280201493188
Himalay Agarwal,218,16,226,12,7,16,13.62,34,0,0.0,4,0.25,12.08,1,0,0.062,0.0,96.46,0.084,0.031,0.053,0.413,0.412,29,145,44,37,157,32,0.133,0.665,0.202,78.38,92.36,137.5,death,8.71,17.44,14.12,1.0,Hyderabad (India),2021,4.375,4.0,2,7,4,top_order,middle_order,True,37.29565328974246
Himalaya Barad,115,8,109,14,1,7,14.38,38,2,0.125,0,0.0,13.04,1,0,0.125,0.0,105.5,0.138,0.009,0.128,0.539,0.477,85,17,13,69,22,18,0.739,0.148,0.113,123.19,77.27,72.22,powerplay,18.17,3.0,13.62,0.954,Saurashtra,2021,3.0,1.0,1,7,1,opener,aggressive_opener,True,28.62266073878896
Himanshu Bisht,54,8,55,5,1,6,6.75,15,0,0.25,1,0.125,5.2,0,0,0.0,0.0,98.18,0.109,0.018,0.091,0.481,0.455,0,14,40,0,16,39,0.0,0.259,0.741,,87.5,102.56,death,10.0,6.29,6.88,0.729,Uttarakhand,2020,7.6,7.5,7,9,7,lower_order,tailender,True,41.051580096900366
Himanshu Chawla,67,4,40,7,3,4,16.75,54,1,0.0,0,0.0,24.96,1,1,0.25,0.25,167.5,0.25,0.075,0.175,0.687,0.3,22,40,5,8,27,5,0.328,0.597,0.075,275.0,148.15,100.0,powerplay,7.0,20.0,10.0,0.417,Punjab,2015,5.5,6.0,3,7,6,middle_order,middle_order,True,48.436108440494735
Himanshu Rana,808,32,658,93,19,30,25.25,87,0,0.062,1,0.031,24.3,9,7,0.281,0.219,122.8,0.17,0.029,0.141,0.601,0.409,320,398,90,275,337,46,0.396,0.493,0.111,116.36,118.1,195.65,death,28.0,22.13,20.56,1.0,Haryana,2023,2.90625,3.0,1,5,3,top_order,top_order_anchor,True,70.08134715538881
Himanshu Sangwan,10,4,8,0,1,2,2.5,8,0,0.5,1,0.25,3.7,0,0,0.0,0.0,125.0,0.125,0.125,0.0,0.6,0.5,0,1,9,0,3,5,0.0,0.1,0.9,,33.33,180.0,death,8.0,0.67,2.0,0.283,Railways,2021,10.0,10.0,9,11,10,tailender,tailender,True,59.4540042432371
Himmat Singh,599,33,472,48,26,22,18.15,53,0,0.333,3,0.091,14.73,5,3,0.152,0.091,126.91,0.157,0.055,0.102,0.581,0.358,85,296,218,63,275,134,0.142,0.494,0.364,134.92,107.64,162.69,death,23.28,12.0,14.3,1.0,Delhi,2024,4.636363636363637,5.0,1,8,5,middle_order,finisher,True,42.74752294972014
Hiten Dalal,516,23,363,50,32,21,22.43,81,0,0.087,3,0.13,22.38,7,3,0.304,0.13,142.15,0.226,0.088,0.138,0.76,0.46,315,201,0,245,118,0,0.61,0.39,0.0,128.57,170.34,,middle,25.73,16.25,15.78,1.0,Delhi,2022,1.8695652173913044,2.0,1,2,2,opener,aggressive_opener,True,30.451437903025564
Hiten Mehra,14,3,18,0,1,3,4.67,10,2,0.0,0,0.0,4.62,0,0,0.0,0.0,77.78,0.056,0.056,0.0,0.429,0.5,0,14,0,0,18,0,0.0,1.0,0.0,,77.78,,middle,2.0,10.0,6.0,0.262,Gujarat,2018,5.666666666666667,6.0,4,7,4,top_order,middle_order,True,24.16780496355626
Hitesh Kadam,4,1,3,0,0,0,4.0,4,4,1.0,0,0.0,0.0,0,0,0.0,0.0,133.33,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,3,0.0,0.0,1.0,,,133.33,death,,4.0,3.0,0.075,Railways,2017,10.0,10.0,10,10,10,tailender,tailender,False,62.08903561680631
Hmar Zothanchhunga,0,1,5,0,0,1,0.0,0,0,0.0,1,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0,0,0,0,5,0,,,,,0.0,,unknown,,0.0,5.0,0.083,Mizoram,2020,6.0,6.0,6,6,6,middle_order,middle_order,False,20.13556115487721
Hokaito Zhimomi,119,15,155,8,3,11,7.93,25,0,0.267,2,0.133,7.8,0,0,0.0,0.0,76.77,0.071,0.019,0.052,0.42,0.535,1,35,83,3,86,66,0.008,0.294,0.697,33.33,40.7,125.76,death,13.67,6.5,10.33,1.0,Nagaland,2023,5.6,5.0,4,8,5,middle_order,middle_order,True,32.28667959746788
Homendro Kabrambam,53,10,80,1,3,8,5.3,18,1,0.2,0,0.0,5.4,0,0,0.0,0.0,66.25,0.05,0.038,0.012,0.415,0.612,5,13,35,9,28,43,0.094,0.245,0.66,55.56,46.43,81.4,death,,5.3,8.0,0.833,Manipur,2021,7.363636363636363,8.0,4,9,8,lower_order,tailender,True,10.888124714598662
Hrishi Raj,1,1,1,0,0,1,1.0,1,1,0.0,0,0.0,0.0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0.0,0.0,1.0,,,100.0,death,,1.0,1.0,0.067,Bihar,2021,9.0,9.0,9,9,9,tailender,tailender,False,41.51740200857325
Hrishikesh Tamuli,21,3,33,0,0,2,7.0,11,5,0.333,0,0.0,3.46,0,0,0.0,0.0,63.64,0.0,0.0,0.0,0.0,0.424,5,5,11,10,13,10,0.238,0.238,0.524,50.0,38.46,110.0,death,,7.0,11.0,0.325,Assam,2019,5.0,6.0,2,7,2,opener,anchor_opener,True,35.776921925777735
Hrithik Kanojia,8,3,18,1,0,3,2.67,5,1,0.0,0,0.0,2.08,0,0,0.0,0.0,44.44,0.056,0.0,0.056,0.5,0.722,3,0,5,14,0,4,0.375,0.0,0.625,21.43,,125.0,death,,2.67,6.0,0.262,Manipur,2018,2.6666666666666665,2.0,2,4,2,opener,anchor_opener,True,18.43391586132263
I Sharma,0,1,1,0,0,0,0.0,0,0,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0,0,0,0,0,1,,,,,,0.0,unknown,,0.0,1.0,0.067,Delhi,2018,11.0,11.0,11,11,11,tailender,tailender,False,4.575844000733318
IC Pandey,56,14,49,2,4,10,4.0,18,0,0.286,2,0.143,5.86,0,0,0.0,0.0,114.29,0.122,0.082,0.041,0.571,0.469,2,12,42,2,9,38,0.036,0.214,0.75,100.0,133.33,110.53,middle,4.8,3.56,3.5,0.704,Madhya Pradesh,2020,7.857142857142857,9.0,3,10,9,tailender,tailender,True,63.67568378251705
IC Porel,2,1,5,0,0,0,2.0,2,2,1.0,0,0.0,0.0,0,0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.6,0,0,2,0,0,5,0.0,0.0,1.0,,,40.0,death,,2.0,5.0,0.083,Bengal,2018,11.0,11.0,11,11,11,tailender,tailender,False,0.7593967178085519
IK Pathan,246,13,158,18,12,6,18.92,49,1,0.538,0,0.0,14.57,2,0,0.154,0.0,155.7,0.19,0.076,0.114,0.585,0.234,0,64,182,0,65,93,0.0,0.26,0.74,,98.46,195.7,death,21.71,15.67,12.15,1.0,Baroda,2018,6.0,6.0,4,7,6,middle_order,finisher,True,58.39109049807083
IR Jaggi,596,19,418,68,14,14,31.37,75,0,0.263,2,0.105,24.92,10,4,0.526,0.211,142.58,0.196,0.033,0.163,0.597,0.28,113,355,128,92,235,91,0.19,0.596,0.215,122.83,151.06,140.66,middle,28.17,36.86,22.0,1.0,Jharkhand,2021,4.0,5.0,1,7,5,middle_order,middle_order,True,94.137927447319
Ian Dev Singh,373,13,350,46,4,10,28.69,67,2,0.231,0,0.0,19.31,7,1,0.538,0.077,106.57,0.143,0.011,0.131,0.558,0.42,114,177,82,128,164,58,0.306,0.475,0.22,89.06,107.93,141.38,death,30.5,28.36,26.92,1.0,Jammu & Kashmir,2021,3.076923076923077,3.0,1,5,4,top_order,top_order_anchor,True,82.99038324004228
Imliwati Lemtur,101,14,105,2,6,11,7.21,17,0,0.214,2,0.143,6.15,0,0,0.0,0.0,96.19,0.076,0.057,0.019,0.436,0.438,0,19,82,0,41,64,0.0,0.188,0.812,,46.34,128.12,death,6.0,7.31,7.5,0.938,Nagaland,2023,7.5,7.5,6,9,7,lower_order,tailender,True,61.18554723341235
Inakato Zhimomi,0,1,2,0,0,1,0.0,0,0,0.0,1,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0,0,0,0,2,0,,,,,0.0,,unknown,,0.0,2.0,0.071,Nagaland,2018,9.0,9.0,9,9,9,tailender,tailender,False,20.13556115487721
Indiya Toku,1,1,6,0,0,1,1.0,1,1,0.0,0,0.0,0.0,0,0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.833,0,1,0,0,6,0,0.0,1.0,0.0,,16.67,,middle,,1.0,6.0,0.088,Arunachal Pradesh,2021,5.0,5.0,5,5,5,middle_order,middle_order,False,18.41881586944871
Iqbal Abdulla,237,14,236,24,5,10,16.93,46,3,0.286,0,0.0,12.59,3,0,0.214,0.0,100.42,0.123,0.021,0.102,0.532,0.466,52,119,66,47,142,47,0.219,0.502,0.278,110.64,83.8,140.43,death,16.0,17.0,16.86,1.0,Sikkim,2021,4.928571428571429,4.0,4,8,4,top_order,middle_order,True,59.824519237585406
Iqlas Naha,20,3,19,0,1,3,6.67,15,0,0.0,1,0.333,7.64,0,0,0.0,0.0,105.26,0.053,0.053,0.0,0.3,0.368,0,5,15,0,6,13,0.0,0.25,0.75,,83.33,115.38,death,5.0,7.5,6.33,0.267,Puducherry,2021,6.333333333333333,7.0,5,7,7,lower_order,tailender,True,82.47090918114381
Ishaan Gadekar,172,6,106,20,9,6,28.67,58,9,0.0,0,0.0,19.79,3,1,0.5,0.167,162.26,0.274,0.085,0.189,0.779,0.443,131,41,0,92,14,0,0.762,0.238,0.0,142.39,292.86,,middle,39.33,18.0,17.67,0.817,Goa,2023,1.0,1.0,1,1,1,opener,aggressive_opener,True,66.20182263197042
Ishan Kishan,767,23,531,87,33,21,33.35,113,0,0.087,3,0.13,29.95,11,5,0.478,0.217,144.44,0.226,0.062,0.164,0.712,0.397,410,317,40,326,186,19,0.535,0.413,0.052,125.77,170.43,210.53,death,39.67,21.5,23.09,1.0,Jharkhand,2020,1.7916666666666667,2.0,1,2,2,opener,aggressive_opener,True,92.17341627558628
Ishwar Chaudhary,45,13,60,3,1,8,3.46,14,0,0.385,3,0.231,4.75,0,0,0.0,0.0,75.0,0.067,0.017,0.05,0.4,0.533,0,2,43,0,3,57,0.0,0.044,0.956,,66.67,75.44,death,,3.46,4.62,0.75,Sikkim,2019,8.692307692307692,9.0,6,11,9,tailender,tailender,True,0.524035807177647
J Anderson,45,3,65,6,0,3,15.0,21,8,0.0,0,0.0,6.56,0,0,0.0,0.0,69.23,0.092,0.0,0.092,0.533,0.615,32,13,0,41,24,0,0.711,0.289,0.0,78.05,54.17,,powerplay,,15.0,21.67,0.458,Mizoram,2023,3.0,3.0,3,3,3,top_order,middle_order,True,16.977860014960257
J Biakthanpuia,7,1,21,0,0,1,7.0,7,7,0.0,0,0.0,0.0,0,0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.667,0,7,0,0,21,0,0.0,1.0,0.0,,33.33,,middle,,7.0,21.0,0.15,Mizoram,2023,5.0,5.0,5,5,5,middle_order,middle_order,False,30.094338961923068
J Butte,2,1,4,0,0,1,2.0,2,2,0.0,0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.5,0,0,2,0,0,4,0.0,0.0,1.0,,,50.0,death,,2.0,4.0,0.079,Chhattisgarh,2023,11.0,11.0,11,11,11,tailender,tailender,False,1.0194809563975211
J Kousik,44,3,39,2,1,1,14.67,41,1,0.667,0,0.0,22.81,1,0,0.333,0.0,112.82,0.077,0.026,0.051,0.318,0.282,0,17,27,0,17,22,0.0,0.386,0.614,,100.0,122.73,death,14.67,,13.0,0.35,Tamil Nadu,2018,8.0,8.0,7,9,7,lower_order,tailender,True,69.84179935690113
J Mallikarjun,61,4,63,3,3,3,15.25,23,3,0.25,0,0.0,9.32,0,0,0.0,0.0,96.83,0.095,0.048,0.048,0.492,0.46,3,33,25,14,32,17,0.049,0.541,0.41,21.43,103.12,147.06,death,22.5,8.0,15.75,0.512,Hyderabad (India),2019,4.5,5.5,1,6,6,middle_order,middle_order,True,34.25593464700068
J Suchith,204,20,153,17,7,10,10.2,34,0,0.5,2,0.1,8.67,1,0,0.05,0.0,133.33,0.157,0.046,0.111,0.539,0.307,0,41,163,0,45,108,0.0,0.201,0.799,,91.11,150.93,death,10.23,10.14,7.65,1.0,Karnataka,2021,7.25,7.0,6,9,7,lower_order,tailender,True,70.03214334825213
J Syed Mohammad,146,5,141,13,4,3,29.2,42,13,0.4,0,0.0,13.63,3,0,0.6,0.0,103.55,0.121,0.028,0.092,0.521,0.418,2,103,41,3,104,34,0.014,0.705,0.281,66.67,99.04,120.59,death,26.0,31.33,28.2,0.812,Assam,2015,5.8,6.0,4,7,7,lower_order,tailender,True,78.32379839596153
J Yadav,54,12,51,1,2,7,4.5,19,0,0.417,4,0.333,6.53,0,0,0.0,0.0,105.88,0.059,0.039,0.02,0.296,0.275,0,13,41,0,15,36,0.0,0.241,0.759,,86.67,113.89,death,1.5,5.1,4.25,0.712,Haryana,2022,8.214285714285714,8.0,5,9,8,lower_order,tailender,True,66.12054261957961
JD Unadkat,282,23,180,19,17,10,12.26,58,0,0.565,0,0.0,14.81,4,1,0.174,0.043,156.67,0.2,0.094,0.106,0.631,0.306,0,66,216,0,57,123,0.0,0.234,0.766,,115.79,175.61,death,9.92,14.82,7.83,1.0,Saurashtra,2024,7.576923076923077,8.0,5,10,9,tailender,lower_order_hitter,True,57.860586407421685
JH Saroha,15,2,7,1,1,1,7.5,14,1,0.5,0,0.0,9.19,0,0,0.0,0.0,214.29,0.286,0.143,0.143,0.667,0.143,0,0,15,0,0,7,0.0,0.0,1.0,,,214.29,death,,7.5,3.5,0.154,Haryana,2019,7.0,7.0,7,7,7,lower_order,tailender,False,62.86452127997138
