player,team,season_start_year,batting_strength_score,bowling_strength_score,allrounder_index,is_batting_allrounder,is_bowling_allrounder,allrounder_role,total_runs,total_matches,total_balls_faced,avg_runs,strike_rate,batting_role,total_wickets,total_matches_bowled,total_balls_bowled,avg_wickets_per_match,economy_rate,bowling_role
SB Joshi,Royal Challengers Bangalore,2007.0,16.05,53.34,34.7,False,False,pure_bowler,6.0,2.0,14.0,3.0,42.86,tailender,1.0,4.0,55.0,0.25,8.95,part_time_bowler
SB Styris,Deccan Chargers,2011.0,42.06,71.96,57.01,False,False,utility_player,131.0,10.0,133.0,13.1,98.5,middle_order,8.0,11.0,216.0,0.727,7.72,death_bowler
SB Wagh,Pune Warriors,2011.0,23.68,69.44,46.56,False,False,pure_bowler,2.0,2.0,3.0,1.0,66.67,tailender,5.0,8.0,102.0,0.625,8.65,powerplay_bowler
SC Ganguly,Kolkata Knight Riders,2012.0,57.06,61.08,59.07,False,True,bowling_allrounder,1349.0,56.0,1263.0,24.09,106.81,finisher,10.0,20.0,276.0,0.5,8.04,middle_overs_bowler
SC Kuggeleijn,Chennai Super Kings,2019.0,0.0,80.3,40.15,False,False,pure_bowler,,,,,,,2.0,2.0,48.0,1.0,8.88,part_time_bowler
SD Chitnis,Kings XI Punjab,2012.0,47.02,77.12,62.07,False,False,utility_player,99.0,8.0,89.0,12.38,111.24,middle_order,2.0,2.0,36.0,1.0,10.33,part_time_bowler
SD Hope,Delhi Capitals,2024.0,69.61,0.0,34.8,False,False,pure_batter,183.0,9.0,122.0,20.33,150.0,top_order_aggressor,,,,,,
SD Lad,Mumbai Indians,2019.0,45.63,0.0,22.82,False,False,pure_batter,15.0,1.0,13.0,15.0,115.38,anchor_opener,,,,,,
SE Bond,Kolkata Knight Riders,2009.0,17.85,86.55,52.2,False,False,pure_bowler,1.0,1.0,2.0,1.0,50.0,tailender,9.0,8.0,186.0,1.125,7.26,powerplay_bowler
SE Marsh,Kings XI Punjab,2017.0,75.26,0.0,37.63,False,False,pure_batter,2489.0,69.0,1871.0,36.07,133.03,top_order_anchor,,,,,,
SE Rutherford,Gujarat Titans,2026.0,66.14,46.61,56.38,False,False,pure_batter,499.0,24.0,340.0,20.79,146.76,finisher,1.0,6.0,41.0,0.167,8.78,part_time_bowler
SH Johnson,Gujarat Titans,2025.0,26.02,64.23,45.12,False,False,pure_bowler,8.0,5.0,11.0,1.6,72.73,tailender,5.0,9.0,164.0,0.556,10.57,powerplay_bowler
SJ Srivastava,Kings XI Punjab,2011.0,35.44,80.34,57.89,False,False,pure_bowler,5.0,4.0,5.0,1.25,100.0,tailender,14.0,14.0,282.0,1.0,9.45,powerplay_bowler
SK Raina,Chennai Super Kings,2021.0,69.13,57.36,63.24,True,False,batting_allrounder,5536.0,200.0,4046.0,27.68,136.83,top_order_anchor,25.0,69.0,908.0,0.362,7.53,middle_overs_bowler
SK Rasheed,Chennai Super Kings,2025.0,44.42,0.0,22.21,False,False,pure_batter,71.0,5.0,63.0,14.2,112.7,anchor_opener,,,,,,
SK Trivedi,Rajasthan Royals,2013.0,25.97,75.42,50.7,False,False,pure_bowler,42.0,14.0,59.0,3.0,71.19,tailender,65.0,75.0,1506.0,0.867,7.75,middle_overs_bowler
SK Warne,Rajasthan Royals,2011.0,35.79,82.94,59.36,False,True,bowling_allrounder,198.0,29.0,214.0,6.83,92.52,tailender,57.0,54.0,1194.0,1.056,7.36,middle_overs_bowler
SL Malinga,Mumbai Indians,2017.0,32.51,95.92,64.22,False,False,utility_player,88.0,22.0,99.0,4.0,88.89,tailender,170.0,122.0,2827.0,1.393,7.4,death_bowler
SM Boland,Rising Pune Supergiants,2016.0,0.0,80.13,40.06,False,False,pure_bowler,,,,,,,2.0,2.0,42.0,1.0,8.0,part_time_bowler
