player,total_wickets,total_matches_bowled,total_balls_bowled,total_runs_conceded,total_wides,total_noballs,economy_rate,bowling_average,bowling_strike_rate,avg_wickets_per_match,bowling_consistency,two_plus_hauls,two_plus_haul_rate,bowling_dot_rate,wide_rate,noball_rate,pp_runs_conceded,mid_runs_conceded,death_runs_conceded,pp_balls_bowled,mid_balls_bowled,death_balls_bowled,pp_economy,mid_economy,death_economy,pp_workload_pct,mid_workload_pct,death_workload_pct,dominant_phase,bowling_role,wickets_in_wins,wickets_in_losses,balls_bowled_per_match,sample_reliability_score,team,season_start_year,eligible_for_model
AB Agarkar,29,42,782,1174,36,2,9.01,40.48,26.97,0.69,0.84,8,0.19,0.325,0.857,0.048,295,568,311,180,420,182,9.83,8.11,10.25,0.23,0.537,0.233,middle,middle_overs_bowler,1.33,0.33,18.62,1.0,Kolkata Knight Riders,2013,True
AB Dinda,69,75,1516,2103,59,14,8.32,30.48,21.97,0.92,0.96,18,0.24,0.414,0.787,0.187,1010,326,767,810,294,412,7.48,6.65,11.17,0.534,0.194,0.272,middle,powerplay_bowler,1.24,0.72,20.21,1.0,Kolkata Knight Riders,2017,True
AB McDonald,11,10,186,263,2,0,8.48,23.91,16.91,1.1,0.88,4,0.4,0.269,0.2,0.0,64,148,51,42,114,30,9.14,7.79,10.2,0.226,0.613,0.161,middle,middle_overs_bowler,1.4,0.8,18.6,1.0,Delhi Daredevils,2013,True
AC Gilchrist,1,1,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,,,0.0,0.0,0.0,1.0,death,part_time_bowler,1.0,,1.0,0.067,Kings XI Punjab,2013,False
AC Thomas,14,15,315,416,10,2,7.92,29.71,22.5,0.933,0.96,4,0.267,0.4,0.667,0.133,196,27,193,180,24,111,6.53,6.75,10.43,0.571,0.076,0.352,powerplay,death_bowler,2.0,0.67,21.0,1.0,Pune Warriors,2012,True
AC Voges,0,7,54,76,2,0,8.44,,,0.0,0.0,0,0.0,0.278,0.286,0.0,26,45,5,12,36,6,13.0,7.5,5.0,0.222,0.667,0.111,death,part_time_bowler,0.0,0.0,7.71,0.662,Rajasthan Royals,2009,True
AD Mascarenhas,19,13,308,365,2,0,7.11,19.21,16.21,1.462,1.45,6,0.462,0.403,0.154,0.0,206,117,42,168,114,26,7.36,6.16,9.69,0.545,0.37,0.084,middle,powerplay_bowler,2.5,1.0,23.69,1.0,Rajasthan Royals,2013,True
AD Mathews,27,44,791,1095,15,1,8.31,40.56,29.3,0.614,0.87,4,0.091,0.283,0.341,0.023,185,685,225,126,510,155,8.81,8.06,8.71,0.159,0.645,0.196,middle,middle_overs_bowler,1.07,0.4,17.98,1.0,Pune Warriors,2017,True
AD Russell,123,121,1806,2909,66,13,9.66,23.65,14.68,1.017,1.09,33,0.273,0.339,0.545,0.107,584,1259,1066,407,813,586,8.61,9.29,10.91,0.225,0.45,0.324,powerplay,death_bowler,1.26,0.79,14.93,1.0,Kolkata Knight Riders,2025,True
AF Milne,7,10,207,339,9,1,9.83,48.43,29.57,0.7,0.82,2,0.2,0.333,0.9,0.1,158,90,91,96,54,57,9.88,10.0,9.58,0.464,0.261,0.275,death,powerplay_bowler,0.67,0.71,20.7,1.0,Royal Challengers Bangalore,2022,True
AG Murtaza,9,12,264,322,5,0,7.32,35.78,29.33,0.75,1.06,3,0.25,0.383,0.417,0.0,52,216,54,78,162,24,4.0,8.0,13.5,0.295,0.614,0.091,powerplay,middle_overs_bowler,1.29,0.0,22.0,1.0,Mumbai Indians,2013,True
AJ Finch,1,5,43,67,1,0,9.35,67.0,43.0,0.2,0.45,0,0.0,0.302,0.2,0.0,3,58,6,6,30,7,3.0,11.6,5.14,0.14,0.698,0.163,powerplay,part_time_bowler,0.0,0.25,8.6,0.492,Pune Warriors,2013,True
AJ Hosein,2,3,60,87,0,2,8.7,43.5,30.0,0.667,0.58,0,0.0,0.3,0.0,0.667,56,31,0,36,24,0,9.33,7.75,,0.6,0.4,0.0,middle,powerplay_bowler,0.67,,20.0,0.438,Chennai Super Kings,2026,False
AJ Tye,42,30,684,1005,27,3,8.82,23.93,16.29,1.4,1.45,13,0.433,0.304,0.9,0.1,260,282,463,192,204,288,8.12,8.29,9.65,0.281,0.298,0.421,powerplay,death_bowler,1.62,1.24,22.8,1.0,Kings XI Punjab,2022,True
AK Markram,6,21,203,303,3,1,8.96,50.5,33.83,0.286,0.56,1,0.048,0.251,0.143,0.048,59,228,16,42,150,11,8.43,9.12,8.73,0.207,0.739,0.054,powerplay,middle_overs_bowler,0.4,0.25,9.67,1.0,Sunrisers Hyderabad,2026,True
AL Menaria,3,12,110,144,3,0,7.85,48.0,36.67,0.25,0.62,1,0.083,0.364,0.25,0.0,55,41,48,48,42,20,6.88,5.86,14.4,0.436,0.382,0.182,middle,powerplay_bowler,0.5,0.12,9.17,0.958,Rajasthan Royals,2012,True
AM Ghazanfar,4,3,60,104,2,0,10.4,26.0,15.0,1.333,1.15,2,0.667,0.283,0.667,0.0,40,64,0,24,36,0,10.0,10.67,,0.4,0.6,0.0,powerplay,powerplay_bowler,0.0,2.0,20.0,0.438,Mumbai Indians,2026,False
AM Nayar,9,19,229,323,10,0,8.46,35.89,25.44,0.474,0.77,1,0.053,0.301,0.526,0.0,10,304,9,6,217,6,10.0,8.41,9.0,0.026,0.948,0.026,middle,middle_overs_bowler,0.75,0.27,12.05,1.0,Mumbai Indians,2013,True
AM Rahane,1,1,6,5,0,0,5.0,5.0,6.0,1.0,0.0,0,0.0,0.333,0.0,0.0,0,5,0,0,6,0,,5.0,,0.0,1.0,0.0,middle,part_time_bowler,1.0,,6.0,0.088,Mumbai Indians,2009,False
AM Salvi,7,7,150,205,6,0,8.2,29.29,21.43,1.0,0.82,2,0.286,0.38,0.857,0.0,79,80,46,66,54,30,7.18,8.89,9.2,0.44,0.36,0.2,powerplay,powerplay_bowler,1.0,1.0,21.43,0.938,Delhi Daredevils,2011,True
AN Ahmed,12,17,344,515,13,5,8.98,42.92,28.67,0.706,0.77,3,0.176,0.349,0.765,0.294,187,151,177,138,114,92,8.13,7.95,11.54,0.401,0.331,0.267,middle,powerplay_bowler,0.91,0.33,20.24,1.0,Mumbai Indians,2015,True
AP Dole,5,3,66,114,6,1,10.36,22.8,13.2,1.667,0.58,2,0.667,0.303,2.0,0.333,62,30,22,30,24,12,12.4,7.5,11.0,0.455,0.364,0.182,middle,powerplay_bowler,2.0,1.0,22.0,0.462,Rajasthan Royals,2009,False
AR Patel,131,164,3405,4252,52,0,7.49,32.46,25.99,0.799,0.82,31,0.189,0.326,0.317,0.0,849,2851,552,642,2393,370,7.93,7.15,8.95,0.189,0.703,0.109,middle,middle_overs_bowler,1.01,0.62,20.76,1.0,Delhi Capitals,2026,True
AS Joseph,21,22,434,707,19,1,9.77,33.67,20.67,0.955,1.36,5,0.227,0.373,0.864,0.045,182,310,215,108,198,128,10.11,9.39,10.08,0.249,0.456,0.295,middle,middle_overs_bowler,1.29,0.38,19.73,1.0,Gujarat Titans,2024,True
AS Rajpoot,24,29,529,844,28,10,9.57,35.17,22.04,0.828,1.14,5,0.172,0.363,0.966,0.345,419,222,203,270,157,102,9.31,8.48,11.94,0.51,0.297,0.193,middle,powerplay_bowler,0.67,0.94,18.24,1.0,Kings XI Punjab,2020,True
AS Raut,0,5,30,45,0,0,9.0,,,0.0,0.0,0,0.0,0.2,0.0,0.0,0,32,13,0,18,12,,10.67,6.5,0.0,0.6,0.4,death,part_time_bowler,0.0,0.0,6.0,0.438,Rajasthan Royals,2011,True
AS Roy,10,14,221,303,18,0,8.23,30.3,22.1,0.714,0.73,2,0.143,0.353,1.286,0.0,122,165,16,78,132,11,9.38,7.5,8.73,0.353,0.597,0.05,middle,powerplay_bowler,0.8,0.67,15.79,1.0,Kolkata Knight Riders,2026,True
AU Rashid,2,3,60,91,0,0,9.1,45.5,30.0,0.667,1.15,1,0.333,0.333,0.0,0.0,0,81,10,0,54,6,,9.0,10.0,0.0,0.9,0.1,middle,middle_overs_bowler,,0.67,20.0,0.438,Sunrisers Hyderabad,2023,False
AUK Pathan,0,3,39,63,2,0,9.69,,,0.0,0.0,0,0.0,0.231,0.667,0.0,0,35,28,0,24,15,,8.75,11.2,0.0,0.615,0.385,middle,part_time_bowler,0.0,0.0,13.0,0.35,Royal Challengers Bangalore,2012,False
Abdul Samad,2,7,57,125,1,0,13.16,62.5,28.5,0.286,0.49,0,0.0,0.211,0.143,0.0,0,93,32,0,48,9,,11.62,21.33,0.0,0.842,0.158,middle,part_time_bowler,0.5,0.2,8.14,0.675,Sunrisers Hyderabad,2026,True
Abdur Razzak,0,1,12,29,1,1,14.5,,,0.0,0.0,0,0.0,0.417,1.0,1.0,0,29,0,0,12,0,,14.5,,0.0,1.0,0.0,middle,part_time_bowler,,0.0,12.0,0.112,Royal Challengers Bangalore,2007,False
Abhinandan Singh,3,3,58,122,2,0,12.62,40.67,19.33,1.0,1.0,1,0.333,0.259,0.667,0.0,69,37,16,24,24,10,17.25,9.25,9.6,0.414,0.414,0.172,middle,part_time_bowler,1.5,0.0,19.33,0.429,Royal Challengers Bengaluru,2026,False
Abhishek Sharma,11,34,347,531,8,1,9.18,48.27,31.55,0.324,0.64,3,0.088,0.268,0.235,0.029,114,357,60,72,252,23,9.5,8.5,15.65,0.207,0.726,0.066,middle,middle_overs_bowler,0.4,0.26,10.21,1.0,Sunrisers Hyderabad,2026,True
Akash Deep,10,14,278,554,20,4,11.96,55.4,27.8,0.714,0.91,2,0.143,0.32,1.429,0.286,225,212,117,120,114,44,11.25,11.16,15.95,0.432,0.41,0.158,middle,powerplay_bowler,1.0,0.33,19.86,1.0,Royal Challengers Bangalore,2025,True
Akash Madhwal,24,17,352,598,17,7,10.19,24.92,14.67,1.412,1.62,6,0.353,0.298,1.0,0.412,105,233,260,78,138,136,8.08,10.13,11.47,0.222,0.392,0.386,powerplay,death_bowler,1.89,0.88,20.71,1.0,Mumbai Indians,2025,True
Akash Singh,9,10,205,326,3,0,9.54,36.22,22.78,0.9,0.74,2,0.2,0.356,0.3,0.0,223,76,27,145,48,12,9.23,9.5,13.5,0.707,0.234,0.059,powerplay,powerplay_bowler,0.8,1.0,20.5,1.0,Chennai Super Kings,2025,True
Aman Hakim Khan,0,1,6,13,0,0,13.0,,,0.0,0.0,0,0.0,0.167,0.0,0.0,0,13,0,0,6,0,,13.0,,0.0,1.0,0.0,middle,part_time_bowler,,0.0,6.0,0.088,Kolkata Knight Riders,2022,False
Anand Rajan,8,8,149,206,12,1,8.3,25.75,18.62,1.0,0.93,1,0.125,0.383,1.5,0.125,47,79,80,42,66,41,6.71,7.18,11.71,0.282,0.443,0.275,powerplay,middle_overs_bowler,1.25,0.75,18.62,1.0,Deccan Chargers,2013,True
Ankit Sharma,12,21,367,453,8,0,7.41,37.75,30.58,0.571,0.68,2,0.095,0.373,0.381,0.0,152,252,49,144,198,25,6.33,7.64,11.76,0.392,0.54,0.068,powerplay,powerplay_bowler,0.75,0.53,17.48,1.0,Deccan Chargers,2018,True
