player,team,season_start_year,batting_strength_score,bowling_strength_score,allrounder_index,is_batting_allrounder,is_bowling_allrounder,allrounder_role,total_runs,total_matches,total_balls_faced,avg_runs,strike_rate,batting_role,total_wickets,total_matches_bowled,total_balls_bowled,avg_wickets_per_match,economy_rate,bowling_role,ml_suitability_score
Basant Mohanty,Odisha,2015.0,0.0,75.06,37.53,False,False,pure_bowler,,,,,,,4.0,5.0,114.0,0.8,8.11,death_bowler,1.1678325683887525
Basil Thampi,Kerala,2019.0,43.6,82.24,62.92,False,False,pure_bowler,35.0,9.0,29.0,3.89,120.69,tailender,33.0,32.0,677.0,1.031,8.42,death_bowler,96.35226042419384
Bavanaka Sandeep,Hyderabad (India),2021.0,60.11,56.63,58.37,False,False,utility_player,696.0,29.0,589.0,24.0,118.17,finisher,7.0,21.0,264.0,0.333,6.75,middle_overs_bowler,4.46818262102994
Benoy Upreti,Sikkim,2019.0,14.74,47.12,30.93,False,False,pure_batter,8.0,2.0,21.0,4.0,38.1,middle_order,0.0,1.0,5.0,0.0,7.2,part_time_bowler,90.43651737505705
Bhagmender Lather,Chandigarh,2024.0,51.45,74.59,63.02,False,False,pure_bowler,21.0,3.0,15.0,7.0,140.0,tailender,5.0,6.0,90.0,0.833,8.67,death_bowler,96.96648884559306
Bhanu Pania,Baroda,2024.0,46.3,0.0,23.15,False,False,pure_batter,216.0,18.0,195.0,12.0,110.77,middle_order,,,,,,,1.4666870840260147
Bharat Sharma,Puducherry,2022.0,33.72,89.48,61.6,False,False,pure_bowler,34.0,3.0,40.0,11.33,85.0,middle_order,7.0,6.0,144.0,1.167,6.17,powerplay_bowler,96.6991166798218
Bhavik Patel,Nagaland,2018.0,0.0,39.28,19.64,False,False,unknown,,,,,,,0.0,1.0,24.0,0.0,12.25,part_time_bowler,6.318232923412366
Bhima Rao,Chhattisgarh,2018.0,0.0,52.28,26.14,False,False,unknown,,,,,,,0.0,1.0,24.0,0.0,5.75,part_time_bowler,91.15768330979562
Bhushan Subba,Sikkim,2020.0,0.0,39.78,19.89,False,False,unknown,,,,,,,0.0,1.0,6.0,0.0,11.0,part_time_bowler,12.389518374553928
Bibek Diyali,Sikkim,2020.0,26.1,0.0,13.05,False,False,pure_batter,124.0,12.0,193.0,10.33,64.25,anchor_opener,,,,,,,1.0831923018039453
