match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_result,match_winner,wb_runs,wb_wickets,balls_left,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,super_over_match,batting_teams,bowling_teams,total_runs,wickets,balls
13,"April 07, 2026","Barsapara Stadium, Guwahati",RR,MI,League,MI,Bowl,150.0,3.0,123.0,9.0,completed,RR,27.0,,0.0,Yashasvi Jaiswal,Yashasvi Jaiswal,77.0,Sandeep Sharma,2--26,No,"Mumbai Indians, Rajasthan Royals","Mumbai Indians, Rajasthan Royals",268,12,132
14,"April 08, 2026","Arun Jaitley Stadium, Delhi",DC,GT,League,DC,Bowl,210.0,4.0,209.0,8.0,completed,GT,1.0,,0.0,Rashid Khan,KL Rahul,92.0,Rashid Khan,3--17,No,"Delhi Capitals, Gujarat Titans","Delhi Capitals, Gujarat Titans",418,12,240
15,"April 09, 2026","Eden Gardens, Kolkata",KKR,LSG,League,LSG,Bowl,181.0,4.0,182.0,7.0,completed,LSG,,3.0,0.0,Mukul Choudhary,Mukul Choudhary,54.0,Anukul Roy,2--32,No,"Kolkata Knight Riders, Lucknow Super Giants","Kolkata Knight Riders, Lucknow Super Giants",355,11,240
16,"April 10, 2026","Barsapara Stadium, Guwahati",RR,RCB,League,RR,Bowl,201.0,8.0,202.0,4.0,completed,RR,,6.0,12.0,Vaibhav Sooryavanshi,Dhruv Jurel,81.0,Krunal Pandya,2--30,No,"Rajasthan Royals, Royal Challengers Bengaluru","Rajasthan Royals, Royal Challengers Bengaluru",392,12,228
17,"April 11, 2026","New PCA Cricket Stadium, Mullanpur",PBKS,SRH,League,PBKS,Bowl,219.0,6.0,223.0,4.0,completed,PBKS,,6.0,7.0,Shreyas Iyer,Abhishek Sharma,74.0,Shivang Kumar,3--33,No,"Punjab Kings, Sunrisers Hyderabad","Punjab Kings, Sunrisers Hyderabad",438,10,233
18,"April 11, 2026","MA Chidambaram Stadium, Chennai",CSK,DC,League,DC,Bowl,212.0,2.0,189.0,10.0,completed,CSK,23.0,,0.0,Sanju Samson,Sanju Samson,115.0,Jamie Overton,4--18,No,"Chennai Super Kings, Delhi Capitals","Chennai Super Kings, Delhi Capitals",394,11,240
19,"April 12, 2026","Ekana Cricket Stadium, Lucknow",LSG,GT,League,GT,Bowl,164.0,8.0,165.0,3.0,completed,GT,,7.0,8.0,Prasidh Krishna,Jos Buttler,60.0,Prasidh Krishna,4--28,No,"Gujarat Titans, Lucknow Super Giants","Gujarat Titans, Lucknow Super Giants",322,11,232
20,"April 12, 2026","Wankhede Stadium, Mumbai",MI,RCB,League,MI,Bowl,240.0,4.0,222.0,5.0,completed,RCB,18.0,,0.0,Phil Salt,Phil Salt,78.0,Suyash Sharma,2--47,No,"Mumbai Indians, Royal Challengers Bengaluru","Mumbai Indians, Royal Challengers Bengaluru",458,9,240
21,"April 13, 2026","Rajiv Gandhi International Stadium, Hyderabad",SRH,RR,League,RR,Bowl,216.0,6.0,159.0,10.0,completed,SRH,57.0,,6.0,Praful Hinge,Ishan Kishan,91.0,Sakib Hussain,4--24,No,"Rajasthan Royals, Sunrisers Hyderabad","Rajasthan Royals, Sunrisers Hyderabad",371,15,234
22,"April 14, 2026","MA Chidambaram Stadium, Chennai",CSK,KKR,League,KKR,Bowl,192.0,5.0,160.0,7.0,completed,CSK,32.0,,0.0,Noor Ahmad,Sanju Samson,48.0,Noor Ahmad,3--21,No,"Chennai Super Kings, Kolkata Knight Riders","Chennai Super Kings, Kolkata Knight Riders",344,12,240
23,"April 15, 2026","M. Chinnaswamy Stadium, Bangalore",RCB,LSG,League,RCB,Bowl,146.0,10.0,149.0,5.0,completed,RCB,,5.0,29.0,Josh Hazlewood,Virat Kohli,49.0,Rasikh Salam,4--24,No,"Lucknow Super Giants, Royal Challengers Bengaluru","Lucknow Super Giants, Royal Challengers Bengaluru",288,15,211
24,"April 16, 2026","Wankhede Stadium, Mumbai",MI,PBKS,League,PBKS,Bowl,195.0,6.0,198.0,3.0,completed,PBKS,,7.0,21.0,Arshdeep Singh,Quinton de Kock,112.0,Arshdeep Singh,3--22,No,"Mumbai Indians, Punjab Kings","Mumbai Indians, Punjab Kings",389,9,219
25,"April 17, 2026","Narendra Modi Stadium, Ahmedabad",GT,KKR,League,KKR,Bat,180.0,10.0,181.0,5.0,completed,GT,,5.0,2.0,Shubman Gill,Shubman Gill,86.0,Kagiso Rabada,3--29,No,"Gujarat Titans, Kolkata Knight Riders","Gujarat Titans, Kolkata Knight Riders",352,15,238
26,"April 18, 2026","M. Chinnaswamy Stadium, Bangalore",RCB,DC,League,DC,Bowl,175.0,8.0,179.0,4.0,completed,DC,,6.0,1.0,Tristan Stubbs,Phil Salt,63.0,Bhuvneshwar Kumar,3--26,No,"Delhi Capitals, Royal Challengers Bengaluru","Delhi Capitals, Royal Challengers Bengaluru",349,11,239
27,"April 18, 2026","Rajiv Gandhi International Stadium, Hyderabad",SRH,CSK,League,CSK,Bowl,194.0,9.0,184.0,8.0,completed,SRH,10.0,,0.0,Eshan Malinga,Abhishek Sharma,59.0,Eshan Malinga,3--29,No,"Chennai Super Kings, Sunrisers Hyderabad","Chennai Super Kings, Sunrisers Hyderabad",363,17,240
28,"April 19, 2026","Eden Gardens, Kolkata",KKR,RR,League,RR,Bat,155.0,9.0,161.0,6.0,completed,KKR,,4.0,2.0,Varun Chakravarthy,Rinku Singh,53.0,Varun Chakravarthy,3--14,No,"Kolkata Knight Riders, Rajasthan Royals","Kolkata Knight Riders, Rajasthan Royals",311,13,238
29,"April 19, 2026","New PCA Cricket Stadium, Mullanpur",PBKS,LSG,League,LSG,Bowl,254.0,7.0,200.0,5.0,completed,PBKS,54.0,,0.0,Priyansh Arya,Priyansh Arya,93.0,Prince Yadav,2--25,No,"Lucknow Super Giants, Punjab Kings","Lucknow Super Giants, Punjab Kings",448,12,240
30,"April 20, 2026","Narendra Modi Stadium, Ahmedabad",GT,MI,League,GT,Bowl,199.0,5.0,100.0,10.0,completed,MI,99.0,,25.0,Tilak Varma,Tilak Varma,101.0,Ashwani Kumar,4--24,No,"Gujarat Titans, Mumbai Indians","Gujarat Titans, Mumbai Indians",294,15,215
31,"April 21, 2026","Rajiv Gandhi International Stadium, Hyderabad",SRH,DC,League,DC,Bowl,242.0,2.0,195.0,9.0,completed,SRH,47.0,,0.0,Abhishek Sharma,Abhishek Sharma,135.0,Eshan Malinga,4--32,No,"Delhi Capitals, Sunrisers Hyderabad","Delhi Capitals, Sunrisers Hyderabad",434,11,240
32,"April 22, 2026","Ekana Cricket Stadium, Lucknow",LSG,RR,League,LSG,Bowl,159.0,6.0,119.0,10.0,completed,LSG,40.0,,12.0,Ravindra Jadeja,Mitchell Marsh,55.0,Jofra Archer,3--20,No,"Lucknow Super Giants, Rajasthan Royals","Lucknow Super Giants, Rajasthan Royals",275,16,228
33,"April 23, 2026","Wankhede Stadium, Mumbai",MI,CSK,League,MI,Bowl,207.0,6.0,104.0,10.0,completed,CSK,103.0,,6.0,Sanju Samson,Sanju Samson,101.0,Akeal Hosein,4--17,No,"Chennai Super Kings, Mumbai Indians","Chennai Super Kings, Mumbai Indians",307,16,234
34,"April 24, 2026","M. Chinnaswamy Stadium, Bangalore",RCB,GT,League,RCB,Bowl,205.0,3.0,206.0,5.0,completed,RCB,,5.0,7.0,Virat Kohli,Sai Sudarshan,100.0,Rashid Khan,2--49,No,"Gujarat Titans, Royal Challengers Bengaluru","Gujarat Titans, Royal Challengers Bengaluru",406,8,233
35,"April 25, 2026","Arun Jaitley Stadium, Delhi",DC,PBKS,League,DC,Bat,264.0,2.0,265.0,4.0,completed,PBKS,,6.0,7.0,KL Rahul,KL Rahul,152.0,Kuldeep Yadav,2--46,No,"Delhi Capitals, Punjab Kings","Delhi Capitals, Punjab Kings",527,6,233
36,"April 25, 2026","Sawai Mansingh Stadium, Jaipur",RR,SRH,League,SRH,Bowl,228.0,6.0,229.0,5.0,completed,SRH,,5.0,9.0,Ishan Kishan,Vaibhav Sooryavanshi,103.0,Jofra Archer,2--34,No,"Rajasthan Royals, Sunrisers Hyderabad","Rajasthan Royals, Sunrisers Hyderabad",446,11,230
37,"April 26, 2026","Narendra Modi Stadium, Ahmedabad",GT,CSK,League,GT,Bowl,158.0,7.0,162.0,2.0,completed,GT,,8.0,20.0,Kagiso Rabada,Sai Sudarshan,87.0,Kagiso Rabada,3--25,No,"Chennai Super Kings, Gujarat Titans","Chennai Super Kings, Gujarat Titans",313,8,220
38,"April 26, 2026","Ekana Cricket Stadium, Lucknow",LSG,KKR,League,LSG,Bowl,155.0,7.0,155.0,8.0,completed,KKR,,,5.0,Rinku Singh,Rinku Singh,83.0,Mohsin Khan,5--23,Yes,"Kolkata Knight Riders, Lucknow Super Giants","Kolkata Knight Riders, Lucknow Super Giants",310,16,244
39,"April 27, 2026","Arun Jaitley Stadium, Delhi",DC,RCB,League,RCB,Bowl,75.0,10.0,77.0,1.0,completed,RCB,,9.0,81.0,Josh Hazlewood,Devdutt Padikkal,34.0,Josh Hazlewood,4--12,No,"Delhi Capitals, Royal Challengers Bengaluru","Delhi Capitals, Royal Challengers Bengaluru",152,11,138
