player,match_file,date,season,venue,team,opponent,winner,runs,balls_faced,fours,sixes,dismissed,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls,dot_balls,season_start_year
KH Devdhar,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,16,10,3,0,1,16,10,0,0,0,0,3,2020
NA Rathva,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,1,3,0,0,1,1,3,0,0,0,0,2,2020
Vishnu Solanki,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,49,55,1,2,1,9,18,19,24,21,13,23,2020
SK Patel,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,1,5,0,0,1,1,5,0,0,0,0,4,2020
Bhanu Pania,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,0,1,0,0,1,0,1,0,0,0,0,1,2020
AV Rajput,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,2,8,0,0,1,0,0,2,8,0,0,6,2020
KR Kakade,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,4,4,1,0,1,0,0,4,4,0,0,3,2020
A Sheth,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,29,30,2,1,1,0,0,10,19,19,11,13,2020
BA Bhatt,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,12,5,1,1,0,0,0,0,0,12,5,1,2020
BA Pathan,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,0,1,0,0,1,0,0,0,0,0,1,1,2020
Hari Nishaanth,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Tamil Nadu,Baroda,Tamil Nadu,35,38,3,1,1,20,20,15,18,0,0,19,2020
N Jagadeesan,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Tamil Nadu,Baroda,Tamil Nadu,14,12,3,0,1,14,12,0,0,0,0,7,2020
B Aparajith,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Tamil Nadu,Baroda,Tamil Nadu,29,35,1,0,0,3,4,21,25,5,6,10,2020
KD Karthik,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Tamil Nadu,Baroda,Tamil Nadu,22,16,3,0,1,0,0,12,11,10,5,4,2020
M Shahrukh Khan,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Tamil Nadu,Baroda,Tamil Nadu,18,7,2,1,0,0,0,0,0,18,7,1,2020
Bandeep Singh,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Jammu & Kashmir,Punjab,Jammu & Kashmir,33,31,4,1,1,30,26,3,5,0,0,16,2017
Jatin Wadhwan,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Jammu & Kashmir,Punjab,Jammu & Kashmir,35,35,1,2,1,11,10,24,25,0,0,16,2017
Shubham Pundir,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Jammu & Kashmir,Punjab,Jammu & Kashmir,0,1,0,0,1,0,0,0,1,0,0,1,2017
Manzoor Dar,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Jammu & Kashmir,Punjab,Jammu & Kashmir,38,33,3,1,0,0,0,12,17,26,16,12,2017
Ian Dev Singh,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Jammu & Kashmir,Punjab,Jammu & Kashmir,43,22,7,1,0,0,0,7,6,36,16,5,2017
M Vohra,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,53,46,4,0,1,15,15,34,27,4,4,13,2017
Mandeep Singh,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,12,8,1,1,1,12,8,0,0,0,0,4,2017
Gurkeerat Singh,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,34,18,6,1,1,31,13,3,5,0,0,7,2017
Yuvraj Singh,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,4,8,0,0,1,0,0,4,8,0,0,4,2017
Anmolpreet Singh,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,11,13,1,0,1,0,0,11,13,0,0,5,2017
Abhishek Gupta,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,2,3,0,0,1,0,0,1,1,1,2,1,2017
MS Gony,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,15,7,1,1,1,0,0,0,0,15,7,1,2017
Harbhajan Singh,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,5,7,0,0,1,0,0,0,0,5,7,2,2017
BB Sran,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,0,1,0,0,1,0,0,0,0,0,1,1,2017
S Kaul,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,5,3,1,0,1,0,0,0,0,5,3,1,2017
M Vohra,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),106,64,9,5,0,35,22,42,26,29,16,13,2021
Sarul Kanwar,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),13,19,2,0,1,11,14,2,5,0,0,12,2021
Shivam Bhambri,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),6,10,0,0,1,0,0,6,10,0,0,4,2021
Ankit Kaushik,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),15,10,0,2,1,0,0,15,10,0,0,5,2021
Jaskaran Singh,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),19,13,0,2,1,0,0,2,3,17,10,4,2021
Gurinder Singh,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),1,3,0,0,1,0,0,0,0,1,3,2,2021
Arjit Pannu,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),1,1,0,0,0,0,0,0,0,1,1,0,2021
Tanmay Agarwal,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),34,26,5,0,1,22,15,12,11,0,0,7,2021
GH Vihari,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),57,53,5,1,1,23,21,31,29,3,3,18,2021
Tilak Varma,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),61,29,3,6,0,0,0,19,14,42,15,7,2021
Rahul Buddhi,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),4,4,0,0,0,0,0,0,0,4,4,0,2021
Arpit Gaud,1244391.json,2021-01-19,2020/21,Holkar Stadium,Madhya Pradesh,Services,Madhya Pradesh,37,26,5,2,1,33,21,4,5,0,0,15,2020
VR Iyer,1244391.json,2021-01-19,2020/21,Holkar Stadium,Madhya Pradesh,Services,Madhya Pradesh,11,9,1,1,1,11,9,0,0,0,0,6,2020
RM Patidar,1244391.json,2021-01-19,2020/21,Holkar Stadium,Madhya Pradesh,Services,Madhya Pradesh,23,20,0,2,1,3,7,20,13,0,0,7,2020
Parth Sahani,1244391.json,2021-01-19,2020/21,Holkar Stadium,Madhya Pradesh,Services,Madhya Pradesh,51,35,3,3,0,0,0,26,24,25,11,11,2020
Rakesh Thakur,1244391.json,2021-01-19,2020/21,Holkar Stadium,Madhya Pradesh,Services,Madhya Pradesh,3,6,0,0,1,0,0,3,6,0,0,3,2020
KR Sen,1244391.json,2021-01-19,2020/21,Holkar Stadium,Madhya Pradesh,Services,Madhya Pradesh,0,3,0,0,1,0,0,0,3,0,0,3,2020
Rishabh Chouhan,1244391.json,2021-01-19,2020/21,Holkar Stadium,Madhya Pradesh,Services,Madhya Pradesh,22,19,1,2,1,0,0,0,3,22,16,11,2020
Ankit Sharma,1244391.json,2021-01-19,2020/21,Holkar Stadium,Madhya Pradesh,Services,Madhya Pradesh,11,4,0,1,0,0,0,0,0,11,4,0,2020
Lakhan Singh,1244391.json,2021-01-19,2020/21,Holkar Stadium,Services,Madhya Pradesh,Madhya Pradesh,32,24,5,0,1,28,17,4,7,0,0,7,2020
Ravi Chauhan,1244391.json,2021-01-19,2020/21,Holkar Stadium,Services,Madhya Pradesh,Madhya Pradesh,2,4,0,0,1,2,4,0,0,0,0,2,2020
Aanshul Gupta,1244391.json,2021-01-19,2020/21,Holkar Stadium,Services,Madhya Pradesh,Madhya Pradesh,7,9,1,0,1,7,9,0,0,0,0,5,2020
Rahul Singh,1244391.json,2021-01-19,2020/21,Holkar Stadium,Services,Madhya Pradesh,Madhya Pradesh,53,33,2,3,1,14,6,39,27,0,0,5,2020
Rajat Paliwal,1244391.json,2021-01-19,2020/21,Holkar Stadium,Services,Madhya Pradesh,Madhya Pradesh,23,20,2,0,1,0,0,17,16,6,4,4,2020
Nakul Verma,1244391.json,2021-01-19,2020/21,Holkar Stadium,Services,Madhya Pradesh,Madhya Pradesh,5,5,0,0,1,0,0,5,4,0,1,1,2020
Nitin Tanwar,1244391.json,2021-01-19,2020/21,Holkar Stadium,Services,Madhya Pradesh,Madhya Pradesh,19,12,3,0,0,0,0,0,0,19,12,2,2020
NK Singh,1244391.json,2021-01-19,2020/21,Holkar Stadium,Services,Madhya Pradesh,Madhya Pradesh,1,3,0,0,1,0,0,0,0,1,3,2,2020
Diwesh Pathania,1244391.json,2021-01-19,2020/21,Holkar Stadium,Services,Madhya Pradesh,Madhya Pradesh,14,10,2,0,0,0,0,0,0,14,10,3,2020
Upendra Yadav,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Uttar Pradesh,Puducherry,Uttar Pradesh,36,37,2,0,1,15,15,20,20,1,2,12,2018
Samarth Singh,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Uttar Pradesh,Puducherry,Uttar Pradesh,29,17,6,0,1,29,17,0,0,0,0,7,2018
SK Raina,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Uttar Pradesh,Puducherry,Uttar Pradesh,12,18,1,0,1,4,4,8,14,0,0,9,2018
PK Garg,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Uttar Pradesh,Puducherry,Uttar Pradesh,54,30,6,2,1,0,0,39,20,15,10,8,2018
AD Nath,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Uttar Pradesh,Puducherry,Uttar Pradesh,7,8,0,0,0,0,0,0,0,7,8,2,2018
RK Singh,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Uttar Pradesh,Puducherry,Uttar Pradesh,29,10,2,2,0,0,0,0,0,29,10,0,2018
S Karthik,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Puducherry,Uttar Pradesh,Uttar Pradesh,0,2,0,0,1,0,2,0,0,0,0,2,2018
Marimuthu Vikneshwaran,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Puducherry,Uttar Pradesh,Uttar Pradesh,2,6,0,0,1,2,6,0,0,0,0,4,2018
Damodaran Rohit,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Puducherry,Uttar Pradesh,Uttar Pradesh,3,4,0,0,1,3,4,0,0,0,0,2,2018
P Dogra,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Puducherry,Uttar Pradesh,Uttar Pradesh,22,15,3,1,1,21,11,1,4,0,0,7,2018
X Thalaivan Sargunam,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Puducherry,Uttar Pradesh,Uttar Pradesh,17,28,3,0,1,13,13,4,15,0,0,20,2018
Fabid Ahmed,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Puducherry,Uttar Pradesh,Uttar Pradesh,25,30,0,1,0,0,0,12,16,13,14,11,2018
RV Gomez,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Puducherry,Uttar Pradesh,Uttar Pradesh,2,2,0,0,1,0,0,2,2,0,0,1,2018
P Thamaraikannan,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Puducherry,Uttar Pradesh,Uttar Pradesh,25,34,3,0,0,0,0,10,18,15,16,19,2018
UBT Chand,1175026.json,2019-03-08,2018/19,Holkar Stadium,Delhi,Vidarbha,Vidarbha,0,2,0,0,1,0,2,0,0,0,0,2,2018
DR Shorey,1175026.json,2019-03-08,2018/19,Holkar Stadium,Delhi,Vidarbha,Vidarbha,5,4,1,0,1,5,4,0,0,0,0,2,2018
Hiten Dalal,1175026.json,2019-03-08,2018/19,Holkar Stadium,Delhi,Vidarbha,Vidarbha,42,34,2,3,1,5,8,37,26,0,0,14,2018
N Rana,1175026.json,2019-03-08,2018/19,Holkar Stadium,Delhi,Vidarbha,Vidarbha,6,9,1,0,1,6,9,0,0,0,0,6,2018
Himmat Singh,1175026.json,2019-03-08,2018/19,Holkar Stadium,Delhi,Vidarbha,Vidarbha,0,2,0,0,1,0,2,0,0,0,0,2,2018
Lalit Yadav,1175026.json,2019-03-08,2018/19,Holkar Stadium,Delhi,Vidarbha,Vidarbha,2,3,0,0,1,2,3,0,0,0,0,2,2018
P Negi,1175026.json,2019-03-08,2018/19,Holkar Stadium,Delhi,Vidarbha,Vidarbha,18,22,2,0,1,6,8,12,14,0,0,12,2018
Pranshu Vijayran,1175026.json,2019-03-08,2018/19,Holkar Stadium,Delhi,Vidarbha,Vidarbha,1,4,0,0,1,0,0,1,4,0,0,3,2018
Suboth Bhati,1175026.json,2019-03-08,2018/19,Holkar Stadium,Delhi,Vidarbha,Vidarbha,3,10,0,0,1,0,0,3,6,0,4,7,2018
Navdeep Saini,1175026.json,2019-03-08,2018/19,Holkar Stadium,Delhi,Vidarbha,Vidarbha,1,5,0,0,1,0,0,1,4,0,1,4,2018
V Tokas,1175026.json,2019-03-08,2018/19,Holkar Stadium,Delhi,Vidarbha,Vidarbha,2,3,0,0,0,0,0,0,0,2,3,1,2018
Atharva Taide,1175026.json,2019-03-08,2018/19,Holkar Stadium,Vidarbha,Delhi,Vidarbha,32,22,5,0,0,27,16,5,6,0,0,6,2018
JM Sharma,1175026.json,2019-03-08,2018/19,Holkar Stadium,Vidarbha,Delhi,Vidarbha,41,24,5,2,1,31,20,10,4,0,0,10,2018
SU Shrivastava,1175026.json,2019-03-08,2018/19,Holkar Stadium,Vidarbha,Delhi,Vidarbha,8,5,1,0,0,0,0,8,5,0,0,0,2018
T Kohli,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mizoram,Mumbai,Mumbai,26,31,3,0,1,22,23,4,8,0,0,18,2019
Lalhmangaiha,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mizoram,Mumbai,Mumbai,16,30,2,0,1,7,13,9,17,0,0,20,2019
KB Pawan,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mizoram,Mumbai,Mumbai,11,17,1,0,1,0,0,11,15,0,2,10,2019
Lalhruaizela,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mizoram,Mumbai,Mumbai,0,2,0,0,1,0,0,0,2,0,0,2,2019
Saidingliana Sailo,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mizoram,Mumbai,Mumbai,6,9,1,0,1,0,0,6,9,0,0,6,2019
Abhay,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mizoram,Mumbai,Mumbai,0,2,0,0,1,0,0,0,2,0,0,2,2019
Parvez Ahmed,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mizoram,Mumbai,Mumbai,9,10,0,0,1,0,0,1,1,8,9,3,2019
Lalhruai Ralte,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mizoram,Mumbai,Mumbai,6,9,0,0,1,0,0,0,0,6,9,4,2019
Sumit Lama,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mizoram,Mumbai,Mumbai,2,3,0,0,0,0,0,0,0,2,3,1,2019
G Lalbiakvela,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mizoram,Mumbai,Mumbai,1,2,0,0,1,0,0,0,0,1,2,1,2019
Lalnunkima Varte,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mizoram,Mumbai,Mumbai,0,2,0,0,1,0,0,0,0,0,2,2,2019
Jay Bista,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mumbai,Mizoram,Mumbai,54,24,5,3,0,31,18,23,6,0,0,6,2019
AP Tare,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mumbai,Mizoram,Mumbai,22,25,3,0,0,20,18,2,7,0,0,14,2019
JM Sharma,955045.json,2016-01-15,2015/16,Wankhede Stadium,Vidarbha,Baroda,Baroda,35,37,3,0,1,27,19,8,18,0,0,14,2015
FY Fazal,955045.json,2016-01-15,2015/16,Wankhede Stadium,Vidarbha,Baroda,Baroda,5,9,0,0,1,5,9,0,0,0,0,4,2015
Ganesh Satish,955045.json,2016-01-15,2015/16,Wankhede Stadium,Vidarbha,Baroda,Baroda,54,31,6,2,1,13,8,41,23,0,0,7,2015
AV Wankhade,955045.json,2016-01-15,2015/16,Wankhede Stadium,Vidarbha,Baroda,Baroda,40,24,1,2,1,0,0,11,9,29,15,1,2015
RL Jangid,955045.json,2016-01-15,2015/16,Wankhede Stadium,Vidarbha,Baroda,Baroda,7,6,1,0,1,0,0,6,4,1,2,2,2015
UR Patel,955045.json,2016-01-15,2015/16,Wankhede Stadium,Vidarbha,Baroda,Baroda,19,12,0,2,0,0,0,0,0,19,12,4,2015
Akshay Karnewar,955045.json,2016-01-15,2015/16,Wankhede Stadium,Vidarbha,Baroda,Baroda,1,1,0,0,0,0,0,0,0,1,1,0,2015
KH Devdhar,955045.json,2016-01-15,2015/16,Wankhede Stadium,Baroda,Vidarbha,Baroda,16,24,1,0,1,16,24,0,0,0,0,13,2015
Mrunal Devdhar,955045.json,2016-01-15,2015/16,Wankhede Stadium,Baroda,Vidarbha,Baroda,17,15,0,1,1,14,8,3,7,0,0,4,2015
HH Pandya,955045.json,2016-01-15,2015/16,Wankhede Stadium,Baroda,Vidarbha,Baroda,86,46,3,8,0,1,4,38,26,47,16,11,2015
DJ Hooda,955045.json,2016-01-15,2015/16,Wankhede Stadium,Baroda,Vidarbha,Baroda,4,6,0,0,1,0,0,4,6,0,0,2,2015
YK Pathan,955045.json,2016-01-15,2015/16,Wankhede Stadium,Baroda,Vidarbha,Baroda,14,7,1,1,1,0,0,14,7,0,0,1,2015
IK Pathan,955045.json,2016-01-15,2015/16,Wankhede Stadium,Baroda,Vidarbha,Baroda,26,16,0,2,0,0,0,6,8,20,8,2,2015
KB Arun Karthik,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Assam,Delhi,Delhi,0,1,0,0,1,0,1,0,0,0,0,1,2015
Sibsankar Roy,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Assam,Delhi,Delhi,16,18,1,1,1,16,17,0,1,0,0,11,2015
Swarupam Purkayastha,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Assam,Delhi,Delhi,9,15,1,0,1,9,15,0,0,0,0,9,2015
Gokul Sharma,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Assam,Delhi,Delhi,0,2,0,0,1,0,2,0,0,0,0,2,2015
Amit Verma,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Assam,Delhi,Delhi,1,7,0,0,1,0,1,1,6,0,0,6,2015
Pallav Kumar Das,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Assam,Delhi,Delhi,1,4,0,0,1,0,0,1,4,0,0,3,2015
J Syed Mohammad,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Assam,Delhi,Delhi,13,17,1,1,1,0,0,13,17,0,0,12,2015
Amit Sinha,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Assam,Delhi,Delhi,0,1,0,0,1,0,0,0,1,0,0,1,2015
AN Ahmed,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Assam,Delhi,Delhi,1,2,0,0,1,0,0,1,2,0,0,1,2015
Mrinmoy Dutta,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Assam,Delhi,Delhi,0,2,0,0,1,0,0,0,2,0,0,2,2015
Krishna Das,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Assam,Delhi,Delhi,0,4,0,0,0,0,0,0,4,0,0,4,2015
UBT Chand,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Delhi,Assam,Delhi,29,28,1,2,0,14,16,15,12,0,0,13,2015
G Gambhir,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Delhi,Assam,Delhi,10,10,2,0,1,10,10,0,0,0,0,6,2015
PJ Sangwan,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Delhi,Assam,Delhi,7,16,1,0,1,5,10,2,6,0,0,12,2015
Aditya Kaushik,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Delhi,Assam,Delhi,0,1,0,0,0,0,0,0,1,0,0,1,2015
Chaitanya Bishnoi,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Haryana,Delhi,Haryana,1,2,0,0,1,1,2,0,0,0,0,1,2019
HV Patel,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Haryana,Delhi,Haryana,5,6,1,0,1,5,6,0,0,0,0,4,2019
Shivam Chauhan,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Haryana,Delhi,Haryana,47,31,5,2,1,28,15,19,16,0,0,10,2019
Himanshu Rana,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Haryana,Delhi,Haryana,59,40,6,2,1,17,13,42,27,0,0,12,2019
Sumit Kumar,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Haryana,Delhi,Haryana,14,14,0,1,1,0,0,5,6,9,8,5,2019
RP Sharma,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Haryana,Delhi,Haryana,16,13,2,0,1,0,0,7,5,9,8,3,2019
R Tewatia,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Haryana,Delhi,Haryana,17,9,1,1,0,0,0,0,0,17,9,2,2019
A Mishra,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Haryana,Delhi,Haryana,13,5,3,0,0,0,0,0,0,13,5,1,2019
Hiten Dalal,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Delhi,Haryana,Haryana,1,2,0,0,1,1,2,0,0,0,0,1,2019
RR Pant,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Delhi,Haryana,Haryana,28,32,1,1,1,16,16,12,16,0,0,14,2019
DR Shorey,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Delhi,Haryana,Haryana,23,22,3,0,1,23,19,0,3,0,0,9,2019
Kunwar Bidhuri,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Delhi,Haryana,Haryana,2,4,0,0,1,0,0,2,4,0,0,2,2019
N Rana,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Delhi,Haryana,Haryana,37,25,4,1,1,0,0,29,18,8,7,6,2019
Himmat Singh,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Delhi,Haryana,Haryana,12,11,1,0,1,0,0,12,11,0,0,2,2019
Lalit Yadav,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Delhi,Haryana,Haryana,14,9,2,0,1,0,0,2,2,12,7,3,2019
Suboth Bhati,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Delhi,Haryana,Haryana,26,11,2,2,0,0,0,0,0,26,11,1,2019
Varun Sood,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Delhi,Haryana,Haryana,2,3,0,0,1,0,0,0,0,2,3,1,2019
Simarjeet Singh,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Delhi,Haryana,Haryana,0,2,0,0,0,0,0,0,0,0,2,2,2019
C Rathore,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Madhya Pradesh,Assam,Assam,0,1,0,0,1,0,1,0,0,0,0,1,2022
RM Patidar,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Madhya Pradesh,Assam,Assam,52,32,5,3,1,29,20,23,12,0,0,11,2022
Shubham Sharma,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Madhya Pradesh,Assam,Assam,56,45,6,0,1,23,15,30,27,3,3,14,2022
Akshat Raghuwanshi,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Madhya Pradesh,Assam,Assam,5,6,0,0,1,0,0,5,6,0,0,2,2022
Ashwin Das,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Madhya Pradesh,Assam,Assam,68,30,7,4,0,0,0,14,9,54,21,5,2022
Parth Sahani,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Madhya Pradesh,Assam,Assam,6,7,0,0,0,0,0,0,0,6,7,2,2022
NR Narah,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Assam,Madhya Pradesh,Assam,12,9,2,0,1,12,9,0,0,0,0,3,2022
RG Hazarika,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Assam,Madhya Pradesh,Assam,39,31,6,0,1,29,19,10,12,0,0,11,2022
Wasiqur Rahman,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Assam,Madhya Pradesh,Assam,0,4,0,0,1,0,4,0,0,0,0,4,2022
R Parag,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Assam,Madhya Pradesh,Assam,75,41,7,4,1,6,4,53,30,16,7,11,2022
Nipan Deka,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Assam,Madhya Pradesh,Assam,42,26,1,4,1,0,0,18,12,24,14,9,2022
Rajjakuddin Ahmed,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Assam,Madhya Pradesh,Assam,5,2,1,0,0,0,0,0,0,5,2,0,2022
