player,match_file,date,season,venue,team,opponent,winner,runs_conceded,balls_bowled,wickets,wides,noballs,dot_balls,pp_runs,pp_balls,mid_runs,mid_balls,death_runs,death_balls,season_start_year
R Sai Kishore,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Tamil Nadu,Baroda,Tamil Nadu,11,24,0,0,0,17,11,18,0,6,0,0,2020
B Aparajith,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Tamil Nadu,Baroda,Tamil Nadu,16,18,1,1,0,6,3,6,13,12,0,0,2020
M Siddharth,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Tamil Nadu,Baroda,Tamil Nadu,20,24,4,0,1,15,14,12,6,12,0,0,2020
M Ashwin,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Tamil Nadu,Baroda,Tamil Nadu,27,24,0,1,1,7,0,0,16,18,11,6,2020
Sonu Yadav,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Tamil Nadu,Baroda,Tamil Nadu,29,18,1,1,0,7,0,0,3,6,26,12,2020
M Mohammed,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Tamil Nadu,Baroda,Tamil Nadu,17,12,1,0,0,4,0,0,0,0,17,12,2020
A Sheth,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,20,18,1,1,0,6,15,12,0,0,5,6,2020
LI Meriwala,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,34,24,1,0,0,10,11,12,6,6,17,6,2020
BA Bhatt,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,26,24,0,1,0,8,10,6,16,18,0,0,2020
KR Kakade,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,12,12,0,0,0,6,2,6,10,6,0,0,2020
BA Pathan,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,23,24,1,2,0,10,0,0,11,18,12,6,2020
NA Rathva,1244407.json,2021-01-31,2020/21,"Narendra Modi Stadium Ground 'A', Motera",Baroda,Tamil Nadu,Tamil Nadu,8,6,0,0,0,0,0,0,8,6,0,0,2020
S Kaul,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,26,24,0,1,0,10,1,6,6,6,19,12,2017
MS Gony,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,45,24,0,1,1,11,22,18,0,0,23,6,2017
BB Sran,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,46,24,0,3,1,7,21,12,0,0,25,12,2017
M Markande,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,23,24,1,1,0,11,0,0,23,24,0,0,2017
Harbhajan Singh,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,12,18,2,1,0,8,0,0,12,18,0,0,2017
Yuvraj Singh,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Punjab,Jammu & Kashmir,Jammu & Kashmir,12,6,0,3,0,0,0,0,12,6,0,0,2017
Mohammed Mudhasir,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Jammu & Kashmir,Punjab,Jammu & Kashmir,32,18,1,0,0,5,32,18,0,0,0,0,2017
Umar Nazir,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Jammu & Kashmir,Punjab,Jammu & Kashmir,36,24,2,0,0,11,26,18,0,0,10,6,2017
Parvez Rasool,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Jammu & Kashmir,Punjab,Jammu & Kashmir,24,24,1,0,0,6,0,0,16,18,8,6,2017
Waseem Raza,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Jammu & Kashmir,Punjab,Jammu & Kashmir,16,24,4,0,0,12,0,0,10,18,6,6,2017
Manik Gupta,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Jammu & Kashmir,Punjab,Jammu & Kashmir,16,12,1,0,0,3,0,0,16,12,0,0,2017
Manzoor Dar,1130713.json,2018-01-14,2017/18,Arun Jaitley Stadium,Jammu & Kashmir,Punjab,Jammu & Kashmir,17,12,1,0,0,2,0,0,11,6,6,6,2017
Ravi Teja,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),19,24,2,0,0,11,5,6,6,12,8,6,2021
Mohammed Siraj,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),20,24,1,0,0,12,8,12,0,0,12,12,2021
CV Milind,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),49,24,1,1,0,6,20,12,0,0,29,12,2021
Tanay Thyagarajan,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),31,24,1,0,0,6,13,6,18,18,0,0,2021
GH Vihari,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),24,12,0,0,0,3,0,0,24,12,0,0,2021
Rohit Rayudu,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),10,6,0,0,0,2,0,0,10,6,0,0,2021
Tilak Varma,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Hyderabad (India),Chandigarh,Hyderabad (India),9,6,0,0,0,0,0,0,9,6,0,0,2021
Jagjit Singh,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),25,18,0,0,0,7,8,12,0,0,17,6,2021
Shreshth Nirmohi,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),32,18,0,0,0,5,18,12,0,0,14,6,2021
Jaskaran Singh,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),39,22,1,2,0,6,20,12,0,0,19,10,2021
Arpit Pannu,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),19,24,1,0,0,5,0,0,19,24,0,0,2021
Gurinder Singh,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),38,24,0,1,0,4,0,0,38,24,0,0,2021
Bhagmender Lather,1280249.json,2021-11-06,2021/22,Gurugram Cricket Ground (SRNCC),Chandigarh,Hyderabad (India),Hyderabad (India),10,6,0,0,0,1,0,0,10,6,0,0,2021
Diwesh Pathania,1244391.json,2021-01-19,2020/21,Holkar Stadium,Services,Madhya Pradesh,Madhya Pradesh,54,24,1,4,2,11,13,12,0,0,41,12,2020
Varun Choudhary,1244391.json,2021-01-19,2020/21,Holkar Stadium,Services,Madhya Pradesh,Madhya Pradesh,39,24,1,2,0,9,21,12,0,0,18,12,2020
Lakhan Singh,1244391.json,2021-01-19,2020/21,Holkar Stadium,Services,Madhya Pradesh,Madhya Pradesh,32,24,1,0,0,11,15,12,9,6,8,6,2020
Vikas Yadav,1244391.json,2021-01-19,2020/21,Holkar Stadium,Services,Madhya Pradesh,Madhya Pradesh,30,24,1,0,0,8,0,0,30,24,0,0,2020
Nitin Tanwar,1244391.json,2021-01-19,2020/21,Holkar Stadium,Services,Madhya Pradesh,Madhya Pradesh,14,24,2,0,0,15,0,0,14,24,0,0,2020
IC Pandey,1244391.json,2021-01-19,2020/21,Holkar Stadium,Madhya Pradesh,Services,Madhya Pradesh,30,24,1,0,0,4,20,12,6,6,4,6,2020
Avesh Khan,1244391.json,2021-01-19,2020/21,Holkar Stadium,Madhya Pradesh,Services,Madhya Pradesh,24,24,3,0,0,10,8,12,0,0,16,12,2020
KR Sen,1244391.json,2021-01-19,2020/21,Holkar Stadium,Madhya Pradesh,Services,Madhya Pradesh,43,24,0,1,0,3,10,6,9,6,24,12,2020
VR Iyer,1244391.json,2021-01-19,2020/21,Holkar Stadium,Madhya Pradesh,Services,Madhya Pradesh,19,12,1,1,0,2,15,6,4,6,0,0,2020
Ankit Sharma,1244391.json,2021-01-19,2020/21,Holkar Stadium,Madhya Pradesh,Services,Madhya Pradesh,28,24,1,3,0,6,0,0,28,24,0,0,2020
Mihir Hirwani,1244391.json,2021-01-19,2020/21,Holkar Stadium,Madhya Pradesh,Services,Madhya Pradesh,23,12,0,1,0,1,0,0,23,12,0,0,2020
Pankaj Singh,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Puducherry,Uttar Pradesh,Uttar Pradesh,42,24,1,2,0,7,22,12,0,0,20,12,2018
A Aravinddaraj,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Puducherry,Uttar Pradesh,Uttar Pradesh,13,6,0,1,0,2,13,6,0,0,0,0,2018
Fabid Ahmed,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Puducherry,Uttar Pradesh,Uttar Pradesh,28,24,0,0,0,6,5,6,18,12,5,6,2018
Pratik Sargade,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Puducherry,Uttar Pradesh,Uttar Pradesh,35,24,0,0,0,7,7,6,28,18,0,0,2018
Marimuthu Vikneshwaran,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Puducherry,Uttar Pradesh,Uttar Pradesh,15,12,2,0,0,5,5,6,0,0,10,6,2018
Damodaran Rohit,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Puducherry,Uttar Pradesh,Uttar Pradesh,7,6,0,0,0,2,0,0,7,6,0,0,2018
P Thamaraikannan,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Puducherry,Uttar Pradesh,Uttar Pradesh,39,24,1,1,0,5,0,0,19,18,20,6,2018
Saurabh Kumar,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Uttar Pradesh,Puducherry,Uttar Pradesh,14,24,4,0,0,15,7,12,3,6,4,6,2018
Yash Dayal,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Uttar Pradesh,Puducherry,Uttar Pradesh,29,24,0,3,1,10,7,12,11,6,11,6,2018
Ankit Chaudhary,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Uttar Pradesh,Puducherry,Uttar Pradesh,15,24,1,0,0,15,9,6,6,18,0,0,2018
Bobby Yadav,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Uttar Pradesh,Puducherry,Uttar Pradesh,33,24,0,1,0,8,16,6,0,0,17,18,2018
Shiva Singh,1157157.json,2019-02-25,2018/19,"Airforce Complex ground, Palam II",Uttar Pradesh,Puducherry,Uttar Pradesh,11,24,0,0,0,17,0,0,11,24,0,0,2018
UT Yadav,1175026.json,2019-03-08,2018/19,Holkar Stadium,Vidarbha,Delhi,Vidarbha,10,14,2,1,0,8,9,12,0,0,1,2,2018
SB Wagh,1175026.json,2019-03-08,2018/19,Holkar Stadium,Vidarbha,Delhi,Vidarbha,12,18,2,2,0,12,12,18,0,0,0,0,2018
Yash Thakur,1175026.json,2019-03-08,2018/19,Holkar Stadium,Vidarbha,Delhi,Vidarbha,13,18,2,0,0,10,6,6,6,6,1,6,2018
Akshay Wakhare,1175026.json,2019-03-08,2018/19,Holkar Stadium,Vidarbha,Delhi,Vidarbha,32,18,0,0,0,7,0,0,32,18,0,0,2018
Akshay Karnewar,1175026.json,2019-03-08,2018/19,Holkar Stadium,Vidarbha,Delhi,Vidarbha,14,24,2,0,0,14,0,0,14,24,0,0,2018
Atharva Taide,1175026.json,2019-03-08,2018/19,Holkar Stadium,Vidarbha,Delhi,Vidarbha,2,6,1,0,0,4,0,0,2,6,0,0,2018
Navdeep Saini,1175026.json,2019-03-08,2018/19,Holkar Stadium,Delhi,Vidarbha,Vidarbha,17,12,0,4,0,6,17,12,0,0,0,0,2018
V Tokas,1175026.json,2019-03-08,2018/19,Holkar Stadium,Delhi,Vidarbha,Vidarbha,12,6,0,0,0,1,12,6,0,0,0,0,2018
Lalit Yadav,1175026.json,2019-03-08,2018/19,Holkar Stadium,Delhi,Vidarbha,Vidarbha,12,6,0,0,0,0,12,6,0,0,0,0,2018
Suboth Bhati,1175026.json,2019-03-08,2018/19,Holkar Stadium,Delhi,Vidarbha,Vidarbha,20,12,1,0,0,6,9,6,11,6,0,0,2018
P Negi,1175026.json,2019-03-08,2018/19,Holkar Stadium,Delhi,Vidarbha,Vidarbha,18,12,0,0,0,3,12,6,6,6,0,0,2018
N Rana,1175026.json,2019-03-08,2018/19,Holkar Stadium,Delhi,Vidarbha,Vidarbha,6,3,0,0,0,0,0,0,6,3,0,0,2018
DS Kulkarni,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mumbai,Mizoram,Mumbai,10,18,1,0,0,10,6,12,0,0,4,6,2019
TU Deshpande,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mumbai,Mizoram,Mumbai,8,15,2,0,0,11,6,6,2,6,0,3,2019
SZ Mulani,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mumbai,Mizoram,Mumbai,14,24,1,0,0,15,8,12,6,12,0,0,2019
Kruthik Hanagavadi,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mumbai,Mizoram,Mumbai,16,12,0,0,0,5,9,6,7,6,0,0,2019
Shubham Ranjane,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mumbai,Mizoram,Mumbai,6,6,0,0,0,3,0,0,6,6,0,0,2019
Sujit Nayak,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mumbai,Mizoram,Mumbai,4,12,0,0,0,8,0,0,4,12,0,0,2019
SD Lad,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mumbai,Mizoram,Mumbai,13,24,5,0,0,15,0,0,6,12,7,12,2019
Jay Bista,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mumbai,Mizoram,Mumbai,6,6,0,0,0,2,0,0,0,0,6,6,2019
Lalhruai Ralte,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mizoram,Mumbai,Mumbai,22,12,0,1,0,4,22,12,0,0,0,0,2019
Lalnunkima Varte,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mizoram,Mumbai,Mumbai,23,18,0,0,0,8,23,18,0,0,0,0,2019
G Lalbiakvela,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mizoram,Mumbai,Mumbai,15,12,0,1,0,6,7,6,8,6,0,0,2019
Parvez Ahmed,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mizoram,Mumbai,Mumbai,12,6,0,0,0,2,0,0,12,6,0,0,2019
T Kohli,1205721.json,2019-11-08,2019/20,Wankhede Stadium,Mizoram,Mumbai,Mumbai,7,0,0,0,1,0,0,0,7,0,0,0,2019
IK Pathan,955045.json,2016-01-15,2015/16,Wankhede Stadium,Baroda,Vidarbha,Baroda,33,24,1,0,0,4,12,12,9,6,12,6,2015
MM Patel,955045.json,2016-01-15,2015/16,Wankhede Stadium,Baroda,Vidarbha,Baroda,25,24,0,0,0,9,22,18,0,0,3,6,2015
HH Pandya,955045.json,2016-01-15,2015/16,Wankhede Stadium,Baroda,Vidarbha,Baroda,24,24,0,0,0,10,11,6,13,18,0,0,2015
RT Arothe,955045.json,2016-01-15,2015/16,Wankhede Stadium,Baroda,Vidarbha,Baroda,30,18,0,0,0,3,0,0,18,12,12,6,2015
Swapnil Singh,955045.json,2016-01-15,2015/16,Wankhede Stadium,Baroda,Vidarbha,Baroda,41,24,2,0,0,3,0,0,18,12,23,12,2015
A Sheth,955045.json,2016-01-15,2015/16,Wankhede Stadium,Baroda,Vidarbha,Baroda,9,6,1,0,0,2,0,0,9,6,0,0,2015
RN Gurbani,955045.json,2016-01-15,2015/16,Wankhede Stadium,Vidarbha,Baroda,Baroda,32,18,0,0,0,3,21,12,0,0,11,6,2015
SS Bandiwar,955045.json,2016-01-15,2015/16,Wankhede Stadium,Vidarbha,Baroda,Baroda,22,24,1,1,0,11,9,18,13,6,0,0,2015
Ravikumar Thakur,955045.json,2016-01-15,2015/16,Wankhede Stadium,Vidarbha,Baroda,Baroda,41,24,0,1,0,9,1,6,3,6,37,12,2015
RL Jangid,955045.json,2016-01-15,2015/16,Wankhede Stadium,Vidarbha,Baroda,Baroda,36,18,2,1,0,3,0,0,16,12,20,6,2015
Akshay Wakhare,955045.json,2016-01-15,2015/16,Wankhede Stadium,Vidarbha,Baroda,Baroda,22,18,0,1,0,6,0,0,22,18,0,0,2015
Akshay Karnewar,955045.json,2016-01-15,2015/16,Wankhede Stadium,Vidarbha,Baroda,Baroda,15,12,1,1,0,1,0,0,15,12,0,0,2015
P Awana,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Delhi,Assam,Delhi,6,18,1,0,0,13,6,18,0,0,0,0,2015
PJ Sangwan,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Delhi,Assam,Delhi,22,18,2,2,0,9,22,18,0,0,0,0,2015
Shivam Sharma,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Delhi,Assam,Delhi,7,19,3,0,0,15,0,0,7,19,0,0,2015
Suboth Bhati,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Delhi,Assam,Delhi,9,18,4,0,0,14,0,0,9,18,0,0,2015
Krishna Das,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Assam,Delhi,Delhi,11,12,0,0,0,7,11,12,0,0,0,0,2015
Mrinmoy Dutta,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Assam,Delhi,Delhi,17,12,1,2,0,7,17,12,0,0,0,0,2015
AN Ahmed,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Assam,Delhi,Delhi,9,12,0,1,0,7,4,6,5,6,0,0,2015
Amit Verma,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Assam,Delhi,Delhi,10,13,0,0,0,8,1,6,9,7,0,0,2015
J Syed Mohammad,902171.json,2016-01-06,2015/16,Motibaug Cricket Ground,Assam,Delhi,Delhi,3,6,1,0,0,3,0,0,3,6,0,0,2015
Navdeep Saini,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Delhi,Haryana,Haryana,22,18,0,1,0,6,14,12,8,6,0,0,2019
Simarjeet Singh,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Delhi,Haryana,Haryana,43,24,2,3,0,12,21,12,0,0,22,12,2019
Suboth Bhati,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Delhi,Haryana,Haryana,33,24,1,0,0,7,7,6,7,6,19,12,2019
Lalit Yadav,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Delhi,Haryana,Haryana,25,18,0,0,0,6,13,6,12,12,0,0,2019
Varun Sood,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Delhi,Haryana,Haryana,45,24,1,0,0,2,0,0,33,18,12,6,2019
N Rana,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Delhi,Haryana,Haryana,13,12,1,0,0,3,0,0,13,12,0,0,2019
HV Patel,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Haryana,Delhi,Haryana,28,24,2,0,0,10,7,12,0,0,21,12,2019
AH Hooda,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Haryana,Delhi,Haryana,27,18,1,1,1,6,22,12,0,0,5,6,2019
J Yadav,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Haryana,Delhi,Haryana,22,24,0,0,0,8,11,6,11,18,0,0,2019
Sumit Kumar,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Haryana,Delhi,Haryana,25,24,2,0,0,9,1,6,16,12,8,6,2019
YS Chahal,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Haryana,Delhi,Haryana,27,18,3,1,0,5,0,0,9,12,18,6,2019
A Mishra,1205849.json,2019-11-24,2019/20,Lalbhai Contractor Stadium,Haryana,Delhi,Haryana,22,12,0,0,0,0,0,0,22,12,0,0,2019
Mukhtar Hussain,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Assam,Madhya Pradesh,Assam,43,24,2,1,0,8,20,12,0,0,23,12,2022
Mrinmoy Dutta,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Assam,Madhya Pradesh,Assam,33,18,0,0,0,4,10,6,4,6,19,6,2022
R Parag,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Assam,Madhya Pradesh,Assam,39,18,0,1,0,4,9,6,30,12,0,0,2022
AA Choudhury,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Assam,Madhya Pradesh,Assam,14,12,0,0,0,4,3,6,11,6,0,0,2022
Rajjakuddin Ahmed,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Assam,Madhya Pradesh,Assam,39,24,1,0,1,6,11,6,12,12,16,6,2022
Roshan Alam,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Assam,Madhya Pradesh,Assam,24,24,1,0,0,8,0,0,15,18,9,6,2022
Ankit Kushwah,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Madhya Pradesh,Assam,Assam,39,18,1,0,0,5,18,12,0,0,21,6,2022
Gaurav Yadav,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Madhya Pradesh,Assam,Assam,34,18,1,2,0,3,20,12,0,0,14,6,2022
KR Sen,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Madhya Pradesh,Assam,Assam,36,24,1,3,1,11,12,12,12,6,12,6,2022
K Kartikeya,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Madhya Pradesh,Assam,Assam,28,24,0,0,0,9,0,0,28,24,0,0,2022
AB Bhadoriya,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Madhya Pradesh,Assam,Assam,31,18,0,0,0,3,0,0,31,18,0,0,2022
Ashwin Das,1333033.json,2022-10-22,2022/23,"Saurashtra Cricket Association Stadium, Rajkot",Madhya Pradesh,Assam,Assam,26,13,2,3,0,5,0,0,15,6,11,7,2022
SM Kazi,1205799.json,2019-11-14,2019/20,"GSSS, Sector 26",Maharashtra,Hyderabad (India),Maharashtra,31,24,0,0,0,7,13,6,18,18,0,0,2019
SM Fallah,1205799.json,2019-11-14,2019/20,"GSSS, Sector 26",Maharashtra,Hyderabad (India),Maharashtra,36,24,1,0,0,6,14,12,0,0,22,12,2019
DR Deshmukh,1205799.json,2019-11-14,2019/20,"GSSS, Sector 26",Maharashtra,Hyderabad (India),Maharashtra,43,24,2,0,0,8,9,12,0,0,34,12,2019
Satyajeet Bachhav,1205799.json,2019-11-14,2019/20,"GSSS, Sector 26",Maharashtra,Hyderabad (India),Maharashtra,22,24,2,0,0,11,5,6,17,18,0,0,2019
Azim Kazi,1205799.json,2019-11-14,2019/20,"GSSS, Sector 26",Maharashtra,Hyderabad (India),Maharashtra,31,24,1,0,0,8,0,0,21,18,10,6,2019
Mohammed Siraj,1205799.json,2019-11-14,2019/20,"GSSS, Sector 26",Hyderabad (India),Maharashtra,Maharashtra,38,23,3,0,0,8,14,12,0,0,24,11,2019
Yudhvir Singh,1205799.json,2019-11-14,2019/20,"GSSS, Sector 26",Hyderabad (India),Maharashtra,Maharashtra,24,24,0,1,1,11,7,12,8,6,9,6,2019
CV Milind,1205799.json,2019-11-14,2019/20,"GSSS, Sector 26",Hyderabad (India),Maharashtra,Maharashtra,37,24,0,1,0,2,4,6,19,12,14,6,2019
Mehdi Hassan,1205799.json,2019-11-14,2019/20,"GSSS, Sector 26",Hyderabad (India),Maharashtra,Maharashtra,31,24,0,0,0,8,13,6,18,18,0,0,2019
Bavanaka Sandeep,1205799.json,2019-11-14,2019/20,"GSSS, Sector 26",Hyderabad (India),Maharashtra,Maharashtra,12,12,1,0,0,3,0,0,12,12,0,0,2019
Akash Bhandari,1205799.json,2019-11-14,2019/20,"GSSS, Sector 26",Hyderabad (India),Maharashtra,Maharashtra,22,12,0,0,0,1,0,0,13,6,9,6,2019
Suboth Bhati,1205776.json,2019-11-12,2019/20,C B Patel Ground,Delhi,Saurashtra,Delhi,38,24,0,1,0,11,8,12,0,0,30,12,2019
Simarjeet Singh,1205776.json,2019-11-12,2019/20,C B Patel Ground,Delhi,Saurashtra,Delhi,40,18,1,0,0,6,24,12,0,0,16,6,2019
Pranshu Vijayran,1205776.json,2019-11-12,2019/20,C B Patel Ground,Delhi,Saurashtra,Delhi,32,24,1,0,0,7,13,6,13,12,6,6,2019
Lalit Yadav,1205776.json,2019-11-12,2019/20,C B Patel Ground,Delhi,Saurashtra,Delhi,10,12,1,0,0,8,1,6,9,6,0,0,2019
N Rana,1205776.json,2019-11-12,2019/20,C B Patel Ground,Delhi,Saurashtra,Delhi,25,24,0,0,0,5,0,0,21,18,4,6,2019
P Negi,1205776.json,2019-11-12,2019/20,C B Patel Ground,Delhi,Saurashtra,Delhi,28,18,0,0,0,4,0,0,28,18,0,0,2019
JD Unadkat,1205776.json,2019-11-12,2019/20,C B Patel Ground,Saurashtra,Delhi,Delhi,29,24,1,2,0,10,12,12,0,0,17,12,2019
C Sakariya,1205776.json,2019-11-12,2019/20,C B Patel Ground,Saurashtra,Delhi,Delhi,36,24,1,1,0,4,13,6,10,6,13,12,2019
Chirag Jani,1205776.json,2019-11-12,2019/20,C B Patel Ground,Saurashtra,Delhi,Delhi,38,23,1,0,0,7,8,6,17,12,13,5,2019
Dharmendrasinh Jadeja,1205776.json,2019-11-12,2019/20,C B Patel Ground,Saurashtra,Delhi,Delhi,13,18,0,0,0,6,1,6,12,12,0,0,2019
V M Jivrajani,1205776.json,2019-11-12,2019/20,C B Patel Ground,Saurashtra,Delhi,Delhi,39,18,1,0,1,7,6,6,33,12,0,0,2019
PN Mankad,1205776.json,2019-11-12,2019/20,C B Patel Ground,Saurashtra,Delhi,Delhi,19,12,0,0,1,3,0,0,19,12,0,0,2019
Arshdeep Singh,1383496.json,2023-10-21,2023/24,"JSCA International Stadium Complex, Ranchi",Punjab,Manipur,Punjab,21,24,2,0,0,14,5,12,0,0,16,12,2023
Abhishek Sharma,1383496.json,2023-10-21,2023/24,"JSCA International Stadium Complex, Ranchi",Punjab,Manipur,Punjab,17,24,1,0,0,13,12,18,5,6,0,0,2023
S Kaul,1383496.json,2023-10-21,2023/24,"JSCA International Stadium Complex, Ranchi",Punjab,Manipur,Punjab,25,24,2,1,0,11,5,6,16,12,4,6,2023
Harpreet Brar,1383496.json,2023-10-21,2023/24,"JSCA International Stadium Complex, Ranchi",Punjab,Manipur,Punjab,11,24,1,1,0,16,0,0,6,18,5,6,2023
M Markande,1383496.json,2023-10-21,2023/24,"JSCA International Stadium Complex, Ranchi",Punjab,Manipur,Punjab,19,24,2,0,0,14,0,0,16,18,3,6,2023
