player,total_wickets,total_matches_bowled,total_balls_bowled,total_runs_conceded,total_wides,total_noballs,economy_rate,bowling_average,bowling_strike_rate,avg_wickets_per_match,bowling_consistency,two_plus_hauls,two_plus_haul_rate,bowling_dot_rate,wide_rate,noball_rate,pp_economy,mid_economy,death_economy,pp_wicket_contribution,mid_wicket_contribution,death_wicket_contribution,dominant_phase,bowling_role,wickets_in_wins,wickets_in_losses,team
KW Richardson,19,15,335,479,10,0,8.58,25.21,17.63,1.267,0.8,5,0.333,0.385,0.667,0.0,7.0,8.56,10.94,0.501,0.161,0.337,powerplay,powerplay_bowler,1.83,0.89,Rajasthan Royals
Kamran Khan,10,9,166,248,10,1,8.96,24.8,16.6,1.111,1.36,3,0.333,0.38,1.111,0.111,9.5,7.0,10.41,0.506,0.289,0.205,middle,powerplay_bowler,1.0,1.12,Rajasthan Royals
Karanveer Singh,12,9,204,323,9,0,9.5,26.92,17.0,1.333,1.5,4,0.444,0.314,1.0,0.0,13.0,8.71,13.25,0.059,0.824,0.118,middle,middle_overs_bowler,1.33,1.33,Kings XI Punjab
Kartik Tyagi,20,24,512,878,31,9,10.29,43.9,25.6,0.833,0.64,3,0.125,0.346,1.292,0.375,11.22,9.22,10.63,0.316,0.375,0.309,middle,all_phases_bowler,0.86,0.82,Rajasthan Royals
Kuldeep Yadav,105,100,2142,2934,43,3,8.22,27.94,20.4,1.05,1.07,29,0.29,0.3,0.43,0.03,8.8,8.15,8.45,0.028,0.81,0.162,middle,middle_overs_bowler,1.32,0.81,Delhi Capitals
L Balaji,76,73,1512,2083,58,4,8.27,27.41,19.89,1.041,1.15,19,0.26,0.355,0.795,0.055,7.17,7.16,10.48,0.298,0.37,0.332,middle,all_phases_bowler,1.4,0.55,Kolkata Knight Riders
L Ngidi,34,20,466,667,19,2,8.59,19.62,13.71,1.7,1.13,9,0.45,0.382,0.95,0.1,7.9,8.38,9.39,0.399,0.206,0.395,powerplay,all_phases_bowler,2.15,0.86,Chennai Super Kings
LE Plunkett,4,7,150,228,4,0,9.12,57.0,37.5,0.571,1.13,1,0.143,0.26,0.571,0.0,10.29,8.5,8.88,0.28,0.4,0.32,middle,all_phases_bowler,0.0,1.0,Delhi Daredevils
LH Ferguson,54,49,1026,1558,43,9,9.11,28.85,19.0,1.102,1.14,14,0.286,0.366,0.878,0.184,8.88,8.11,10.73,0.262,0.433,0.305,middle,all_phases_bowler,1.29,0.86,Kolkata Knight Riders
LJ Wright,2,6,71,125,4,0,10.56,62.5,35.5,0.333,0.52,0,0.0,0.197,0.667,0.0,12.0,9.71,11.74,0.085,0.592,0.324,middle,middle_overs_bowler,0.0,0.4,Pune Warriors
LR Shukla,15,27,314,458,10,2,8.75,30.53,20.93,0.556,0.85,2,0.074,0.347,0.37,0.074,11.77,8.11,9.46,0.083,0.669,0.248,middle,middle_overs_bowler,0.62,0.5,Kolkata Knight Riders
LS Livingstone,13,27,312,471,9,0,9.06,36.23,24.0,0.481,0.85,4,0.148,0.26,0.333,0.0,5.67,9.47,7.0,0.058,0.865,0.077,powerplay,middle_overs_bowler,0.5,0.47,Punjab Kings
Lalit Yadav,10,19,288,430,5,1,8.96,43.0,28.8,0.526,0.7,2,0.105,0.285,0.263,0.053,9.69,8.18,11.5,0.333,0.583,0.083,middle,middle_overs_bowler,0.67,0.4,Delhi Capitals
