player,total_wickets,total_matches_bowled,total_balls_bowled,total_runs_conceded,total_wides,total_noballs,economy_rate,bowling_average,bowling_strike_rate,avg_wickets_per_match,bowling_consistency,two_plus_hauls,two_plus_haul_rate,bowling_dot_rate,wide_rate,noball_rate,pp_economy,mid_economy,death_economy,pp_wicket_contribution,mid_wicket_contribution,death_wicket_contribution,dominant_phase,bowling_role,wickets_in_wins,wickets_in_losses,team
P Awana,39,33,747,1046,23,4,8.4,26.82,19.15,1.182,1.07,11,0.333,0.392,0.697,0.121,8.07,7.25,10.98,0.361,0.41,0.229,middle,all_phases_bowler,1.26,1.07,Kings XI Punjab
P Dubey,2,5,78,112,1,0,8.62,56.0,39.0,0.4,0.55,0,0.0,0.295,0.2,0.0,,8.42,11.0,0.0,0.923,0.077,middle,middle_overs_bowler,0.0,0.5,Delhi Capitals
P Kumar,90,119,2524,3342,112,1,7.94,37.13,28.04,0.756,0.84,25,0.21,0.426,0.941,0.008,6.92,7.85,10.72,0.623,0.143,0.235,powerplay,powerplay_bowler,0.98,0.55,Kings XI Punjab
P Negi,34,42,716,954,17,0,7.99,28.06,21.06,0.81,0.97,9,0.214,0.331,0.405,0.0,9.14,7.45,11.4,0.059,0.83,0.112,middle,middle_overs_bowler,0.93,0.75,Royal Challengers Bangalore
P Parameswaran,9,8,154,226,4,1,8.81,25.11,17.11,1.125,1.13,3,0.375,0.416,0.5,0.125,10.83,7.37,9.85,0.234,0.513,0.253,middle,middle_overs_bowler,1.6,0.33,Kochi Tuskers Kerala
P Sahu,3,5,105,152,2,0,8.69,50.67,35.0,0.6,0.89,1,0.2,0.229,0.4,0.0,11.0,8.15,10.33,0.057,0.771,0.171,middle,middle_overs_bowler,0.0,0.75,Kings XI Punjab
P Suyal,2,5,96,154,7,4,9.62,77.0,48.0,0.4,0.55,0,0.0,0.375,1.4,0.8,9.3,9.0,10.75,0.625,0.125,0.25,middle,powerplay_bowler,1.0,0.0,Mumbai Indians
PC Valthaty,7,10,151,207,2,0,8.23,29.57,21.57,0.7,1.25,1,0.1,0.291,0.2,0.0,,8.0,9.79,0.0,0.874,0.126,middle,middle_overs_bowler,1.5,0.17,Kings XI Punjab
PD Collingwood,5,6,89,101,1,0,6.81,20.2,17.8,0.833,0.75,1,0.167,0.27,0.167,0.0,,7.27,5.48,0.0,0.742,0.258,death,middle_overs_bowler,1.0,0.75,Delhi Daredevils
PJ Cummins,79,72,1617,2436,63,2,9.04,30.84,20.47,1.097,1.02,22,0.306,0.357,0.875,0.028,8.77,8.04,10.52,0.43,0.293,0.276,middle,powerplay_bowler,1.38,0.88,Sunrisers Hyderabad
PJ Sangwan,38,42,856,1267,43,6,8.88,33.34,22.53,0.905,0.91,9,0.214,0.373,1.024,0.143,8.83,8.59,9.79,0.414,0.428,0.159,middle,powerplay_bowler,1.21,0.65,Delhi Daredevils
PP Chawla,192,191,3850,5179,43,2,8.07,26.97,20.05,1.005,0.94,49,0.257,0.344,0.225,0.01,7.91,7.97,8.88,0.114,0.771,0.115,powerplay,middle_overs_bowler,1.13,0.87,Kings XI Punjab
PP Ojha,89,90,1899,2399,44,2,7.58,26.96,21.34,0.989,0.93,28,0.311,0.351,0.489,0.022,8.1,7.07,9.61,0.126,0.723,0.151,middle,middle_overs_bowler,1.14,0.85,Deccan Chargers
PV Tambe,28,33,660,866,14,0,7.87,30.93,23.57,0.848,1.0,7,0.212,0.309,0.424,0.0,8.77,7.25,11.0,0.118,0.764,0.118,middle,middle_overs_bowler,1.24,0.44,Rajasthan Royals
PVD Chameera,13,19,384,640,21,3,10.0,49.23,29.54,0.684,0.75,3,0.158,0.38,1.105,0.158,9.81,8.6,11.59,0.5,0.234,0.266,middle,powerplay_bowler,0.86,0.58,Lucknow Super Giants
PWH de Silva,46,37,798,1134,10,0,8.53,24.65,17.35,1.243,1.19,12,0.324,0.331,0.27,0.0,9.9,8.4,8.5,0.075,0.774,0.15,middle,middle_overs_bowler,1.53,1.0,Royal Challengers Bangalore
Pankaj Singh,11,17,300,472,10,1,9.44,42.91,27.27,0.647,0.93,5,0.294,0.37,0.588,0.059,7.8,9.82,13.75,0.5,0.34,0.16,powerplay,powerplay_bowler,0.5,0.78,Rajasthan Royals
Parvez Rasool,4,11,198,273,2,0,8.27,68.25,49.5,0.364,0.5,0,0.0,0.303,0.182,0.0,9.18,7.82,,0.333,0.667,0.0,middle,middle_overs_bowler,0.6,0.17,Sunrisers Hyderabad
Prince Yadav,12,11,245,393,16,0,9.62,32.75,20.42,1.091,0.94,3,0.273,0.339,1.455,0.0,8.08,8.61,13.02,0.294,0.441,0.265,powerplay,all_phases_bowler,1.0,1.14,Lucknow Super Giants
R Ashwin,187,217,4710,5721,154,4,7.29,30.59,25.19,0.862,0.87,48,0.221,0.341,0.71,0.018,7.2,7.11,8.33,0.266,0.607,0.128,middle,middle_overs_bowler,0.99,0.71,Chennai Super Kings
R Bhatia,71,91,1636,2059,23,2,7.55,29.0,23.04,0.78,0.92,19,0.209,0.267,0.253,0.022,12.5,7.31,8.73,0.007,0.851,0.141,middle,middle_overs_bowler,0.9,0.65,Kolkata Knight Riders
R Dhawan,25,36,662,922,28,3,8.36,36.88,26.48,0.694,0.75,6,0.167,0.31,0.778,0.083,8.5,7.72,10.96,0.236,0.625,0.139,middle,middle_overs_bowler,0.84,0.53,Kings XI Punjab
R McLaren,12,18,354,558,15,3,9.46,46.5,29.5,0.667,0.77,3,0.167,0.328,0.833,0.167,8.8,9.1,11.14,0.424,0.339,0.237,powerplay,powerplay_bowler,0.7,0.62,Mumbai Indians
R Parag,9,32,307,494,14,0,9.65,54.89,34.11,0.281,0.46,0,0.0,0.225,0.438,0.0,8.0,9.51,14.31,0.039,0.919,0.042,powerplay,middle_overs_bowler,0.08,0.4,Rajasthan Royals
R Rampaul,16,12,268,319,8,2,7.14,19.94,16.75,1.333,0.89,5,0.417,0.485,0.667,0.167,6.04,6.0,11.77,0.604,0.201,0.194,middle,powerplay_bowler,1.25,1.38,Royal Challengers Bangalore
R Sai Kishore,32,25,441,655,12,0,8.91,20.47,13.78,1.28,0.98,9,0.36,0.295,0.48,0.0,11.0,8.37,10.74,0.041,0.776,0.184,middle,middle_overs_bowler,1.53,0.9,Gujarat Titans
R Sathish,3,14,139,233,5,0,10.06,77.67,46.33,0.214,0.43,0,0.0,0.216,0.357,0.0,,8.11,18.96,0.0,0.82,0.18,middle,middle_overs_bowler,0.5,0.1,Mumbai Indians
R Sharma,40,44,928,1100,7,0,7.11,27.5,23.2,0.909,0.8,10,0.227,0.36,0.159,0.0,6.73,6.75,8.96,0.097,0.737,0.166,powerplay,middle_overs_bowler,1.15,0.81,Pune Warriors
R Shepherd,13,19,259,535,16,1,12.39,41.15,19.92,0.684,0.89,3,0.158,0.27,0.842,0.053,9.25,12.04,14.22,0.093,0.625,0.282,powerplay,middle_overs_bowler,0.67,0.71,Royal Challengers Bengaluru
R Shukla,5,7,120,217,7,3,10.85,43.4,24.0,0.714,0.76,1,0.143,0.317,1.0,0.429,8.78,10.83,14.6,0.45,0.3,0.25,powerplay,powerplay_bowler,1.5,0.4,Delhi Daredevils
R Tewatia,32,52,843,1117,21,2,7.95,34.91,26.34,0.615,0.89,6,0.115,0.313,0.404,0.038,7.5,7.99,7.33,0.014,0.932,0.053,death,middle_overs_bowler,0.7,0.55,Rajasthan Royals
R Vinay Kumar,105,104,2127,3041,48,11,8.58,28.96,20.26,1.01,1.01,30,0.288,0.359,0.462,0.106,7.38,7.89,10.7,0.355,0.336,0.309,powerplay,all_phases_bowler,1.27,0.75,Royal Challengers Bangalore
RA Jadeja,173,228,4098,5300,64,7,7.76,30.64,23.69,0.759,1.0,43,0.189,0.318,0.281,0.031,8.29,7.56,8.92,0.035,0.836,0.129,middle,middle_overs_bowler,0.96,0.5,Chennai Super Kings
RD Chahar,75,79,1694,2220,33,1,7.86,29.6,22.59,0.949,1.0,22,0.278,0.342,0.418,0.013,7.92,7.8,8.36,0.043,0.857,0.1,middle,middle_overs_bowler,1.12,0.77,Mumbai Indians
RE van der Merwe,21,21,443,515,12,0,6.98,24.52,21.1,1.0,0.77,4,0.19,0.334,0.571,0.0,10.0,6.19,8.4,0.081,0.704,0.214,middle,middle_overs_bowler,1.27,0.7,Royal Challengers Bangalore
RG Sharma,15,32,339,462,10,0,8.18,30.8,22.6,0.469,0.95,3,0.094,0.26,0.312,0.0,8.16,8.05,8.82,0.147,0.708,0.145,middle,middle_overs_bowler,0.73,0.24,Deccan Chargers
RJ Harris,45,37,832,1085,32,1,7.82,24.11,18.49,1.216,1.11,12,0.324,0.438,0.865,0.027,6.76,7.77,9.5,0.512,0.159,0.329,powerplay,powerplay_bowler,1.37,1.06,Kings XI Punjab
RJW Topley,5,6,120,222,5,0,11.1,44.4,24.0,0.833,0.75,1,0.167,0.367,0.833,0.0,9.1,12.4,13.8,0.5,0.25,0.25,powerplay,powerplay_bowler,1.0,0.8,Royal Challengers Bengaluru
RN ten Doeschate,2,10,78,94,5,0,7.23,47.0,39.0,0.2,0.42,0,0.0,0.282,0.5,0.0,,6.83,12.0,0.0,0.923,0.077,middle,middle_overs_bowler,0.25,0.0,Kolkata Knight Riders
RP Meredith,19,18,388,621,25,2,9.6,32.68,20.42,1.056,0.73,5,0.278,0.379,1.389,0.111,8.78,8.76,11.26,0.278,0.387,0.335,middle,all_phases_bowler,1.2,0.88,Mumbai Indians
RP Singh,90,82,1775,2417,86,13,8.17,26.86,19.72,1.098,1.07,23,0.28,0.419,1.049,0.159,7.41,8.37,9.53,0.565,0.139,0.297,powerplay,powerplay_bowler,1.36,0.89,Deccan Chargers
RR Powar,13,26,426,538,16,1,7.58,41.38,32.77,0.5,0.71,3,0.115,0.39,0.615,0.038,7.77,7.38,8.75,0.31,0.634,0.056,middle,middle_overs_bowler,0.47,0.55,Kings XI Punjab
RR Raje,6,10,139,214,4,1,9.24,35.67,23.17,0.6,0.84,2,0.2,0.281,0.4,0.1,9.0,8.81,10.38,0.043,0.691,0.266,middle,middle_overs_bowler,0.57,0.67,Mumbai Indians
RS Bopara,11,14,206,301,7,0,8.77,27.36,18.73,0.786,0.97,3,0.214,0.296,0.5,0.0,,8.45,10.0,0.0,0.796,0.204,middle,middle_overs_bowler,0.83,0.75,Kings XI Punjab
RV Gomez,5,9,96,130,1,0,8.12,26.0,19.2,0.556,0.73,1,0.111,0.385,0.111,0.0,,7.5,12.5,0.0,0.875,0.125,middle,middle_overs_bowler,0.8,0.25,Kochi Tuskers Kerala
Rashid Khan,163,140,3298,3973,37,0,7.23,24.37,20.23,1.164,0.98,40,0.286,0.358,0.264,0.0,7.93,6.8,8.56,0.109,0.716,0.175,middle,middle_overs_bowler,1.26,1.06,Sunrisers Hyderabad
Rasikh Salam,15,15,272,460,12,2,10.15,30.67,18.13,1.0,1.36,4,0.267,0.327,0.8,0.133,9.46,10.42,10.42,0.287,0.419,0.294,powerplay,all_phases_bowler,1.44,0.33,Delhi Capitals
Ravi Bishnoi,81,81,1729,2413,56,6,8.37,29.79,21.35,1.0,0.99,26,0.321,0.339,0.691,0.074,8.91,8.14,9.29,0.076,0.774,0.15,middle,middle_overs_bowler,1.23,0.74,Lucknow Super Giants
S Aravind,45,38,760,1057,27,1,8.34,23.49,16.89,1.184,1.06,13,0.342,0.382,0.711,0.026,7.65,8.71,9.89,0.561,0.245,0.195,powerplay,powerplay_bowler,1.78,0.65,Royal Challengers Bangalore
S Badree,11,12,258,329,5,0,7.65,29.91,23.45,0.917,1.16,2,0.167,0.422,0.417,0.0,7.54,8.06,4.0,0.605,0.372,0.023,death,powerplay_bowler,0.5,1.12,Royal Challengers Bangalore
S Dhawan,4,6,48,72,1,0,9.0,18.0,12.0,0.667,0.52,0,0.0,0.354,0.167,0.0,10.33,8.2,,0.375,0.625,0.0,middle,middle_overs_bowler,1.0,0.5,Deccan Chargers
S Dube,6,16,136,253,7,0,11.16,42.17,22.67,0.375,0.72,2,0.125,0.191,0.438,0.0,,11.06,11.4,0.0,0.706,0.294,middle,middle_overs_bowler,0.4,0.36,Royal Challengers Bangalore
S Gopal,52,51,991,1358,8,1,8.22,26.12,19.06,1.02,1.05,15,0.294,0.32,0.157,0.02,7.95,8.35,6.87,0.115,0.829,0.055,death,middle_overs_bowler,1.24,0.87,Rajasthan Royals
S Kaul,58,55,1209,1772,23,6,8.79,30.55,20.84,1.055,1.01,18,0.327,0.32,0.418,0.109,9.16,8.36,8.95,0.288,0.367,0.345,middle,all_phases_bowler,1.35,0.84,Sunrisers Hyderabad
S Kaushik,6,10,204,304,5,1,8.94,50.67,34.0,0.6,1.07,2,0.2,0.333,0.5,0.1,13.67,7.56,14.75,0.088,0.794,0.118,middle,middle_overs_bowler,0.0,0.75,Gujarat Lions
S Ladda,5,9,138,225,2,1,9.78,45.0,27.6,0.556,0.73,1,0.111,0.348,0.222,0.111,9.33,8.93,12.0,0.13,0.609,0.261,middle,middle_overs_bowler,0.5,0.6,Delhi Daredevils
S Lamichhane,13,9,210,297,1,0,8.49,22.85,16.15,1.444,1.01,3,0.333,0.357,0.111,0.0,8.67,7.83,10.4,0.343,0.514,0.143,middle,middle_overs_bowler,1.6,1.25,Delhi Capitals
S Nadeem,48,70,1415,1800,25,4,7.63,37.5,29.48,0.686,0.77,11,0.157,0.32,0.357,0.057,8.28,7.22,9.53,0.212,0.707,0.081,middle,middle_overs_bowler,0.78,0.61,Delhi Daredevils
S Narwal,5,6,106,203,7,0,11.49,40.6,21.2,0.833,1.33,2,0.333,0.349,1.167,0.0,9.64,10.36,19.67,0.623,0.208,0.17,powerplay,powerplay_bowler,0.67,1.0,Rajasthan Royals
S Randiv,6,8,174,223,6,0,7.69,37.17,29.0,0.75,0.71,1,0.125,0.345,0.75,0.0,10.5,7.29,9.0,0.069,0.828,0.103,middle,middle_overs_bowler,0.8,0.67,Chennai Super Kings
S Sandeep Warrier,8,10,168,257,6,2,9.18,32.12,21.0,0.8,1.14,3,0.3,0.429,0.6,0.2,9.22,9.0,,0.821,0.179,0.0,middle,powerplay_bowler,0.6,1.0,Kolkata Knight Riders
S Sreesanth,40,44,880,1221,44,23,8.33,30.52,22.0,0.909,0.88,13,0.295,0.453,1.0,0.523,7.78,7.79,11.29,0.648,0.198,0.155,powerplay,powerplay_bowler,1.19,0.65,Kings XI Punjab
S Tyagi,6,14,209,304,8,3,8.73,50.67,34.83,0.429,0.65,1,0.071,0.445,0.571,0.214,8.36,7.6,17.45,0.804,0.144,0.053,middle,powerplay_bowler,0.56,0.2,Chennai Super Kings
SB Bangar,4,9,150,221,3,0,8.84,55.25,37.5,0.444,0.73,1,0.111,0.367,0.333,0.0,4.33,8.39,14.25,0.12,0.72,0.16,powerplay,middle_overs_bowler,1.5,0.14,Deccan Chargers
SB Jakati,47,57,1085,1474,14,2,8.15,31.36,23.09,0.825,0.98,13,0.228,0.311,0.246,0.035,8.69,7.87,9.57,0.088,0.791,0.121,middle,middle_overs_bowler,1.05,0.37,Chennai Super Kings
SB Styris,8,11,216,278,6,0,7.72,34.75,27.0,0.727,1.01,2,0.182,0.384,0.545,0.0,6.43,6.56,10.45,0.194,0.5,0.306,powerplay,middle_overs_bowler,2.0,0.25,Deccan Chargers
SB Wagh,5,8,102,147,6,0,8.65,29.4,20.4,0.625,1.06,1,0.125,0.441,0.75,0.0,8.0,,13.5,0.882,0.0,0.118,powerplay,powerplay_bowler,0.75,0.5,Pune Warriors
SC Ganguly,10,20,276,370,3,1,8.04,37.0,27.6,0.5,0.83,4,0.2,0.272,0.15,0.05,10.67,7.44,16.5,0.065,0.891,0.043,middle,middle_overs_bowler,1.0,0.09,Kolkata Knight Riders
SE Bond,9,8,186,225,5,0,7.26,25.0,20.67,1.125,0.83,3,0.375,0.403,0.625,0.0,6.33,6.14,9.67,0.484,0.226,0.29,middle,powerplay_bowler,1.5,0.75,Kolkata Knight Riders
SE Rutherford,1,6,41,60,5,0,8.78,60.0,41.0,0.167,0.41,0,0.0,0.171,0.833,0.0,,9.67,2.4,0.0,0.878,0.122,death,middle_overs_bowler,0.2,0.0,Delhi Capitals
SH Johnson,5,9,164,289,8,0,10.57,57.8,32.8,0.556,0.73,1,0.111,0.36,0.889,0.0,10.21,12.83,9.41,0.512,0.22,0.268,death,powerplay_bowler,1.0,0.33,Gujarat Titans
SJ Srivastava,14,14,282,444,23,1,9.45,31.71,20.14,1.0,0.78,4,0.286,0.365,1.643,0.071,9.59,9.06,9.78,0.468,0.34,0.191,middle,powerplay_bowler,1.2,0.89,Kings XI Punjab
SK Raina,25,69,908,1139,22,0,7.53,45.56,36.32,0.362,0.57,3,0.043,0.308,0.319,0.0,7.55,7.27,8.93,0.073,0.785,0.142,middle,middle_overs_bowler,0.45,0.22,Chennai Super Kings
SK Trivedi,65,75,1506,1944,42,9,7.75,29.91,23.17,0.867,0.98,18,0.24,0.327,0.56,0.12,9.43,7.16,9.12,0.084,0.713,0.203,middle,middle_overs_bowler,1.18,0.4,Rajasthan Royals
SK Warne,57,54,1194,1465,29,0,7.36,25.7,20.95,1.056,1.0,15,0.278,0.357,0.537,0.0,9.83,6.87,9.08,0.03,0.789,0.181,middle,middle_overs_bowler,1.4,0.62,Rajasthan Royals
SL Malinga,170,122,2827,3486,129,18,7.4,20.51,16.63,1.393,1.16,52,0.426,0.405,1.057,0.148,6.54,7.5,8.2,0.393,0.212,0.395,powerplay,all_phases_bowler,1.67,0.98,Mumbai Indians
SM Curran,59,63,1253,2059,48,7,9.86,34.9,21.24,0.937,1.05,15,0.238,0.314,0.762,0.111,8.38,10.53,11.52,0.455,0.235,0.31,powerplay,powerplay_bowler,1.0,0.89,Punjab Kings
SM Pollock,11,13,276,307,4,0,6.67,27.91,25.09,0.846,0.99,3,0.231,0.471,0.308,0.0,6.26,7.82,8.0,0.739,0.239,0.022,powerplay,powerplay_bowler,1.5,0.29,Mumbai Indians
SMSM Senanayake,9,8,192,211,3,0,6.59,23.44,21.33,1.125,0.64,2,0.25,0.38,0.375,0.0,5.29,9.43,8.5,0.656,0.219,0.125,powerplay,powerplay_bowler,1.0,1.25,Kolkata Knight Riders
SN Thakur,114,107,2154,3474,138,11,9.68,30.47,18.89,1.065,1.03,36,0.336,0.332,1.29,0.103,9.51,8.66,10.83,0.333,0.327,0.339,middle,all_phases_bowler,1.22,0.88,Chennai Super Kings
SP Narine,195,191,4441,5135,64,6,6.94,26.33,22.77,1.021,1.07,49,0.257,0.38,0.335,0.031,6.93,6.71,7.46,0.211,0.549,0.241,middle,middle_overs_bowler,1.14,0.89,Kolkata Knight Riders
SR Watson,92,105,2029,2742,95,13,8.11,29.8,22.05,0.876,1.0,27,0.257,0.396,0.905,0.124,7.3,7.44,9.99,0.411,0.305,0.284,powerplay,powerplay_bowler,1.06,0.69,Rajasthan Royals
SS Cottrell,6,6,120,177,11,0,8.85,29.5,20.0,1.0,0.89,2,0.333,0.483,1.833,0.0,7.71,7.0,16.0,0.7,0.15,0.15,middle,powerplay_bowler,2.0,0.8,Kings XI Punjab
ST Jayasuriya,13,21,294,396,7,0,8.08,30.46,22.62,0.619,0.92,4,0.19,0.282,0.333,0.0,10.0,7.87,8.7,0.02,0.776,0.204,middle,middle_overs_bowler,0.7,0.55,Mumbai Indians
STR Binny,22,63,594,763,16,1,7.71,34.68,27.0,0.349,0.54,2,0.032,0.335,0.254,0.016,7.46,7.49,9.7,0.263,0.636,0.101,powerplay,middle_overs_bowler,0.38,0.31,Rajasthan Royals
SW Tait,23,21,473,668,52,9,8.47,29.04,20.57,1.095,1.18,7,0.333,0.423,2.476,0.429,8.0,9.35,8.64,0.482,0.201,0.317,powerplay,powerplay_bowler,1.7,0.55,Rajasthan Royals
Sandeep Sharma,151,141,3145,4316,119,13,8.23,28.58,20.83,1.071,1.0,38,0.27,0.382,0.844,0.092,7.17,8.17,10.64,0.551,0.2,0.249,powerplay,powerplay_bowler,1.34,0.84,Kings XI Punjab
Shahbaz Ahmed,22,46,594,969,15,2,9.79,44.05,27.0,0.478,0.81,5,0.109,0.256,0.326,0.043,9.84,9.93,8.15,0.253,0.682,0.066,death,middle_overs_bowler,0.56,0.38,Royal Challengers Bangalore
Shahid Afridi,9,10,180,237,4,1,7.9,26.33,20.0,0.9,1.1,3,0.3,0.317,0.4,0.1,6.5,7.6,9.83,0.133,0.667,0.2,powerplay,middle_overs_bowler,1.5,0.75,Deccan Chargers
Shakib Al Hasan,63,70,1484,1864,31,0,7.54,29.59,23.56,0.9,0.82,16,0.229,0.34,0.443,0.0,7.61,7.01,9.65,0.303,0.566,0.131,middle,middle_overs_bowler,1.08,0.67,Kolkata Knight Riders
Shashank Singh,4,6,60,91,2,0,9.1,22.75,15.0,0.667,0.82,1,0.167,0.25,0.333,0.0,,7.5,15.5,0.0,0.8,0.2,middle,middle_overs_bowler,1.0,0.33,Punjab Kings
Shivam Mavi,30,32,649,958,32,6,8.86,31.93,21.63,0.938,0.84,5,0.156,0.391,1.0,0.188,8.42,6.85,11.29,0.462,0.25,0.288,middle,powerplay_bowler,1.06,0.8,Kolkata Knight Riders
Shivam Sharma,4,5,114,165,0,0,8.68,41.25,28.5,0.8,0.84,1,0.2,0.325,0.0,0.0,,8.47,9.5,0.0,0.789,0.211,middle,middle_overs_bowler,1.0,0.5,Kings XI Punjab
Shoaib Ahmed,5,7,102,154,1,0,9.06,30.8,20.4,0.714,0.95,2,0.286,0.324,0.143,0.0,12.33,6.82,14.0,0.176,0.647,0.176,middle,middle_overs_bowler,0.0,1.0,Deccan Chargers
Shoaib Malik,2,5,51,87,6,1,10.24,43.5,25.5,0.4,0.55,0,0.0,0.294,1.2,0.2,,10.33,10.0,0.0,0.706,0.294,death,middle_overs_bowler,0.0,0.67,Delhi Daredevils
Sikandar Raza,3,7,84,146,3,1,10.43,48.67,28.0,0.429,0.53,0,0.0,0.25,0.429,0.143,14.0,9.83,,0.143,0.857,0.0,middle,middle_overs_bowler,0.5,0.0,Punjab Kings
Simarjeet Singh,11,14,240,411,14,2,10.28,37.36,21.82,0.786,1.05,4,0.286,0.425,1.0,0.143,10.24,10.15,10.67,0.525,0.325,0.15,middle,powerplay_bowler,1.8,0.22,Chennai Super Kings
Sohail Tanvir,22,11,247,275,17,1,6.68,12.5,11.23,2.0,2.0,6,0.545,0.49,1.545,0.091,6.59,4.0,7.11,0.534,0.049,0.417,middle,powerplay_bowler,2.2,0.0,Rajasthan Royals
Suyash Sharma,22,31,648,965,10,1,8.94,43.86,29.45,0.71,0.94,6,0.194,0.318,0.323,0.032,7.33,8.84,10.0,0.028,0.852,0.12,powerplay,middle_overs_bowler,0.77,0.56,Royal Challengers Bengaluru
Swapnil Singh,7,14,162,241,2,1,8.93,34.43,23.14,0.5,0.76,2,0.143,0.241,0.143,0.071,8.86,8.95,,0.259,0.741,0.0,powerplay,middle_overs_bowler,0.78,0.0,Royal Challengers Bengaluru
T Natarajan,73,67,1452,2195,64,1,9.07,30.07,19.89,1.09,0.97,21,0.313,0.304,0.955,0.015,8.5,8.17,10.16,0.264,0.327,0.408,middle,death_bowler,1.21,0.97,Sunrisers Hyderabad
T Shamsi,3,5,120,185,0,0,9.25,61.67,40.0,0.6,0.55,0,0.0,0.233,0.0,0.0,,8.41,14.0,0.0,0.85,0.15,middle,middle_overs_bowler,1.0,0.5,Royal Challengers Bangalore
T Stubbs,4,5,36,69,1,0,11.5,17.25,9.0,0.8,0.84,1,0.2,0.333,0.2,0.0,,12.8,5.0,0.0,0.833,0.167,death,middle_overs_bowler,1.0,0.5,Delhi Capitals
T Thushara,8,6,135,164,7,2,7.29,20.5,16.88,1.333,0.82,3,0.5,0.422,1.167,0.333,6.0,4.8,10.67,0.444,0.222,0.333,middle,powerplay_bowler,1.67,1.0,Chennai Super Kings
TA Boult,144,122,2741,3916,102,2,8.57,27.19,19.03,1.18,0.97,40,0.328,0.409,0.836,0.016,7.47,9.23,10.71,0.597,0.136,0.267,powerplay,powerplay_bowler,1.42,0.87,Mumbai Indians
TG Southee,47,54,1206,1774,52,4,8.83,37.74,25.66,0.87,0.99,15,0.278,0.371,0.963,0.074,8.14,7.81,10.72,0.527,0.184,0.289,middle,powerplay_bowler,0.83,0.92,Mumbai Indians
TK Curran,13,13,238,432,11,3,10.89,33.23,18.31,1.0,0.91,3,0.231,0.239,0.846,0.231,9.57,9.32,12.59,0.176,0.357,0.466,middle,death_bowler,1.2,0.88,Rajasthan Royals
TL Suman,6,11,150,198,0,2,7.92,33.0,25.0,0.545,0.69,1,0.091,0.287,0.0,0.182,6.0,7.2,12.0,0.04,0.8,0.16,powerplay,middle_overs_bowler,0.67,0.5,Deccan Chargers
TM Dilshan,5,25,271,368,4,0,8.15,73.6,54.2,0.2,0.41,0,0.0,0.292,0.16,0.0,8.86,8.09,7.44,0.155,0.753,0.092,death,middle_overs_bowler,0.31,0.08,Delhi Daredevils
TM Head,2,6,58,113,0,0,11.69,56.5,29.0,0.333,0.82,1,0.167,0.155,0.0,0.0,,12.9,9.0,0.0,0.69,0.31,death,middle_overs_bowler,1.0,0.0,Royal Challengers Bangalore
TS Mills,11,10,209,349,9,0,10.02,31.73,19.0,1.1,0.99,3,0.3,0.33,0.9,0.0,8.83,11.08,10.15,0.344,0.344,0.311,powerplay,all_phases_bowler,1.0,1.11,Mumbai Indians
TU Deshpande,54,49,1019,1726,77,7,10.16,31.96,18.87,1.102,1.08,18,0.367,0.35,1.571,0.143,8.89,10.73,11.73,0.483,0.194,0.323,powerplay,powerplay_bowler,1.43,0.81,Chennai Super Kings
UT Yadav,144,147,3056,4442,110,24,8.72,30.85,21.22,0.98,1.07,41,0.279,0.388,0.748,0.163,7.96,8.28,10.75,0.475,0.285,0.24,powerplay,powerplay_bowler,1.23,0.73,Kolkata Knight Riders
Umar Gul,12,6,135,198,12,6,8.8,16.5,11.25,2.0,1.41,4,0.667,0.378,2.0,1.0,7.0,7.56,11.73,0.267,0.4,0.333,powerplay,all_phases_bowler,1.67,2.33,Kolkata Knight Riders
Umran Malik,29,26,493,785,22,4,9.55,27.07,17.0,1.115,1.37,7,0.269,0.416,0.846,0.154,19.0,8.66,10.44,0.061,0.791,0.148,middle,middle_overs_bowler,1.36,0.93,Sunrisers Hyderabad
V Kohli,4,26,251,371,7,6,8.87,92.75,62.75,0.154,0.46,1,0.038,0.207,0.269,0.231,,8.4,12.92,0.0,0.896,0.104,middle,middle_overs_bowler,0.33,0.0,Royal Challengers Bangalore
V Nigam,12,16,264,420,7,5,9.55,35.0,22.0,0.75,0.93,5,0.312,0.307,0.438,0.312,9.22,10.34,6.17,0.205,0.659,0.136,death,middle_overs_bowler,1.0,0.5,Delhi Capitals
V Pratap Singh,10,9,204,300,7,0,8.82,30.0,20.4,1.111,0.6,2,0.222,0.348,0.778,0.0,8.75,8.09,10.14,0.471,0.324,0.206,middle,powerplay_bowler,1.33,1.0,Deccan Chargers
V Puthur,6,5,72,109,1,0,9.08,18.17,12.0,1.2,1.1,1,0.2,0.333,0.2,0.0,,8.5,12.0,0.0,0.833,0.167,middle,middle_overs_bowler,0.5,1.67,Mumbai Indians
V Sehwag,6,15,136,236,1,1,10.41,39.33,22.67,0.4,0.63,1,0.067,0.324,0.067,0.067,23.5,8.18,13.64,0.088,0.75,0.162,middle,middle_overs_bowler,0.8,0.2,Delhi Daredevils
V Shankar,9,22,238,344,15,5,8.67,38.22,26.44,0.409,0.59,1,0.045,0.336,0.682,0.227,10.5,8.56,8.8,0.034,0.777,0.189,middle,middle_overs_bowler,0.3,0.5,Sunrisers Hyderabad
VG Arora,42,36,734,1223,49,10,10.0,29.12,17.48,1.167,0.91,12,0.333,0.369,1.361,0.278,9.14,12.14,11.28,0.646,0.114,0.24,powerplay,powerplay_bowler,1.16,1.18,Kolkata Knight Riders
